id,created_at,text,favorites,retweets,entities,language
1349717915508072448,2021-01-14 14:00:02,We all love a good tooth joke! Share in the replies if you've got one up your sleeve. https://t.co/knqiJhdob6,6,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1349717911615778817, 'id_str': '1349717911615778817', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/ErspShzXMAEYQ1o.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ErspShzXMAEYQ1o.jpg', 'url': 'https://t.co/knqiJhdob6', 'display_url': 'pic.twitter.com/knqiJhdob6', 'expanded_url': 'https://twitter.com/3MOralCare/status/1349717915508072448/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
1349106382373576711,2021-01-12 21:30:01,"Aerosols have always been a potential danger in dentistry, but never before have we been so aware of the microbes t… https://t.co/XzpkvOeBDm",6,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XzpkvOeBDm', 'expanded_url': 'https://twitter.com/i/web/status/1349106382373576711', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348768326919610368,2021-01-11 23:06:42,"@RebeccaShlafer Hi Rebecca, we are sorry to hear of your experience. This program is run by the ADA Foundation; you… https://t.co/v3EQxW3551",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RebeccaShlafer', 'name': 'Rebecca Shlafer', 'id': 74064628, 'id_str': '74064628', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/v3EQxW3551', 'expanded_url': 'https://twitter.com/i/web/status/1348768326919610368', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347317266019479552,2021-01-07 23:00:42,@mahajan_ashim Hello and thanks for your interest in 3M Oral Care. Due to the number of variables that can exist in… https://t.co/dXVgM3TAeD,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mahajan_ashim', 'name': 'ashim mahajan', 'id': 822119659751272449, 'id_str': '822119659751272449', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/dXVgM3TAeD', 'expanded_url': 'https://twitter.com/i/web/status/1347317266019479552', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346156950485143559,2021-01-04 18:10:02,"You may be back in the #dentaloffice, but do you know where your patients are? With so many patients working remote… https://t.co/W998MBykhr",3,2,"{'hashtags': [{'text': 'dentaloffice', 'indices': [23, 36]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/W998MBykhr', 'expanded_url': 'https://twitter.com/i/web/status/1346156950485143559', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1345010646170165256,2021-01-01 14:15:01,Here's to having hope for the future! ❤️ What are the goals you're hoping to accomplish in 2021? https://t.co/2Oq15Y7KPv,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1345010643255099393, 'id_str': '1345010643255099393', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EqpwDcpXAAEfJGe.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqpwDcpXAAEfJGe.jpg', 'url': 'https://t.co/2Oq15Y7KPv', 'display_url': 'pic.twitter.com/2Oq15Y7KPv', 'expanded_url': 'https://twitter.com/3MOralCare/status/1345010646170165256/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
1344294353771106304,2020-12-30 14:48:44,@shifiamittal09 Hello - thanks for reaching out. Please get in touch with the 3M Oral Care India team through… https://t.co/ugpKjSrUgv,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shifiamittal09', 'name': 'shifia mittal', 'id': 50303620, 'id_str': '50303620', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/ugpKjSrUgv', 'expanded_url': 'https://twitter.com/i/web/status/1344294353771106304', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",en
1343617946963357700,2020-12-28 18:00:56,"RT @AmerToothfairy: Through our National Varnish Initiative, sponsored by @3MOralCare, in 2020 we helped 162,484 kids keep their teeth stro…",0,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmerToothfairy', 'name': '@AmerToothFairy', 'id': 353754882, 'id_str': '353754882', 'indices': [3, 18]}, {'screen_name': '3MOralCare', 'name': '3M Oral Care', 'id': 39401206, 'id_str': '39401206', 'indices': [74, 85]}], 'urls': []}",en
1343595105261920256,2020-12-28 16:30:10,When was the last time you talked to your patients about their gum line? A lot of things can cause receding gums –… https://t.co/joJAzhfVWJ,5,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/joJAzhfVWJ', 'expanded_url': 'https://twitter.com/i/web/status/1343595105261920256', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1343589775387873287,2020-12-28 16:08:59,RT @3MHealthCare: Today we observe the inaugural International Day of Epidemic Preparedness. We look forward to partnering with governments…,0,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '3MHealthCare', 'name': '3M Health Care', 'id': 202813231, 'id_str': '202813231', 'indices': [3, 16]}], 'urls': []}",en
1342477757113102339,2020-12-25 14:30:13,"Oh dentis-tree, oh dentis-tree! You keep our smiles so healthy. #HappyHolidays from 3M Oral Care 🎄 https://t.co/9EaZBBd6JV",7,4,"{'hashtags': [{'text': 'HappyHolidays', 'indices': [64, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1342477733398511616, 'id_str': '1342477733398511616', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1342477733398511616/pu/img/LGNaNhxLJFJ9R55d.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1342477733398511616/pu/img/LGNaNhxLJFJ9R55d.jpg', 'url': 'https://t.co/9EaZBBd6JV', 'display_url': 'pic.twitter.com/9EaZBBd6JV', 'expanded_url': 'https://twitter.com/3MOralCare/status/1342477757113102339/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1341806583538458629,2020-12-23 18:03:13,Taking just a few minutes to do some deep breathing can help you relax – science says so! Deep breathing stimulates… https://t.co/DQc3nOGCGl,10,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DQc3nOGCGl', 'expanded_url': 'https://twitter.com/i/web/status/1341806583538458629', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339688126541869063,2020-12-17 21:45:14,Limiting cross-contamination is one of the biggest challenges your practice faces every day – and it starts with pr… https://t.co/V0utknEsmt,1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/V0utknEsmt', 'expanded_url': 'https://twitter.com/i/web/status/1339688126541869063', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339270540876451845,2020-12-16 18:05:54,When was the last time you checked up on your curing light? Right now you can save $200 on @BlueLight_Inc's new Che… https://t.co/6qoNyNDGtG,5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BlueLight_Inc', 'name': 'Bluelight Analytics', 'id': 331775795, 'id_str': '331775795', 'indices': [91, 105]}], 'urls': [{'url': 'https://t.co/6qoNyNDGtG', 'expanded_url': 'https://twitter.com/i/web/status/1339270540876451845', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339222308624474112,2020-12-16 14:54:14,"@kaiserketkar Hello - Since we sells through authorized distributors, you will need to connect with their teams reg… https://t.co/u0ipyJUh7T",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kaiserketkar', 'name': 'kaiserketkar', 'id': 53640681, 'id_str': '53640681', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/u0ipyJUh7T', 'expanded_url': 'https://twitter.com/i/web/status/1339222308624474112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
