id,created_at,text,favorites,retweets,entities,language
1341654776807895040,2020-12-23 08:00:00,"＼✨ニューノーマルのあるあるエピソードご紹介 ✨／

集まった投稿の中からあるあるエピソードをご紹介❗️
こんな経験、あるあるですか❓🤔

「4月からの知り合いの人の鼻の形を知らない」

知りたいような、知りたくないような･･･😅

#アキュビュー",27,1,"{'hashtags': [{'text': 'アキュビュー', 'indices': [117, 124]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1340930004029464581,2020-12-21 08:00:00,"＼✨ニューノーマルのあるあるエピソードご紹介✨／

集まった投稿の中からあるあるエピソードをご紹介❗️
こんな経験、あるあるですか❓🤔

「オンライン会議用に遂に女優ライトを購入」

「オンライン映え」にライトは重要ですよね✨

#アキュビュー",34,1,"{'hashtags': [{'text': 'アキュビュー', 'indices': [115, 122]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1339842842475327488,2020-12-18 08:00:01,"＼✨ニューノーマルのあるあるエピソードご紹介✨／

集まった投稿の中からあるあるエピソードをご紹介❗️
こんな経験、あるあるですか❓🤔

「マスクをしていても目だけで笑顔を表現できるようになった！」

目の表情、アイコンタクトがより重要になりましたね😊

#アキュビュー",33,0,"{'hashtags': [{'text': 'アキュビュー', 'indices': [128, 135]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1339480449870045184,2020-12-17 08:00:00,"＼✨ニューノーマルのあるあるエピソードご紹介✨／

集まった投稿の中からあるあるエピソードをご紹介❗️
こんな経験、あるあるですか❓🤔

「出前取りすぎて顔覚えられて、サービス良くなりがち」

デリバリーサービスにお世話になる機会が増えましたね✨

#アキュビュー",47,1,"{'hashtags': [{'text': 'アキュビュー', 'indices': [125, 132]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1338755673870491651,2020-12-15 08:00:00,"＼✨ニューノーマルのあるあるエピソードご紹介✨／

集まった投稿の中からあるあるエピソードをご紹介❗️
こんな経験、あるあるですか❓🤔

「リモート会議中にたまに乱入してくる上司のペットの犬に癒される🐶❤️」

ニューノーマルはペットも会議に参加する時代⁉️

#アキュビュー",49,1,"{'hashtags': [{'text': 'アキュビュー', 'indices': [131, 138]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1337292596515729408,2020-12-11 07:06:15,"＼✨ニューノーマルみんなのあるある大賞 募集終了✨／

たくさんの投稿、ありがとうございました💗
皆さんの工夫が溢れていますね‼️

各賞は1月中旬に発表する予定です！🎉

年末年始も
ニューノーマル、うまいことやろう！😊

#ニューノーマルみんなのあるある大賞
#アキュビュー",98,1,"{'hashtags': [{'text': 'ニューノーマルみんなのあるある大賞', 'indices': [113, 131]}, {'text': 'アキュビュー', 'indices': [132, 139]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1336868885203623936,2020-12-10 03:02:34,"＼✨ニューノーマルみんなのあるある大賞 開催中✨／

応募の際は、規約に同意の上、ご応募ください。
応募規約の詳細は、画像をクリック👇

素敵な特典もご用意してます💗

締切は12月10日23:59✨

ニューノーマル、うまいこと… https://t.co/yZVhRxUZBp",35,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yZVhRxUZBp', 'expanded_url': 'https://twitter.com/i/web/status/1336868885203623936', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1336868244137734146,2020-12-10 03:00:01,"＼✨ニューノーマルみんなのあるある大賞 開催中✨／

たくさんの投稿、ありがとうございます❗️
締切は12月10日23:59！

素敵な特典もご用意・・・💗
規約など詳しくはリプへ👇

@ACUVUE_JPをフォロー&amp;… https://t.co/OnIt2DrfbC",223,47,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ACUVUE_JP', 'name': 'アキュビュー ®｜私を変えるコンタクト', 'id': 714608424466653189, 'id_str': '714608424466653189', 'indices': [93, 103]}], 'urls': [{'url': 'https://t.co/OnIt2DrfbC', 'expanded_url': 'https://twitter.com/i/web/status/1336868244137734146', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",ja
1336838038958194690,2020-12-10 01:00:00,"＼✨ニューノーマルみんなのあるある大賞 開催中✨／

たくさんの投稿、ありがとうございます💗

「マスク生活になったから目元のメイクに力を入れれば完成しちゃう」
こんな人増えた👀⁉️

@ACUVUE_JPをフォロー&amp;… https://t.co/5qwUHrIYaf",54,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ACUVUE_JP', 'name': 'アキュビュー ®｜私を変えるコンタクト', 'id': 714608424466653189, 'id_str': '714608424466653189', 'indices': [93, 103]}], 'urls': [{'url': 'https://t.co/5qwUHrIYaf', 'expanded_url': 'https://twitter.com/i/web/status/1336838038958194690', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",ja
1336588897317494785,2020-12-09 08:30:00,"＼✨ニューノーマルみんなのあるある大賞 開催中✨／

たくさんの投稿ありがとうございます

家族よりもパソコン画面を見ている時間が多い…😱
メリハリをつけて家族時間も大切にしましょう👨‍👩‍👧‍👦🌟

@ACUVUE_JPをフォロ… https://t.co/fe5JLATfCD",286,65,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ACUVUE_JP', 'name': 'アキュビュー ®｜私を変えるコンタクト', 'id': 714608424466653189, 'id_str': '714608424466653189', 'indices': [101, 111]}], 'urls': [{'url': 'https://t.co/fe5JLATfCD', 'expanded_url': 'https://twitter.com/i/web/status/1336588897317494785', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1335750709040431105,2020-12-07 00:59:20,"新CMに出演中の
日向坂46（@hinatazaka46）小坂菜緒さんにも
インタビュー🐟🔅

 https://t.co/rspXXh54In 

アイドル界のニューノーマルとは❓
可愛い関西弁も聞こえるかも・・・⁉️

#アキュビュー
#ニューノーマルうまいことやろう",605,102,"{'hashtags': [{'text': 'アキュビュー', 'indices': [112, 119]}, {'text': 'ニューノーマルうまいことやろう', 'indices': [120, 136]}], 'symbols': [], 'user_mentions': [{'screen_name': 'hinatazaka46', 'name': '日向坂46', 'id': 1090848979938492416, 'id_str': '1090848979938492416', 'indices': [15, 28]}], 'urls': [{'url': 'https://t.co/rspXXh54In', 'expanded_url': 'https://youtu.be/Xig0nNIEKZM', 'display_url': 'youtu.be/Xig0nNIEKZM', 'indices': [49, 72]}]}",ja
1334776958035644419,2020-12-04 08:30:00,"新CMに出演中の
林遣都さんにインタビュー‼️💗

https://t.co/wXMHc07S3K

#アキュビュー
#ニューノーマルうまいことやろう",1127,288,"{'hashtags': [{'text': 'アキュビュー', 'indices': [51, 58]}, {'text': 'ニューノーマルうまいことやろう', 'indices': [59, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wXMHc07S3K', 'expanded_url': 'https://youtu.be/2GDRknzuqUU', 'display_url': 'youtu.be/2GDRknzuqUU', 'indices': [26, 49]}]}",ja
1334769408690987009,2020-12-04 08:00:00,"12月10日23:59まで
＼✨ニューノーマルみんなのあるある大賞 開催中✨／

リモート会議あるある💫
「リモート会議中に上司のお子さんが参加してきてほっこり！」

@ACUVUE_JPをフォロー&amp;… https://t.co/6uEjIeHwJ5",513,175,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ACUVUE_JP', 'name': 'アキュビュー ®｜私を変えるコンタクト', 'id': 714608424466653189, 'id_str': '714608424466653189', 'indices': [84, 94]}], 'urls': [{'url': 'https://t.co/6uEjIeHwJ5', 'expanded_url': 'https://twitter.com/i/web/status/1334769408690987009', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}",ja
