id,created_at,text,favorites,retweets,entities,language
1351698141268111362,2021-01-20 01:08:44,"RT @michaelmina_lab: Ahhh. Bloomberg @business no this is the wrong interpretation.

I feel like it’s Groundhog Day - playing whack-a-mole…",0,55,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'michaelmina_lab', 'name': 'Michael Mina', 'id': 1094762324097822720, 'id_str': '1094762324097822720', 'indices': [3, 19]}, {'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [37, 46]}], 'urls': []}",en
1351686967466070018,2021-01-20 00:24:20,@business The authors conclude that BinaxNOW facilitates earlier isolation of infectious people and that rapid anti… https://t.co/DyUoXKpWyp,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/DyUoXKpWyp', 'expanded_url': 'https://twitter.com/i/web/status/1351686967466070018', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351686896544579584,2021-01-20 00:24:03,"@business Equally as important, these data show that if a person has no symptoms and they have a negative result, B… https://t.co/KWeUL8CgHW",5,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/KWeUL8CgHW', 'expanded_url': 'https://twitter.com/i/web/status/1351686896544579584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351686873400410112,2021-01-20 00:23:58,@business This is alarmist and misleading. BinaxNOW is great at finding infectious people – and this Pima County st… https://t.co/nF3UFLXPsK,14,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/nF3UFLXPsK', 'expanded_url': 'https://twitter.com/i/web/status/1351686873400410112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351651649236955138,2021-01-19 22:04:00,"🎧PODCAST: Advancing the Tech of Diabetes Decision-Making🎧 

Join us and expert tech theorist, @JohnNosta, as we dis… https://t.co/6SUw5Ntx9H",7,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JohnNosta', 'name': 'John Nosta', 'id': 19711691, 'id_str': '19711691', 'indices': [94, 104]}], 'urls': [{'url': 'https://t.co/6SUw5Ntx9H', 'expanded_url': 'https://twitter.com/i/web/status/1351651649236955138', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351642017164476416,2021-01-19 21:25:43,@CrainsChicago The authors conclude that BinaxNOW facilitates earlier isolation of infectious people and that rapid… https://t.co/cqGSbiUi1i,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrainsChicago', 'name': ""Crain's Chicago"", 'id': 18148466, 'id_str': '18148466', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/cqGSbiUi1i', 'expanded_url': 'https://twitter.com/i/web/status/1351642017164476416', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351641933475684354,2021-01-19 21:25:23,"@CrainsChicago Equally as important, these data show that if a person has no symptoms and they have a negative resu… https://t.co/0qhmIymuW4",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrainsChicago', 'name': ""Crain's Chicago"", 'id': 18148466, 'id_str': '18148466', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/0qhmIymuW4', 'expanded_url': 'https://twitter.com/i/web/status/1351641933475684354', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351641910893568005,2021-01-19 21:25:18,@CrainsChicago BinaxNOW is great at finding infectious people – and this Pima County study demonstrates that BinaxN… https://t.co/wNQ88MnuPw,0,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrainsChicago', 'name': ""Crain's Chicago"", 'id': 18148466, 'id_str': '18148466', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/wNQ88MnuPw', 'expanded_url': 'https://twitter.com/i/web/status/1351641910893568005', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351622215624749058,2021-01-19 20:07:02,"Equally as important, these data show that if a person has no symptoms and they have a negative result, BinaxNOW wi… https://t.co/FOg8MiHIL8",12,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FOg8MiHIL8', 'expanded_url': 'https://twitter.com/i/web/status/1351622215624749058', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351622212059590658,2021-01-19 20:07:01,BinaxNOW is great at finding infectious people – and the Pima County study demonstrates that BinaxNOW is 92.6% effe… https://t.co/56BfUo5oVF,13,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/56BfUo5oVF', 'expanded_url': 'https://twitter.com/i/web/status/1351622212059590658', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351622205583536135,2021-01-19 20:07:00,New study concludes that BinaxNOW facilitates earlier isolation of infectious people and that rapid antigen tests a… https://t.co/J7JErvgruF,27,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/J7JErvgruF', 'expanded_url': 'https://twitter.com/i/web/status/1351622205583536135', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351613483343884291,2021-01-19 19:32:20,@business The authors conclude that BinaxNOW facilitates earlier isolation of infectious people and that rapid anti… https://t.co/o5liqZRRj4,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/o5liqZRRj4', 'expanded_url': 'https://twitter.com/i/web/status/1351613483343884291', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351613436401246208,2021-01-19 19:32:09,"@business Equally as important, these data show that if a person has no symptoms and they have a negative result, B… https://t.co/hwGJN2hmSH",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/hwGJN2hmSH', 'expanded_url': 'https://twitter.com/i/web/status/1351613436401246208', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351613395200577544,2021-01-19 19:31:59,@business This is alarmist and misleading. BinaxNOW is great at finding infectious people – and this Pima County st… https://t.co/hvn3ILR0yv,2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'business', 'name': 'Bloomberg', 'id': 34713362, 'id_str': '34713362', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/hvn3ILR0yv', 'expanded_url': 'https://twitter.com/i/web/status/1351613395200577544', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351603369006292994,2021-01-19 18:52:09,"@amkrishnasingh Hi Krishna, thanks for your response. Here is the phone number for our team in India. Please call a… https://t.co/Mg8t431QdB",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amkrishnasingh', 'name': 'Krishna Singh ➐', 'id': 833757713620406273, 'id_str': '833757713620406273', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/Mg8t431QdB', 'expanded_url': 'https://twitter.com/i/web/status/1351603369006292994', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351571617059581953,2021-01-19 16:45:59,"@Rahoul_Gandy Hi Rahoul, thanks for your note. This is a good question for our nutrition team. Can you let us know… https://t.co/hIDRRqu1NF",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rahoul_Gandy', 'name': 'Rahoul Gandy', 'id': 1350440320966615050, 'id_str': '1350440320966615050', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/hIDRRqu1NF', 'expanded_url': 'https://twitter.com/i/web/status/1351571617059581953', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351308985471741955,2021-01-18 23:22:22,"@AbeKowo Hi Abe, thanks for your question. Yes, they are different tests. You can learn more about all our tests, a… https://t.co/AZIgEfBdOj",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AbeKowo', 'name': 'Abe Kowo', 'id': 203252729, 'id_str': '203252729', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/AZIgEfBdOj', 'expanded_url': 'https://twitter.com/i/web/status/1351308985471741955', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351228677846167552,2021-01-18 18:03:16,"COVID-19 has created challenges for us all. People with chronic conditions have faced a unique set. 

Here’s how di… https://t.co/lzp7vCCHU8",19,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lzp7vCCHU8', 'expanded_url': 'https://twitter.com/i/web/status/1351228677846167552', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351212264297279491,2021-01-18 16:58:02,"@AprilcMHA ...  If the portal is inaccessible to you, you will need to contact eMed customer service:
https://t.co/5U5gFhJkWd (2/2)",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AprilcMHA', 'name': 'April House', 'id': 357060372, 'id_str': '357060372', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/5U5gFhJkWd', 'expanded_url': 'https://www.emed.com/contact-us', 'display_url': 'emed.com/contact-us', 'indices': [102, 125]}]}",en
1351212158005243905,2021-01-18 16:57:37,"@AprilcMHA Hi April, thanks for your question. BinaxNOW at-home is for prescription use only for people with COVID-… https://t.co/vtq1c1glMg",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AprilcMHA', 'name': 'April House', 'id': 357060372, 'id_str': '357060372', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/vtq1c1glMg', 'expanded_url': 'https://twitter.com/i/web/status/1351212158005243905', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351205290750976008,2021-01-18 16:30:20,"@alysekrausz Thank you, Alyse. We’re glad to see you share the same level of excitement as we do about this technology.",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'alysekrausz', 'name': 'Alyse Krausz', 'id': 1239664592965550082, 'id_str': '1239664592965550082', 'indices': [0, 12]}], 'urls': []}",en
1351174650282315778,2021-01-18 14:28:34,"@abhiranjan401 Hi Abhishek, thanks for your note and interest. We have responded to your second tweet.",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abhiranjan401', 'name': 'Abhishek Ranjan', 'id': 4462943253, 'id_str': '4462943253', 'indices': [0, 14]}], 'urls': []}",en
1351174564731101185,2021-01-18 14:28:14,"@abhiranjan401 Hi Abhishek, thanks for your note and your interest in Abbott. Here is the link to our careers webpa… https://t.co/TP2Ihm57PZ",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abhiranjan401', 'name': 'Abhishek Ranjan', 'id': 4462943253, 'id_str': '4462943253', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/TP2Ihm57PZ', 'expanded_url': 'https://twitter.com/i/web/status/1351174564731101185', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350849880797949959,2021-01-17 16:58:03,"@amaanda_rafa Hi Amanda, thanks for reaching out. Here is the phone number for our nutrition team in Brazil, please… https://t.co/WZI07PjFqg",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'amaanda_rafa', 'name': 'Amanda', 'id': 86341591, 'id_str': '86341591', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/WZI07PjFqg', 'expanded_url': 'https://twitter.com/i/web/status/1350849880797949959', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350181313828020235,2021-01-15 20:41:25,"1. Trackable progress of pain relief.  
2. Data sharing directly with the care team.
3. Support and educational res… https://t.co/5R6sNbAIHZ",17,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5R6sNbAIHZ', 'expanded_url': 'https://twitter.com/i/web/status/1350181313828020235', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350176489447305221,2021-01-15 20:22:14,"@mededu 4. Test results are recorded by the guide and sent to you through the NAVICA app, where results can be disp… https://t.co/a2NyVxafNb",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': [{'url': 'https://t.co/a2NyVxafNb', 'expanded_url': 'https://twitter.com/i/web/status/1350176489447305221', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350176244378312704,2021-01-15 20:21:16,"@mededu 3. Once you have the test, log into eMed and a certified guide will engage through a video call to help you perform the test (3/4).",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': []}",en
1350176051784282113,2021-01-15 20:20:30,"@mededu 2. Once approved by eMed, a prescription is generated, and a test kit is shipped to you or a pick-up location (2/4).",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': []}",en
1350175823677030401,2021-01-15 20:19:36,"@mededu There are four steps to getting an at-home BinaxNOW COVID-19 rapid test. 
1. Download and log into the NAVI… https://t.co/t2xyGFXnBO",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': [{'url': 'https://t.co/t2xyGFXnBO', 'expanded_url': 'https://twitter.com/i/web/status/1350175823677030401', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350174874657050637,2021-01-15 20:15:49,@mededu It further showed performance of 100% positive agreement (sensitivity) in people seven days or less post-sy… https://t.co/lpuqoRuPrJ,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': [{'url': 'https://t.co/lpuqoRuPrJ', 'expanded_url': 'https://twitter.com/i/web/status/1350174874657050637', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350174815848706050,2021-01-15 20:15:35,"@mededu Hi Mo, in an interim, ongoing analysis the test demonstrated overall performance of 91.7% positive agreemen… https://t.co/opp8iTAdwX",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': [{'url': 'https://t.co/opp8iTAdwX', 'expanded_url': 'https://twitter.com/i/web/status/1350174815848706050', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350138995682979848,2021-01-15 17:53:15,"@mededu Hi there, are you interested in our BinaxNOW test for healthcare professionals or our BinaxNOW/eMed at-home test?",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mededu', 'name': 'Mo Baily', 'id': 33513503, 'id_str': '33513503', 'indices': [0, 7]}], 'urls': []}",en
1350138714396258305,2021-01-15 17:52:08,"@roxbbb Hi Roxana, thanks for your patience. Our team will contact you as soon as possible.",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'roxbbb', 'name': 'Roxana', 'id': 93036059, 'id_str': '93036059', 'indices': [0, 7]}], 'urls': []}",en
