id,created_at,text,favorites,retweets,entities,language
1351712550250029056,2021-01-20 02:06:00,Amgen's Francesca Johnson joined tonight's national moment of unity by lighting a candle to remember her mom Gwynne… https://t.co/kCCjT4fuAL,17,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kCCjT4fuAL', 'expanded_url': 'https://twitter.com/i/web/status/1351712550250029056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351307909242634241,2021-01-18 23:18:06,"RT @OneTen: Today we honor the great Dr. Martin Luther King Jr.

His legacy reminds us both of how far we have come and how much is left to…",0,16,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OneTen', 'name': 'OneTen', 'id': 1331693911920832515, 'id_str': '1331693911920832515', 'indices': [3, 10]}], 'urls': []}",en
1351223326509711360,2021-01-18 17:42:00,"In honor of Martin Luther King Day, we asked Tamika Jean-Baptiste, Executive Director, Diversity &amp; Inclusion, to sh… https://t.co/6szbwScrw0",24,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6szbwScrw0', 'expanded_url': 'https://twitter.com/i/web/status/1351223326509711360', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351218915083493386,2021-01-18 17:24:28,@balletgirl1980 @Novartis Thanks for your message. Please consult your doctor. You can also speak with us at 800-772-6436.,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'balletgirl1980', 'name': 'Heather Selig', 'id': 25988146, 'id_str': '25988146', 'indices': [0, 15]}, {'screen_name': 'Novartis', 'name': 'Novartis', 'id': 17226612, 'id_str': '17226612', 'indices': [16, 25]}], 'urls': []}",en
1350142283178381313,2021-01-15 18:06:19,"Still, thinking about your New Year’s #resolutions? If you live with #migraine, consider adding speaking up about y… https://t.co/3ldKf99pB5",3,1,"{'hashtags': [{'text': 'resolutions', 'indices': [38, 50]}, {'text': 'migraine', 'indices': [69, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3ldKf99pB5', 'expanded_url': 'https://twitter.com/i/web/status/1350142283178381313', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349704820865847296,2021-01-14 13:08:00,"#ICYMI Earlier this week, we announced the launch of a new seven-year environmental sustainability plan, which incl… https://t.co/27nHxH1pZD",10,6,"{'hashtags': [{'text': 'ICYMI', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/27nHxH1pZD', 'expanded_url': 'https://twitter.com/i/web/status/1349704820865847296', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349409374201131013,2021-01-13 17:34:00,"In a live interview with @BloombergTV on January 7, Amgen CEO Bob Bradway expressed confidence about an eventual en… https://t.co/ct4B2R4sTp",9,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BloombergTV', 'name': 'Bloomberg TV', 'id': 35002876, 'id_str': '35002876', 'indices': [25, 37]}], 'urls': [{'url': 'https://t.co/ct4B2R4sTp', 'expanded_url': 'https://twitter.com/i/web/status/1349409374201131013', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349078900010151937,2021-01-12 19:40:49,"RT @AmgenOncology: Click below to hear from Greg Friberg, @Amgen’s VP and therapeutic area head for Global Development Oncology about our w…",0,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmgenOncology', 'name': 'Amgen Oncology', 'id': 1012121021711728640, 'id_str': '1012121021711728640', 'indices': [3, 17]}, {'screen_name': 'Amgen', 'name': 'Amgen', 'id': 28436760, 'id_str': '28436760', 'indices': [58, 64]}], 'urls': []}",en
1349047992750206977,2021-01-12 17:38:00,"Invented by @berkeley_lights, digital cell biology is an emerging technology that’s already changing how research i… https://t.co/39PVogdl7x",13,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'berkeley_lights', 'name': 'Berkeley Lights, Inc', 'id': 715668785802252288, 'id_str': '715668785802252288', 'indices': [12, 28]}], 'urls': [{'url': 'https://t.co/39PVogdl7x', 'expanded_url': 'https://twitter.com/i/web/status/1349047992750206977', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349001036204273670,2021-01-12 14:31:24,"Amgen announces new oncology data in #lungcancer to be presented at the upcoming World Conference on Lung Cancer.

#WCLC20 
$AMGN",14,6,"{'hashtags': [{'text': 'lungcancer', 'indices': [37, 48]}, {'text': 'WCLC20', 'indices': [115, 122]}], 'symbols': [{'text': 'AMGN', 'indices': [124, 129]}], 'user_mentions': [], 'urls': []}",en
