id,created_at,text,favorites,retweets,entities,language
1351709676577157122,2021-01-20 01:54:35,"@AGSbad @AnthemBC_News Sorry to hear about your experience. We want to help. Pls email help@anthem.com, and tell us… https://t.co/bzOT3mYMnS",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AGSbad', 'name': '🤔', 'id': 2791931649, 'id_str': '2791931649', 'indices': [0, 7]}, {'screen_name': 'AnthemBC_News', 'name': 'Anthem Blue Cross of California news', 'id': 465843936, 'id_str': '465843936', 'indices': [8, 22]}], 'urls': [{'url': 'https://t.co/bzOT3mYMnS', 'expanded_url': 'https://twitter.com/i/web/status/1351709676577157122', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351650340962250757,2021-01-19 21:58:48,"@ARTYOM1013 We want to help. Pls email help@anthem.com, and we’ll make sure the right person gets back to you.",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ARTYOM1013', 'name': 'KOLI', 'id': 981900396724498433, 'id_str': '981900396724498433', 'indices': [0, 11]}], 'urls': []}",en
1351555263808024581,2021-01-19 15:41:00,Integrating benefits under one health plan encourages provider collaboration and allows consumers to receive more p… https://t.co/7y4uB480fz,20,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7y4uB480fz', 'expanded_url': 'https://twitter.com/i/web/status/1351555263808024581', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351122323856887812,2021-01-18 11:00:39,"Today we honor the legacy of Dr. Martin Luther King, Jr. in celebration of his commitment to human rights and the p… https://t.co/c3KsXvJJ5n",13,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/c3KsXvJJ5n', 'expanded_url': 'https://twitter.com/i/web/status/1351122323856887812', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349796071501914115,2021-01-14 19:10:36,"@mandogrcia Sorry to hear we haven’t helped yet. We’re here for you. Pls email help@anthem.com, and we’ll make sure… https://t.co/ZjmJgn4882",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mandogrcia', 'name': 'mando', 'id': 466875842, 'id_str': '466875842', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/ZjmJgn4882', 'expanded_url': 'https://twitter.com/i/web/status/1349796071501914115', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349787113194196993,2021-01-14 18:35:00,Improving health can’t be achieved if the brightest minds are working in a vacuum. That’s why we launched the Anthe… https://t.co/Cmg77wfV9y,963,63,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Cmg77wfV9y', 'expanded_url': 'https://twitter.com/i/web/status/1349787113194196993', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349481778646568964,2021-01-13 22:21:42,"@LucifernthFlesh Thank you for reaching out, we take your concerns seriously and we are investigating this. Please… https://t.co/nUT6v8kycV",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LucifernthFlesh', 'name': 'Worst Nightmare', 'id': 39881411, 'id_str': '39881411', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/nUT6v8kycV', 'expanded_url': 'https://twitter.com/i/web/status/1349481778646568964', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349423422447767558,2021-01-13 18:29:49,@Murphin_It @Murphin_It Sorry to hear that. We'd like to help. Pls email help@anthem.com with your question and we'… https://t.co/FzMarUmdBk,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Murphin_It', 'name': 'The Surf', 'id': 4292727374, 'id_str': '4292727374', 'indices': [0, 11]}, {'screen_name': 'Murphin_It', 'name': 'The Surf', 'id': 4292727374, 'id_str': '4292727374', 'indices': [12, 23]}], 'urls': [{'url': 'https://t.co/FzMarUmdBk', 'expanded_url': 'https://twitter.com/i/web/status/1349423422447767558', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349386725299154944,2021-01-13 16:04:00,"Through the Anthem Digital Incubator (ADI), we are supporting high-potential digital healthcare companies working t… https://t.co/hme8rMu8le",214,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hme8rMu8le', 'expanded_url': 'https://twitter.com/i/web/status/1349386725299154944', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349150432237670400,2021-01-13 00:25:03,"@tweetfromQueens We’d be happy to help. Pls email help@anthem.com, and we’ll make sure the right person gets back to you.",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tweetfromQueens', 'name': 'dinosaur vomit', 'id': 28172539, 'id_str': '28172539', 'indices': [0, 16]}], 'urls': []}",en
