id,created_at,text,favorites,retweets,entities,language
1351593379159793665,2021-01-19 18:12:27,600 Astellas employees volunteered as part of our #MLKDayOfService. Our seven Employee Impact Groups planned and im… https://t.co/NFCAkOPmWq,7,3,"{'hashtags': [{'text': 'MLKDayOfService', 'indices': [50, 66]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NFCAkOPmWq', 'expanded_url': 'https://twitter.com/i/web/status/1351593379159793665', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350162639930929157,2021-01-15 19:27:12,"Discussing the future of real-world evidence! Our senior director of HEOR Oncology, Arijit Ganguli, spoke with lead… https://t.co/9VEjPNlbxn",4,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9VEjPNlbxn', 'expanded_url': 'https://twitter.com/i/web/status/1350162639930929157', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349898235876356098,2021-01-15 01:56:33,Engaging patients as partners is critical to developing medicines to improve health. Our Head of #PatientCentricity… https://t.co/ZP7SLn5ksP,3,0,"{'hashtags': [{'text': 'PatientCentricity', 'indices': [97, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZP7SLn5ksP', 'expanded_url': 'https://twitter.com/i/web/status/1349898235876356098', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349062102951014403,2021-01-12 18:34:04,"Our #PatientCentricity Division is proud to convene the BSC Faculty, comprised of five multidisciplinary global exp… https://t.co/8IRnRp5HiT",4,1,"{'hashtags': [{'text': 'PatientCentricity', 'indices': [4, 22]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8IRnRp5HiT', 'expanded_url': 'https://twitter.com/i/web/status/1349062102951014403', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346833763632885760,2021-01-06 14:59:26,We have announced the 2020 #C3Prize finalists. We’re so inspired by the innovative ideas each of these women have p… https://t.co/sNlH2qRirg,61,13,"{'hashtags': [{'text': 'C3Prize', 'indices': [27, 35]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sNlH2qRirg', 'expanded_url': 'https://twitter.com/i/web/status/1346833763632885760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341464531499937792,2020-12-22 19:24:02,"US President Percival Barretto-Ko and Engagement, Diversity and Inclusion Executive Director Eloiza Domingo recentl… https://t.co/Xgyhtzncqi",2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Xgyhtzncqi', 'expanded_url': 'https://twitter.com/i/web/status/1341464531499937792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341191670575067136,2020-12-22 01:19:47,Having a conscious awareness of the patient in all activities ensures we make the greatest impact possible througho… https://t.co/HRMQeR1q3U,7,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HRMQeR1q3U', 'expanded_url': 'https://twitter.com/i/web/status/1341191670575067136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339700766710358016,2020-12-17 22:35:27,"As a company dedicated to improving the health of people around the world, Astellas is conducting its business acti… https://t.co/1fceJ5xNJh",2,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1fceJ5xNJh', 'expanded_url': 'https://twitter.com/i/web/status/1339700766710358016', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339661911173042181,2020-12-17 20:01:03,"Our Chief Medical Officer, Bernie Zeiher, spoke to @EMG_GOLD, sharing insights from his 30+ year career about diver… https://t.co/JENpP76fBx",3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EMG_GOLD', 'name': 'EMG GOLD', 'id': 2360959886, 'id_str': '2360959886', 'indices': [51, 60]}], 'urls': [{'url': 'https://t.co/JENpP76fBx', 'expanded_url': 'https://twitter.com/i/web/status/1339661911173042181', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339366801273196544,2020-12-17 00:28:24,Our US President Percival Barretto-Ko recently joined @PhRMA CEO @steveubl to discuss our response to COVID-19 and… https://t.co/dodI7tfkPf,9,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhRMA', 'name': 'PhRMA', 'id': 116748080, 'id_str': '116748080', 'indices': [54, 60]}, {'screen_name': 'steveubl', 'name': 'Stephen J. Ubl', 'id': 3152287149, 'id_str': '3152287149', 'indices': [65, 74]}], 'urls': [{'url': 'https://t.co/dodI7tfkPf', 'expanded_url': 'https://twitter.com/i/web/status/1339366801273196544', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
