id,created_at,text,favorites,retweets,entities,language
1351570495766999041,2021-01-19 16:41:31,"We’re proud to see Rick Suarez, Country President, Spain &amp; Kris Slay, Information Architect, on the OUTstanding LGB… https://t.co/6GJjvKslv9",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6GJjvKslv9', 'expanded_url': 'https://twitter.com/i/web/status/1351570495766999041', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351542146088775682,2021-01-19 14:48:52,"During a recent #ItsOkayToAsk panel event, @ChefMingTsai discussed his wife’s Stage IV non-small cell #lungcancer d… https://t.co/uxj8qyYixO",2,0,"{'hashtags': [{'text': 'ItsOkayToAsk', 'indices': [16, 29]}, {'text': 'lungcancer', 'indices': [102, 113]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ChefMingTsai', 'name': '@mingplaceholder', 'id': 799374223949070336, 'id_str': '799374223949070336', 'indices': [43, 56]}], 'urls': [{'url': 'https://t.co/uxj8qyYixO', 'expanded_url': 'https://twitter.com/i/web/status/1351542146088775682', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351178951327154176,2021-01-18 14:45:40,#MLKdayofservice encourages all Americans to volunteer in their local communities and we are grateful for our colle… https://t.co/i4eKTyrXTO,6,2,"{'hashtags': [{'text': 'MLKdayofservice', 'indices': [0, 16]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i4eKTyrXTO', 'expanded_url': 'https://twitter.com/i/web/status/1351178951327154176', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351139448130592769,2021-01-18 12:08:42,We are thrilled to announce in collaboration with @DaiichiSankyoUS that the @US_FDA has approved our treatment for… https://t.co/bJw9D8JuqJ,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DaiichiSankyoUS', 'name': 'Daiichi Sankyo US', 'id': 1169299794696818688, 'id_str': '1169299794696818688', 'indices': [50, 66]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [76, 83]}], 'urls': [{'url': 'https://t.co/bJw9D8JuqJ', 'expanded_url': 'https://twitter.com/i/web/status/1351139448130592769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350151578360152073,2021-01-15 18:43:15,Dr Young Kwang Chae sheds light on the role cultural factors may play in a patient’s #lungcancer journey and the ne… https://t.co/PBgrqrbbSX,1,0,"{'hashtags': [{'text': 'lungcancer', 'indices': [85, 96]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PBgrqrbbSX', 'expanded_url': 'https://twitter.com/i/web/status/1350151578360152073', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350113962629730310,2021-01-15 16:13:47,Dr Kin Lam discussed #lungcancer barriers facing the Asian American community and why oncologists need to be more a… https://t.co/IoVWsg9kCm,2,0,"{'hashtags': [{'text': 'lungcancer', 'indices': [21, 32]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IoVWsg9kCm', 'expanded_url': 'https://twitter.com/i/web/status/1350113962629730310', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349386349263073280,2021-01-13 16:02:30,"A #bloodcancer diagnosis can be scary, but learning more about it can make it more manageable. Here are 8 things to… https://t.co/twIKuWYV3r",0,0,"{'hashtags': [{'text': 'bloodcancer', 'indices': [2, 14]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/twIKuWYV3r', 'expanded_url': 'https://twitter.com/i/web/status/1349386349263073280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349357562949464064,2021-01-13 14:08:07,"At #WCLC20, we will be showcasing important new data across various types and stages of lung cancer, highlighting o… https://t.co/mqaKj6sFln",4,0,"{'hashtags': [{'text': 'WCLC20', 'indices': [3, 10]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mqaKj6sFln', 'expanded_url': 'https://twitter.com/i/web/status/1349357562949464064', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349003871776079874,2021-01-12 14:42:40,Celebrate the new year with @JDayGolf and his mother Dening. Join us in spreading the word about biomarker testing… https://t.co/ZwOEgAlIeW,4,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JDayGolf', 'name': 'Jason Day', 'id': 1596541134, 'id_str': '1596541134', 'indices': [28, 37]}], 'urls': [{'url': 'https://t.co/ZwOEgAlIeW', 'expanded_url': 'https://twitter.com/i/web/status/1349003871776079874', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1348631150038814726,2021-01-11 14:01:37,"Almost every 3 minutes, one person in the US is diagnosed with a #bloodcancer. Understanding the disease can help c… https://t.co/oN1NFZ9BFS",5,3,"{'hashtags': [{'text': 'bloodcancer', 'indices': [65, 77]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oN1NFZ9BFS', 'expanded_url': 'https://twitter.com/i/web/status/1348631150038814726', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
