id,created_at,text,favorites,retweets,entities,language
1349650548954439680,2021-01-14 09:32:20,A diagnosis of eosinophilic esophagitis (EoE) can have a devastating impact on patients’ lives. Hear directly from… https://t.co/EcSnezECr8,41,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EcSnezECr8', 'expanded_url': 'https://twitter.com/i/web/status/1349650548954439680', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349461244638539776,2021-01-13 21:00:07,"Pathology specimens have been used for decades to guide cancer treatment. Now, AI is turning incremental progress i… https://t.co/6TSBADNXyg",41,13,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6TSBADNXyg', 'expanded_url': 'https://twitter.com/i/web/status/1349461244638539776', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348964181295460353,2021-01-12 12:04:58,"Chronic #kidneydisease is expected to become the fifth leading cause of death by 2040, yet many remain undiagnosed.… https://t.co/YVvdjf64Dj",55,20,"{'hashtags': [{'text': 'kidneydisease', 'indices': [8, 22]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YVvdjf64Dj', 'expanded_url': 'https://twitter.com/i/web/status/1348964181295460353', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348650312601645056,2021-01-11 15:17:45,"We’re proud supporters of the #TerraCarta, which was launched today by HRH The Prince of Wales’ Sustainable Markets… https://t.co/d9E3V1wc8J",36,11,"{'hashtags': [{'text': 'TerraCarta', 'indices': [30, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/d9E3V1wc8J', 'expanded_url': 'https://twitter.com/i/web/status/1348650312601645056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348615837486297089,2021-01-11 13:00:46,Stories like Ginger’s motivate us to follow the science and progress research in eosinophil-driven diseases such as… https://t.co/SqaKFRaLt7,26,8,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SqaKFRaLt7', 'expanded_url': 'https://twitter.com/i/web/status/1348615837486297089', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348547774422380544,2021-01-11 08:30:18,What is eosinophilic immune dysfunction and how is it playing a central role in driving a broad range of disease pa… https://t.co/hHQ4V4IrD5,34,11,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hHQ4V4IrD5', 'expanded_url': 'https://twitter.com/i/web/status/1348547774422380544', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347588870465069059,2021-01-08 16:59:58,Our latest paper in @CD_AACR advances new approaches in immunotherapy combination strategies. Engineering dual immu… https://t.co/eyw5XWOxGC,89,23,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CD_AACR', 'name': 'Cancer Discovery', 'id': 1021485047977832449, 'id_str': '1021485047977832449', 'indices': [20, 28]}], 'urls': [{'url': 'https://t.co/eyw5XWOxGC', 'expanded_url': 'https://twitter.com/i/web/status/1347588870465069059', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346561305176637442,2021-01-05 20:56:47,Eosinophilic esophagitis is one of a range of inflammatory diseases where understanding the role of eosinophils cou… https://t.co/ewBtD8yDxV,58,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ewBtD8yDxV', 'expanded_url': 'https://twitter.com/i/web/status/1346561305176637442', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346455145954029570,2021-01-05 13:54:57,Discoveries in biomarker testing and targeted medicine are the future of #lungcancer care. Early detection through… https://t.co/L6NpZIDhhP,56,17,"{'hashtags': [{'text': 'lungcancer', 'indices': [73, 84]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/L6NpZIDhhP', 'expanded_url': 'https://twitter.com/i/web/status/1346455145954029570', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1346021012685504512,2021-01-04 09:09:51,For a vaccine to progress from inception to authorisation in less than 12 months demonstrates #WhatScienceCanDo. Th… https://t.co/9pS12hPKbB,414,112,"{'hashtags': [{'text': 'WhatScienceCanDo', 'indices': [94, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9pS12hPKbB', 'expanded_url': 'https://twitter.com/i/web/status/1346021012685504512', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
