id,created_at,text,favorites,retweets,entities,language
1349796018532085760,2021-01-14 19:10:23,Aurora announces agreement with Great North Distributors Inc. for Canadian retail sales execution.… https://t.co/1qmagpNGXz,94,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1qmagpNGXz', 'expanded_url': 'https://twitter.com/i/web/status/1349796018532085760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [100, 123]}]}",en
1344331761002704896,2020-12-30 17:17:22,“The number one thing that makes me proud to work at Aurora is hearing the feedback from our patient community and… https://t.co/Q5o6WoplPW,25,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Q5o6WoplPW', 'expanded_url': 'https://twitter.com/i/web/status/1344331761002704896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1344331759647924226,2020-12-30 17:17:22,"Melissa Flemming, Manager of Quality Assurance at Aurora is an integral part of the team to ensure our edibles prod… https://t.co/VVDUbnbq0Z",42,10,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VVDUbnbq0Z', 'expanded_url': 'https://twitter.com/i/web/status/1344331759647924226', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341487192678477824,2020-12-22 20:54:05,Aurora wishes everyone a safe and happy holiday and a bright new year! https://t.co/7qvVjURtMb,77,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1341486977984638977, 'id_str': '1341486977984638977', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/Ep3rTImWMAEN4OO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ep3rTImWMAEN4OO.jpg', 'url': 'https://t.co/7qvVjURtMb', 'display_url': 'pic.twitter.com/7qvVjURtMb', 'expanded_url': 'https://twitter.com/Aurora_MMJ/status/1341487192678477824/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1339656857300983809,2020-12-17 19:40:59,"@Shaun_Keleher @MedReleaf Thanks for sharing this! At our MedReleaf facility, we hang dry, hand finish and hand bot… https://t.co/uaJEu3EUvo",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Shaun_Keleher', 'name': 'Shaun Keleher', 'id': 1513360352, 'id_str': '1513360352', 'indices': [0, 14]}, {'screen_name': 'MedReleaf', 'name': 'MedReleaf Canada', 'id': 1480781917, 'id_str': '1480781917', 'indices': [15, 25]}], 'urls': [{'url': 'https://t.co/uaJEu3EUvo', 'expanded_url': 'https://twitter.com/i/web/status/1339656857300983809', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338589707366785027,2020-12-14 21:00:30,"Recently Aurora announced a 3-year, $4.2 million joint-funded research project with @GenomeBC and @GenomeCanada tha… https://t.co/BT78aZfpgC",102,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GenomeBC', 'name': 'GenomeBC', 'id': 152889033, 'id_str': '152889033', 'indices': [84, 93]}, {'screen_name': 'GenomeCanada', 'name': 'Genome Canada', 'id': 570261432, 'id_str': '570261432', 'indices': [98, 111]}], 'urls': [{'url': 'https://t.co/BT78aZfpgC', 'expanded_url': 'https://twitter.com/i/web/status/1338589707366785027', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1334154625658875910,2020-12-02 15:17:04,"To help consumers dispose of vape pens, used batteries and empty cartridges responsibly, Aurora is proud to have pa… https://t.co/STGbLRwuAI",65,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/STGbLRwuAI', 'expanded_url': 'https://twitter.com/i/web/status/1334154625658875910', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1333537074675388419,2020-11-30 22:23:09,"@DabGooLay @SanRafael71 Hi Dan, thanks for the feedback. We're glad to hear you're a fan of our resin and want to l… https://t.co/MJ2B88yiWw",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DabGooLay', 'name': 'Dan Goulet 🏳️\u200d🌈 🍞🥖🥐🥨', 'id': 20061823, 'id_str': '20061823', 'indices': [0, 10]}, {'screen_name': 'SanRafael71', 'name': ""San Rafael '71"", 'id': 887417435963437057, 'id_str': '887417435963437057', 'indices': [11, 23]}], 'urls': [{'url': 'https://t.co/MJ2B88yiWw', 'expanded_url': 'https://twitter.com/i/web/status/1333537074675388419', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1333205310601879552,2020-11-30 00:24:50,"@flowerchildvee @MedReleaf Hi there, thanks for reaching out. Canada-wide shipping is free for all orders over $99… https://t.co/ZTyRDGBBLa",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'flowerchildvee', 'name': 'FlowerChildVee 🌻 🇨🇦', 'id': 558233551, 'id_str': '558233551', 'indices': [0, 15]}, {'screen_name': 'MedReleaf', 'name': 'MedReleaf Canada', 'id': 1480781917, 'id_str': '1480781917', 'indices': [16, 26]}], 'urls': [{'url': 'https://t.co/ZTyRDGBBLa', 'expanded_url': 'https://twitter.com/i/web/status/1333205310601879552', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1332343354122702849,2020-11-27 15:19:44,“I am particularly proud of the 0.5ml Tangerine Dream 510 cartridge kit. There’s no other product that can match th… https://t.co/7Lot09oKZS,27,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7Lot09oKZS', 'expanded_url': 'https://twitter.com/i/web/status/1332343354122702849', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
