id,created_at,text,favorites,retweets,entities,language
1351862068199251968,2021-01-20 12:00:08,#News: Bayer announces U.S. #FDA approval of novel therapy for the treatment of chronic #heartfailure:… https://t.co/190C7O9dBm,24,10,"{'hashtags': [{'text': 'News', 'indices': [0, 5]}, {'text': 'FDA', 'indices': [28, 32]}, {'text': 'heartfailure', 'indices': [88, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/190C7O9dBm', 'expanded_url': 'https://twitter.com/i/web/status/1351862068199251968', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",en
1350770285520297986,2021-01-17 11:41:46,"RT @Bayer: „We need more Elon Musks.“
In today’s interview with @welt @ulfposh, our CEO Werner Baumann talks about the collaboration with @…",0,11,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bayer', 'name': 'Bayer AG', 'id': 137319302, 'id_str': '137319302', 'indices': [3, 9]}, {'screen_name': 'welt', 'name': 'WELT', 'id': 8720562, 'id_str': '8720562', 'indices': [64, 69]}, {'screen_name': 'ulfposh', 'name': 'Ulf Poschardt', 'id': 1949194382, 'id_str': '1949194382', 'indices': [70, 78]}], 'urls': []}",en
1349990021877661696,2021-01-15 08:01:17,We are excited to be among the first companies to gain access to a new a clinical information software platform lau… https://t.co/Liy0s9bNin,32,10,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Liy0s9bNin', 'expanded_url': 'https://twitter.com/i/web/status/1349990021877661696', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349284378149609472,2021-01-13 09:17:18,"From monologue to dialogue - @jeffdachis!
Building on @onedroptoday, @Bayer and IDS will jointly develop and evolve… https://t.co/qpqPGRG9WL",26,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jeffdachis', 'name': 'Jeff Dachis', 'id': 7336292, 'id_str': '7336292', 'indices': [29, 40]}, {'screen_name': 'onedroptoday', 'name': 'One Drop', 'id': 2986913206, 'id_str': '2986913206', 'indices': [54, 67]}, {'screen_name': 'Bayer', 'name': 'Bayer AG', 'id': 137319302, 'id_str': '137319302', 'indices': [69, 75]}], 'urls': [{'url': 'https://t.co/qpqPGRG9WL', 'expanded_url': 'https://twitter.com/i/web/status/1349284378149609472', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349281739773009922,2021-01-13 09:06:49,"RT @jeffdachis: Excited to participate with @stefanoelrich and @Jkehren03 in +++ Transforming Healthcare – Transforming Bayer +++ 
""We are…",0,8,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jeffdachis', 'name': 'Jeff Dachis', 'id': 7336292, 'id_str': '7336292', 'indices': [3, 14]}, {'screen_name': 'stefanoelrich', 'name': 'Stefan Oelrich', 'id': 52133199, 'id_str': '52133199', 'indices': [44, 58]}, {'screen_name': 'Jkehren03', 'name': 'Jeanne Kehren', 'id': 2975031610, 'id_str': '2975031610', 'indices': [63, 73]}], 'urls': []}",en
1349281637004095488,2021-01-13 09:06:25,"In 2016, @Bayer and Versant Ventures established @BlueRockTx! BlueRock’s technology seeks to restore tissue functio… https://t.co/XKbpldG1Bm",33,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bayer', 'name': 'Bayer AG', 'id': 137319302, 'id_str': '137319302', 'indices': [9, 15]}, {'screen_name': 'BlueRockTx', 'name': 'BlueRock', 'id': 885301571986243584, 'id_str': '885301571986243584', 'indices': [49, 60]}], 'urls': [{'url': 'https://t.co/XKbpldG1Bm', 'expanded_url': 'https://twitter.com/i/web/status/1349281637004095488', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349276337140363269,2021-01-13 08:45:21,Bayer’s development portfolio of cell &amp; gene therapies already comprises 7 advanced assets in different stages of c… https://t.co/9RCWGV7KzM,35,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9RCWGV7KzM', 'expanded_url': 'https://twitter.com/i/web/status/1349276337140363269', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1349266991123673089,2021-01-13 08:08:13,"RT @Bayer: +++ Transforming Healthcare – Transforming Bayer +++ 
We are transforming pharma business through breakthrough innovation in hea…",0,23,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bayer', 'name': 'Bayer AG', 'id': 137319302, 'id_str': '137319302', 'indices': [3, 9]}], 'urls': []}",en
1349074042729488393,2021-01-12 19:21:31,Great to see our @KandyBiotech and @AskBio #mergersandacquisitions mentioned in @pharmashot’s wrap up of the Top 20… https://t.co/ecFGHdPFd4,10,6,"{'hashtags': [{'text': 'mergersandacquisitions', 'indices': [43, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KandyBiotech', 'name': 'KaNDy Therapeutics', 'id': 1022076257612312579, 'id_str': '1022076257612312579', 'indices': [17, 30]}, {'screen_name': 'AskBio', 'name': 'ASKBIOGRAPHY', 'id': 235286487, 'id_str': '235286487', 'indices': [35, 42]}, {'screen_name': 'Pharmashot', 'name': 'PharmaShots - Incisive news in 3 shots', 'id': 1022473214457348096, 'id_str': '1022473214457348096', 'indices': [80, 91]}], 'urls': [{'url': 'https://t.co/ecFGHdPFd4', 'expanded_url': 'https://twitter.com/i/web/status/1349074042729488393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349026939319824384,2021-01-12 16:14:20,"RT @Bayer: +++ News +++
Gene Therapy Leader Katherine High Joins @ask_bio as President, Therapeutics, strengthening Bayer's Cell and Gene T…",0,14,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bayer', 'name': 'Bayer AG', 'id': 137319302, 'id_str': '137319302', 'indices': [3, 9]}, {'screen_name': 'ask_bio', 'name': 'Asklepios BioPharmaceutical, Inc. (AskBio)', 'id': 1131635203754070017, 'id_str': '1131635203754070017', 'indices': [65, 73]}], 'urls': []}",en
1348978276774137856,2021-01-12 13:00:58,#NEWS: #Bayer announces U.S. #FDA grants priority review to novel therapy for patients living with… https://t.co/D47mEAYYIb,33,16,"{'hashtags': [{'text': 'NEWS', 'indices': [0, 5]}, {'text': 'Bayer', 'indices': [7, 13]}, {'text': 'FDA', 'indices': [29, 33]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D47mEAYYIb', 'expanded_url': 'https://twitter.com/i/web/status/1348978276774137856', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [100, 123]}]}",en
