id,created_at,text,favorites,retweets,entities,language
1351182566485864453,2021-01-18 15:00:02,"Our U.S. Head of Inclusion &amp; Diversity, Shakti Harris, reflects on her experience as a child of immigrants and now… https://t.co/FiWtyVpeu7",3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FiWtyVpeu7', 'expanded_url': 'https://twitter.com/i/web/status/1351182566485864453', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1349354557290196992,2021-01-13 13:56:10,"RT @endpts: By now, Bayer has sketched out in bold strokes some grand plans for cell and gene therapy, cemented by big-dollar acquisitions…",0,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'endpts', 'name': 'Endpoints News', 'id': 3460109487, 'id_str': '3460109487', 'indices': [3, 10]}], 'urls': []}",en
1349109386778710016,2021-01-12 21:41:57,"Recently, Bayer announced a new #precisiononcology initiative with @Veracyte to offer #genomictesting to certain… https://t.co/fKdAL3oRM2",8,4,"{'hashtags': [{'text': 'precisiononcology', 'indices': [32, 50]}, {'text': 'genomictesting', 'indices': [86, 101]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Veracyte', 'name': 'Veracyte, Inc.', 'id': 141256662, 'id_str': '141256662', 'indices': [67, 76]}], 'urls': [{'url': 'https://t.co/fKdAL3oRM2', 'expanded_url': 'https://twitter.com/i/web/status/1349109386778710016', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1348996636844941312,2021-01-12 14:13:56,NEWS: Bayer announced the @US_FDA accepted a new drug application and granted priority review for its investigation… https://t.co/CiVTAbiS8h,11,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [26, 33]}], 'urls': [{'url': 'https://t.co/CiVTAbiS8h', 'expanded_url': 'https://twitter.com/i/web/status/1348996636844941312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346840526704660481,2021-01-06 15:26:19,"On #NationalTechnologyDay, Jessica, a technical agronomist here at Bayer, recognizes the impact that a career in… https://t.co/pOUH6dNkhD",50,17,"{'hashtags': [{'text': 'NationalTechnologyDay', 'indices': [3, 25]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pOUH6dNkhD', 'expanded_url': 'https://twitter.com/i/web/status/1346840526704660481', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1346814142695559168,2021-01-06 13:41:28,"RT @BayerPharma: #NEWS: @LeapsbyBayer announced a Series B investment in @sentibio, a leading gene circuit company developing next-generati…",0,11,"{'hashtags': [{'text': 'NEWS', 'indices': [17, 22]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BayerPharma', 'name': 'Bayer Pharma', 'id': 44314871, 'id_str': '44314871', 'indices': [3, 15]}, {'screen_name': 'LeapsByBayer', 'name': 'Leaps by Bayer', 'id': 925767482912182274, 'id_str': '925767482912182274', 'indices': [24, 37]}, {'screen_name': 'SentiBio', 'name': 'Senti Biosciences', 'id': 745648750375231488, 'id_str': '745648750375231488', 'indices': [73, 82]}], 'urls': []}",en
1346528275686977539,2021-01-05 18:45:32,"RT @whitakercenter: We are happy to announce that we received a $10,000 grant from Bayer Fund. This grant allows us to support educational…",0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'whitakercenter', 'name': 'Whitaker Center', 'id': 17844853, 'id_str': '17844853', 'indices': [3, 18]}], 'urls': []}",en
1346084575768948738,2021-01-04 13:22:26,RT @Bayer: Is it just fatigue or something more? See why keeping up with your cardiovascular health is important to staying safe during the…,0,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Bayer', 'name': 'Bayer AG', 'id': 137319302, 'id_str': '137319302', 'indices': [3, 9]}], 'urls': []}",en
1344357588037677058,2020-12-30 19:00:00,"As 2020 comes to a close, Bayer employee Sameer reflects on his time heading back to the hospital and volunteering… https://t.co/4ow5lcpEBZ",13,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4ow5lcpEBZ', 'expanded_url': 'https://twitter.com/i/web/status/1344357588037677058', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1343572423250239488,2020-12-28 15:00:02,Jennifer understands the power women bring to #STEM. As she manages clinical trials for new pharmaceutical products… https://t.co/rHKKzwxObg,16,4,"{'hashtags': [{'text': 'STEM', 'indices': [46, 51]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rHKKzwxObg', 'expanded_url': 'https://twitter.com/i/web/status/1343572423250239488', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
