id,created_at,text,favorites,retweets,entities,language
1070624168402542592,2018-12-06 10:21:07,"@dogonsomoricand Hi there! We've sent you a private message, kindly check your inbox. Hope to hear back from you soon. Thanks!",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dogonsomoricand', 'name': 'A ☝', 'id': 232866941, 'id_str': '232866941', 'indices': [0, 16]}], 'urls': []}",en
1052694129203863553,2018-10-17 22:53:33,"@welacno Hi Kalui! Nag send kami sa iyo ng direct message, maaring paki check ang iyong inbox. Salamat!",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",tl
1037144881645285376,2018-09-05 01:06:23,@welacno Hey Kalui! One tablet a day lang po ang recommended dose ng Berocca. :),0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",tl
692630199792369664,2016-01-28 08:48:02,Working out this weekend? Be #OnFullBlast from the office to the gym with Berocca! https://t.co/4bbhVqzG9h,6,0,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [29, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 689988075057999872, 'id_str': '689988075057999872', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/CZNUf6EWcAAG6-O.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZNUf6EWcAAG6-O.jpg', 'url': 'https://t.co/4bbhVqzG9h', 'display_url': 'pic.twitter.com/4bbhVqzG9h', 'expanded_url': 'https://twitter.com/BeroccaPh/status/692630199792369664/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
692161878483562496,2016-01-27 01:47:06,It's a New Year! Rise and shine #OnFullBlast with Berocca! https://t.co/s5HDeWHVTR,6,0,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [32, 44]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 689987738049847296, 'id_str': '689987738049847296', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/CZNUMSnWIAACf44.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZNUMSnWIAACf44.jpg', 'url': 'https://t.co/s5HDeWHVTR', 'display_url': 'pic.twitter.com/s5HDeWHVTR', 'expanded_url': 'https://twitter.com/BeroccaPh/status/692161878483562496/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
691822893055913984,2016-01-26 03:20:05,"Be #OnFullBlast with Berocca, it contains vitamins and minerals for mental and physical edge! https://t.co/8aTAc3K7AR",4,2,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [3, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 690373559533838336, 'id_str': '690373559533838336', 'indices': [94, 117], 'media_url': 'http://pbs.twimg.com/media/CZSzGDpWIAAqC-x.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZSzGDpWIAAqC-x.jpg', 'url': 'https://t.co/8aTAc3K7AR', 'display_url': 'pic.twitter.com/8aTAc3K7AR', 'expanded_url': 'https://twitter.com/BeroccaPh/status/691822893055913984/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
691392791725735936,2016-01-24 22:51:01,Be #OnFullBlast at work with a glass of Berocca before your big presentation! https://t.co/FLhbcaq7s4,3,0,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [3, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 689988727481987073, 'id_str': '689988727481987073', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/CZNVF4iWcAEF3Bb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZNVF4iWcAEF3Bb.jpg', 'url': 'https://t.co/FLhbcaq7s4', 'display_url': 'pic.twitter.com/FLhbcaq7s4', 'expanded_url': 'https://twitter.com/BeroccaPh/status/691392791725735936/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
691073944363728896,2016-01-24 01:44:02,"When you reach your peak, keep climbing #OnFullBlast with Berocca! https://t.co/jHOS2BzY72",0,0,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [40, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 689986954004451330, 'id_str': '689986954004451330', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/CZNTep0W0AIAMld.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZNTep0W0AIAMld.jpg', 'url': 'https://t.co/jHOS2BzY72', 'display_url': 'pic.twitter.com/jHOS2BzY72', 'expanded_url': 'https://twitter.com/BeroccaPh/status/691073944363728896/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
690741500506865674,2016-01-23 03:43:01,Stay on top of your game! Stay hydrated and be #OnFullBlast with a glass of Berocca! https://t.co/sraT0ABrwL,3,0,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [47, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 689986744733798401, 'id_str': '689986744733798401', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/CZNTSeOWEAEo3sP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZNTSeOWEAEo3sP.jpg', 'url': 'https://t.co/sraT0ABrwL', 'display_url': 'pic.twitter.com/sraT0ABrwL', 'expanded_url': 'https://twitter.com/BeroccaPh/status/690741500506865674/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
690363772536401920,2016-01-22 02:42:04,Switch your coffee break with a glass of Berocca to be #OnFullBlast at work! https://t.co/ke7xa8R17O,3,0,"{'hashtags': [{'text': 'OnFullBlast', 'indices': [55, 67]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 689986528236453888, 'id_str': '689986528236453888', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/media/CZNTF3tWwAAq2GR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/CZNTF3tWwAAq2GR.jpg', 'url': 'https://t.co/ke7xa8R17O', 'display_url': 'pic.twitter.com/ke7xa8R17O', 'expanded_url': 'https://twitter.com/BeroccaPh/status/690363772536401920/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
