id,created_at,text,favorites,retweets,entities,language
1351982937722527748,2021-01-20 20:00:25,"Excited to announce that Monica Herrera, M.S., M.D., director of R&amp;D for molecular diagnostics at Bio-Rad, will be… https://t.co/ClvfsJAMhD",2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ClvfsJAMhD', 'expanded_url': 'https://twitter.com/i/web/status/1351982937722527748', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1351938040860717056,2021-01-20 17:02:01,Register now for the upcoming #covid19 webinar hosted by expert #SARSCoV2 panel. Don't miss your chance for live Q&amp;… https://t.co/WeIuVaVRtK,2,1,"{'hashtags': [{'text': 'covid19', 'indices': [30, 38]}, {'text': 'SARSCoV2', 'indices': [64, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WeIuVaVRtK', 'expanded_url': 'https://twitter.com/i/web/status/1351938040860717056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351922783756963840,2021-01-20 16:01:23,Need help?  Don't get stuck!  Our purification experts are here to assist!  Request an on-site seminar or virtual s… https://t.co/iZquNfUcJl,2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iZquNfUcJl', 'expanded_url': 'https://twitter.com/i/web/status/1351922783756963840', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351620526888919040,2021-01-19 20:00:20,"Adeno-associated viral (AAV) vectors are commonly used in the #genetherapy world, supporting approx. 250 clinical t… https://t.co/CCu4GlexNV",2,1,"{'hashtags': [{'text': 'genetherapy', 'indices': [62, 74]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CCu4GlexNV', 'expanded_url': 'https://twitter.com/i/web/status/1351620526888919040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351560343986827265,2021-01-19 16:01:11,Bio-Rad manufactures a wide range of chromatography resins that can be used for the purification of your vaccine or… https://t.co/8aaN2CNsUq,3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8aaN2CNsUq', 'expanded_url': 'https://twitter.com/i/web/status/1351560343986827265', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351228276971368449,2021-01-18 18:01:40,Looking to implement wastewater testing for #COVID19 in your community? The CDC recently outlined steps for develop… https://t.co/pvKhqsC7Sj,4,1,"{'hashtags': [{'text': 'COVID19', 'indices': [44, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pvKhqsC7Sj', 'expanded_url': 'https://twitter.com/i/web/status/1351228276971368449', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351197861115998209,2021-01-18 16:00:48,"Purifying mAbs?  HCPs and aggregates giving you purification troubles?  Nuvia aPrime 4A is here!  

Download the tr… https://t.co/wrfWQFHRpU",3,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wrfWQFHRpU', 'expanded_url': 'https://twitter.com/i/web/status/1351197861115998209', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350171144683483138,2021-01-15 20:01:00,Hear from the experts directly *for free* at the 2021 Precision Medicine World Congress on Jan. 23-25. Speakers inc… https://t.co/uQLRwGvgrw,5,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uQLRwGvgrw', 'expanded_url': 'https://twitter.com/i/web/status/1350171144683483138', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350141128042033152,2021-01-15 18:01:43,Raul Gonzalez performed a 20-week #WBE study that found wastewater sampling can detect #COVID19 outbreaks up to 6 d… https://t.co/EWJ0naE2dm,6,1,"{'hashtags': [{'text': 'WBE', 'indices': [34, 38]}, {'text': 'COVID19', 'indices': [87, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EWJ0naE2dm', 'expanded_url': 'https://twitter.com/i/web/status/1350141128042033152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349778444222136325,2021-01-14 18:00:33,How can you avoid smiley faces on gels? How do you avoid the merging of bands? Watch this chat with our western blo… https://t.co/x6Wiqt51hJ,1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/x6Wiqt51hJ', 'expanded_url': 'https://twitter.com/i/web/status/1349778444222136325', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349416009279664131,2021-01-13 18:00:22,"Watch a lively discussion about the current issues in lab-scale and process chromatography projects, including samp… https://t.co/nyNJHO9FIc",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nyNJHO9FIc', 'expanded_url': 'https://twitter.com/i/web/status/1349416009279664131', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349402132860948487,2021-01-13 17:05:13,"“What we’re trying to do is identify outbreaks before they happen,” says @CranfieldUni’s Francis Hassard, discussin… https://t.co/nFfsxWAdrr",3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CranfieldUni', 'name': 'Cranfield University', 'id': 20779142, 'id_str': '20779142', 'indices': [73, 86]}], 'urls': [{'url': 'https://t.co/nFfsxWAdrr', 'expanded_url': 'https://twitter.com/i/web/status/1349402132860948487', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349053771859562498,2021-01-12 18:00:58,PVDF or nitrocellulose? Which membranes are best for which application? Get answers to this question and many more… https://t.co/UkfW4VkwVU,1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UkfW4VkwVU', 'expanded_url': 'https://twitter.com/i/web/status/1349053771859562498', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1348691203806658566,2021-01-11 18:00:15,Grab your ☕️ and watch the Chromatography Coffee Chat ON-DEMAND now!  Listen to the chromies discuss best practices… https://t.co/ACV4X8jhue,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ACV4X8jhue', 'expanded_url': 'https://twitter.com/i/web/status/1348691203806658566', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347604286105145347,2021-01-08 18:01:13,Register now for the upcoming #covid19 webinar hosted by expert #SARSCoV2 panel. Don't miss your chance for live Q&amp;… https://t.co/N1JEjMPXHp,2,0,"{'hashtags': [{'text': 'covid19', 'indices': [30, 38]}, {'text': 'SARSCoV2', 'indices': [64, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N1JEjMPXHp', 'expanded_url': 'https://twitter.com/i/web/status/1347604286105145347', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1347332227198291969,2021-01-08 00:00:09,Learn how resin functionalities can maximize yield and improve process economy.  Check out the special report!… https://t.co/mEJZ5s3DBd,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mEJZ5s3DBd', 'expanded_url': 'https://twitter.com/i/web/status/1347332227198291969', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}",en
1347241970465439747,2021-01-07 18:01:30,"#COVID19 wastewater testing could ""provide guidance on how all individuals, even those who don’t know they’re infec… https://t.co/VlL6VRxd8L",1,0,"{'hashtags': [{'text': 'COVID19', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VlL6VRxd8L', 'expanded_url': 'https://twitter.com/i/web/status/1347241970465439747', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346984932363550724,2021-01-07 01:00:08,See how the Bio-Rad Vericheck #ddPCR Mycoplasma Solution reduces variability to give you highly reproducible result… https://t.co/gJxG3pa2H5,3,0,"{'hashtags': [{'text': 'ddPCR', 'indices': [30, 36]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gJxG3pa2H5', 'expanded_url': 'https://twitter.com/i/web/status/1346984932363550724', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346840624717312000,2021-01-06 15:26:42,RT @DxbSciencePark: Our #businesspartner @BioRadLifeSci has launched a new range of fluorescent nanoparticles which can be used in the dete…,0,1,"{'hashtags': [{'text': 'businesspartner', 'indices': [24, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DxbSciencePark', 'name': 'Dubai Science Park', 'id': 3312189008, 'id_str': '3312189008', 'indices': [3, 18]}, {'screen_name': 'BioRadLifeSci', 'name': 'Bio-Rad Life Science', 'id': 727094240, 'id_str': '727094240', 'indices': [41, 55]}], 'urls': []}",en
