id,created_at,text,favorites,retweets,entities,language
1351557744806006785,2021-01-19 15:50:51,"@PeLo0307 @BoehringerDE Liebe Petra, es tut uns leid von Ihrem Gesundheitszustand zu hören. Wir empfehlen Ihnen auc… https://t.co/3BhZuqwLD5",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PeLo0307', 'name': 'Petra L.', 'id': 813796498399969280, 'id_str': '813796498399969280', 'indices': [0, 9]}, {'screen_name': 'BoehringerDE', 'name': 'Boehringer Ingelheim', 'id': 145689047, 'id_str': '145689047', 'indices': [10, 23]}], 'urls': [{'url': 'https://t.co/3BhZuqwLD5', 'expanded_url': 'https://twitter.com/i/web/status/1351557744806006785', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",de
1351106305369333761,2021-01-18 09:57:00,#RESEARCHERS: How would you propose to identify or verify novel peptides that alone or in combination can lead to a… https://t.co/jedLfLZVMF,4,1,"{'hashtags': [{'text': 'RESEARCHERS', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jedLfLZVMF', 'expanded_url': 'https://twitter.com/i/web/status/1351106305369333761', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350058697813323777,2021-01-15 12:34:11,"Curious about quantum computing? We are, too! That’s why we are entering a partnership with @GoogleAI in this field… https://t.co/84k6vs2gKe",85,27,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GoogleAI', 'name': 'Google AI', 'id': 33838201, 'id_str': '33838201', 'indices': [92, 101]}], 'urls': [{'url': 'https://t.co/84k6vs2gKe', 'expanded_url': 'https://twitter.com/i/web/status/1350058697813323777', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349389688180760583,2021-01-13 16:15:46,There are no easy solutions to #OneHealth threats like parasites – but there are some very clever ones😎! Find out h… https://t.co/LBgd0ZbOrQ,4,1,"{'hashtags': [{'text': 'OneHealth', 'indices': [31, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LBgd0ZbOrQ', 'expanded_url': 'https://twitter.com/i/web/status/1349389688180760583', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349364454807527424,2021-01-13 14:35:30,"@pikadafu Unfortunately, we are still experiencing supply interruptions for this product due to the COVID-19 impact… https://t.co/RbbqYMZZ43",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pikadafu', 'name': 'butterfly', 'id': 1057620038, 'id_str': '1057620038', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/RbbqYMZZ43', 'expanded_url': 'https://twitter.com/i/web/status/1349364454807527424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349022311765188608,2021-01-12 15:55:57,"In swine farming, the future is already here! Find out how #farmers today are using artificial intelligence to redu… https://t.co/9G7I7tXAl9",4,2,"{'hashtags': [{'text': 'farmers', 'indices': [59, 67]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9G7I7tXAl9', 'expanded_url': 'https://twitter.com/i/web/status/1349022311765188608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348919318919208960,2021-01-12 09:06:41,#PRESS: We are excited to collaborate with @Enara_Bio with the aim to discover #DarkAntigens for cancer immunothera… https://t.co/GvE87hOksD,10,4,"{'hashtags': [{'text': 'PRESS', 'indices': [0, 6]}, {'text': 'DarkAntigens', 'indices': [79, 92]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Enara_Bio', 'name': 'Enara Bio', 'id': 1171432333045403648, 'id_str': '1171432333045403648', 'indices': [43, 53]}], 'urls': [{'url': 'https://t.co/GvE87hOksD', 'expanded_url': 'https://twitter.com/i/web/status/1348919318919208960', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348905428076343297,2021-01-12 08:11:30,RT @Boehringer_AH: #PRESS: Proud to announce we have partnered with @PetMedix 🙏! Our aim? To develop novel and transformative #antibody the…,0,6,"{'hashtags': [{'text': 'PRESS', 'indices': [19, 25]}, {'text': 'antibody', 'indices': [126, 135]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Boehringer_AH', 'name': 'Boehringer Ingelheim', 'id': 17066119, 'id_str': '17066119', 'indices': [3, 17]}, {'screen_name': 'PetMedix', 'name': 'PetMedix', 'id': 969512563519213568, 'id_str': '969512563519213568', 'indices': [68, 77]}], 'urls': []}",en
1348632509953810434,2021-01-11 14:07:01,"@rrdmoreno Dear Regina, for more information please visit https://t.co/fatgi8Eg2m. It is important to note that the… https://t.co/dBtvMfjVsX",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rrdmoreno', 'name': 'Regina', 'id': 2610817171, 'id_str': '2610817171', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/fatgi8Eg2m', 'expanded_url': 'https://bit.ly/2DInasp', 'display_url': 'bit.ly/2DInasp', 'indices': [58, 81]}, {'url': 'https://t.co/dBtvMfjVsX', 'expanded_url': 'https://twitter.com/i/web/status/1348632509953810434', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348570347919040512,2021-01-11 10:00:00,#RESEARCHERS: BIIE0246 is a neuropeptide Y (NPY) receptor antagonist with unprecedented affinity and high selectivi… https://t.co/5tCmqj8EgJ,9,0,"{'hashtags': [{'text': 'RESEARCHERS', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5tCmqj8EgJ', 'expanded_url': 'https://twitter.com/i/web/status/1348570347919040512', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348558637749432320,2021-01-11 09:13:28,"#PRESS: We are joining forces with @GoogleAI in #quantum computing! Together, we explore the potential of quantum c… https://t.co/w1A3HhJ7Aq",38,13,"{'hashtags': [{'text': 'PRESS', 'indices': [0, 6]}, {'text': 'quantum', 'indices': [48, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'GoogleAI', 'name': 'Google AI', 'id': 33838201, 'id_str': '33838201', 'indices': [35, 44]}], 'urls': [{'url': 'https://t.co/w1A3HhJ7Aq', 'expanded_url': 'https://twitter.com/i/web/status/1348558637749432320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
