id,created_at,text,favorites,retweets,entities,language
1343973173239439362,2020-12-29 17:32:28,@DeborahOBryan Hi there. We may be able to help! For questions about insurance issues please give us a call at 1-84… https://t.co/HTRA5DMjcN,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DeborahOBryan', 'name': ""Deborah O'Bryan"", 'id': 552350469, 'id_str': '552350469', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/HTRA5DMjcN', 'expanded_url': 'https://twitter.com/i/web/status/1343973173239439362', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336063851859742721,2020-12-07 21:43:39,@TGADarrenReese Hi. We're so sorry to hear this. Please send us a DM so we can work through your concerns.,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TGADarrenReese', 'name': 'Darren Reese', 'id': 807287958, 'id_str': '807287958', 'indices': [0, 15]}], 'urls': []}",en
1333425294481518593,2020-11-30 14:58:58,@CowboyConserva2 Hey there. That's nice of you to say! Thank you for taking the time to post. By sharing with one a… https://t.co/LWYCZsySD1,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CowboyConserva2', 'name': 'CowboyConservative', 'id': 1307861772825628672, 'id_str': '1307861772825628672', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/LWYCZsySD1', 'expanded_url': 'https://twitter.com/i/web/status/1333425294481518593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1329464035956371456,2020-11-19 16:38:21,"@GiGi99938182 Hi. Your doctor is the best resource here, as each person's experience is as unique as their conditio… https://t.co/K5ZsDAJzpM",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GiGi99938182', 'name': 'GiGi', 'id': 1231251169676316677, 'id_str': '1231251169676316677', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/K5ZsDAJzpM', 'expanded_url': 'https://twitter.com/i/web/status/1329464035956371456', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1329088140959571971,2020-11-18 15:44:40,"@redbird_sam Hey there. If you're considering treatment, learn more about $0 co-pay support:… https://t.co/7TSeh9EAJ3",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'redbird_sam', 'name': 'SamRedbird', 'id': 1316922974130196480, 'id_str': '1316922974130196480', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/7TSeh9EAJ3', 'expanded_url': 'https://twitter.com/i/web/status/1329088140959571971', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [94, 117]}]}",en
1329086992194314250,2020-11-18 15:40:06,@GiGi99938182 Hi. Glad to hear COSENTYX is right for you! We love hearing about our patients' experiences. Thanks for sharing yours!,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GiGi99938182', 'name': 'GiGi', 'id': 1231251169676316677, 'id_str': '1231251169676316677', 'indices': [0, 13]}], 'urls': []}",en
1329085686822027265,2020-11-18 15:34:55,@bitch_animal Hi there. Thanks for your question. Your doctor knows best. Talk to your dr. to learn more about trea… https://t.co/7wAC9jGyHz,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bitch_animal', 'name': 'Whispers', 'id': 1086811250514907137, 'id_str': '1086811250514907137', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/7wAC9jGyHz', 'expanded_url': 'https://twitter.com/i/web/status/1329085686822027265', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1328804435393437703,2020-11-17 20:57:20,@GarlicOlar Hi there. Thanks for reaching out. We're working hard to make sure more patients than ever are able to… https://t.co/vKcYAtcC75,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GarlicOlar', 'name': 'SOlarGarlic', 'id': 1326969143107706881, 'id_str': '1326969143107706881', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/vKcYAtcC75', 'expanded_url': 'https://twitter.com/i/web/status/1328804435393437703', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1325828468945399808,2020-11-09 15:51:54,@ZFitz8 We're sorry to hear that. We're working hard to make sure more patients than ever are able to access COSENT… https://t.co/45gbzTdLD0,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ZFitz8', 'name': 'ZeldaFitz8', 'id': 1313936769285586951, 'id_str': '1313936769285586951', 'indices': [0, 7]}], 'urls': [{'url': 'https://t.co/45gbzTdLD0', 'expanded_url': 'https://twitter.com/i/web/status/1325828468945399808', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1322183507096014850,2020-10-30 14:28:07,@cody_lefler Happy to hear COSENTYX is working for you! We love hearing about our patients' experiences. Thanks for sharing yours!,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cody_lefler', 'name': 'cody lefler', 'id': 1319870989946228736, 'id_str': '1319870989946228736', 'indices': [0, 12]}], 'urls': []}",en
