id,created_at,text,favorites,retweets,entities,language
1351940483677904901,2021-01-20 17:11:43,RT @KarenSLynch: Today’s Inauguration marks a new chapter in our nation’s history. I look forward to working with the new administration to…,0,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KarenSLynch', 'name': 'Karen Lynch', 'id': 889977910475595777, 'id_str': '889977910475595777', 'indices': [3, 15]}], 'urls': []}",en
1350442686705242114,2021-01-16 14:00:01,"Thanks to the tireless efforts of our frontline clinical staff and long-term care facility partners, #CVSHealth has… https://t.co/k2KgY40DId",96,24,"{'hashtags': [{'text': 'CVSHealth', 'indices': [101, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/k2KgY40DId', 'expanded_url': 'https://twitter.com/i/web/status/1350442686705242114', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350191405860347906,2021-01-15 21:21:31,"Incoming #CVSHealth President and CEO, @KarenSLynch, reacts to President-Elect Biden’s #COVID19 update. For the ful… https://t.co/zR4Kq5pfcS",36,15,"{'hashtags': [{'text': 'CVSHealth', 'indices': [9, 19]}, {'text': 'COVID19', 'indices': [87, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KarenSLynch', 'name': 'Karen Lynch', 'id': 889977910475595777, 'id_str': '889977910475595777', 'indices': [39, 51]}], 'urls': [{'url': 'https://t.co/zR4Kq5pfcS', 'expanded_url': 'https://twitter.com/i/web/status/1350191405860347906', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350110519747862528,2021-01-15 16:00:06,"Poor nutrition can be a root cause of multiple chronic conditions, including creating increased risk of severe illn… https://t.co/esSGQZoIRU",6,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/esSGQZoIRU', 'expanded_url': 'https://twitter.com/i/web/status/1350110519747862528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350089270338482177,2021-01-15 14:35:40,"RT @KarenSLynch: Dr. Martin Luther King, Jr., advocated for a world where everyone would experience justice equally. #MLKDay is a chance fo…",0,12,"{'hashtags': [{'text': 'MLKDay', 'indices': [117, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KarenSLynch', 'name': 'Karen Lynch', 'id': 889977910475595777, 'id_str': '889977910475595777', 'indices': [3, 15]}], 'urls': []}",en
1349838710343430146,2021-01-14 22:00:01,"Talking prescription bottles can make life easier. An innovative feature on the CVS Pharmacy app, Spoken Rx reads p… https://t.co/oFkNZMN0xK",11,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oFkNZMN0xK', 'expanded_url': 'https://twitter.com/i/web/status/1349838710343430146', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349808510008233987,2021-01-14 20:00:01,CVS Health Launches Symphony™ to Support Senior Safety at Home and Enhance Caregiver Peace of Mind. https://t.co/Xj3LRFYytf,7,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Xj3LRFYytf', 'expanded_url': 'https://cvs.co/3ia091C', 'display_url': 'cvs.co/3ia091C', 'indices': [100, 123]}]}",en
1349785884485443584,2021-01-14 18:30:07,#CVSHealth Executive Vice President and Aetna President @KarenSLynch discussed during #JPM2021 how CVS Health will… https://t.co/RbQWhk1sO7,5,1,"{'hashtags': [{'text': 'CVSHealth', 'indices': [0, 10]}, {'text': 'JPM2021', 'indices': [86, 94]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KarenSLynch', 'name': 'Karen Lynch', 'id': 889977910475595777, 'id_str': '889977910475595777', 'indices': [56, 68]}], 'urls': [{'url': 'https://t.co/RbQWhk1sO7', 'expanded_url': 'https://twitter.com/i/web/status/1349785884485443584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349455255914876929,2021-01-13 20:36:19,RT @jpmorgan: CVS Health's Karen S. Lynch joins a keynote panel about COVID-19 vaccines at #JPMHC21 today.,0,3,"{'hashtags': [{'text': 'JPMHC21', 'indices': [91, 99]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jpmorgan', 'name': 'J.P. Morgan', 'id': 1155522630, 'id_str': '1155522630', 'indices': [3, 12]}], 'urls': []}",en
1349419722681556999,2021-01-13 18:15:07,"During #JPM2021, #CVSHealth Executive Vice President and Aetna President @KarenSLynch discussed our #COVID19 vaccin… https://t.co/8eyq7EflmP",18,6,"{'hashtags': [{'text': 'JPM2021', 'indices': [7, 15]}, {'text': 'CVSHealth', 'indices': [17, 27]}, {'text': 'COVID19', 'indices': [100, 108]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KarenSLynch', 'name': 'Karen Lynch', 'id': 889977910475595777, 'id_str': '889977910475595777', 'indices': [73, 85]}], 'urls': [{'url': 'https://t.co/8eyq7EflmP', 'expanded_url': 'https://twitter.com/i/web/status/1349419722681556999', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
