id,created_at,text,favorites,retweets,entities,language
1349997248491483137,2021-01-15 08:30:00,"＼ 👨‍🎓受験生のみんなへ👩‍🎓 ／
大変な状況やけど、応援してるで！
万全の状態で受験に臨んでな〜👊👊👊
　
それと
#入試 対策はもちろん大切やけど、
#風邪 #花粉 対策も同じくらい大切やで❗
　
#共通テスト 頑張って🔥🔥… https://t.co/TiMFkCllUB",15,4,"{'hashtags': [{'text': '入試', 'indices': [60, 63]}, {'text': '風邪', 'indices': [78, 81]}, {'text': '花粉', 'indices': [82, 85]}, {'text': '共通テスト', 'indices': [102, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TiMFkCllUB', 'expanded_url': 'https://twitter.com/i/web/status/1349997248491483137', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1345157859877773312,2021-01-02 00:00:00,"🌅🌅🌅🌅新年明けましておめでとう🌅🌅🎍🎍
「一富士・二鷹・三茄子」ってゆうけど 僕の初夢は「一熱・二咳・三くしゃみ」 やったわ〜💦💦💦💦手洗い、マスク、ソーシャルディスタンス、 そしてコンタックで備えろってお告げやね 💊💊💊💊💊💊… https://t.co/7dB94iFHZN",48,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7dB94iFHZN', 'expanded_url': 'https://twitter.com/i/web/status/1345157859877773312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1341307492505067520,2020-12-22 09:00:01,"【今日は #twitterトレンド大賞 】
果たして #トリプルショット は入賞するのか・ ・ ・

今からでも遅くないから地球のみんな‼‼
#トリプルショット つけて拡散希望頼んだで〜👍

#大ファンなんや… https://t.co/EX6BbRM2T2",25,6,"{'hashtags': [{'text': 'twitterトレンド大賞', 'indices': [5, 19]}, {'text': 'トリプルショット', 'indices': [27, 36]}, {'text': 'トリプルショット', 'indices': [71, 80]}, {'text': '大ファンなんや', 'indices': [96, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EX6BbRM2T2', 'expanded_url': 'https://twitter.com/i/web/status/1341307492505067520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}",ja
1340824304942903298,2020-12-21 01:00:00,"🎯🎯🎯🎯🎯🎯🎯
#ボルタレン 
#年末ドリームくじ 
🎯🎯🎯🎯🎯🎯🎯

この前お知らせした企画がついに開催🎉

⬇今すぐボルタレンのツイートにアクセスや⬇

風邪のことなら➡【 #コンタック 】
関節や身体の痛みのことなら➡【… https://t.co/wBX3vxUtPd",20,7,"{'hashtags': [{'text': 'ボルタレン', 'indices': [8, 14]}, {'text': '年末ドリームくじ', 'indices': [16, 25]}, {'text': 'コンタック', 'indices': [89, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wBX3vxUtPd', 'expanded_url': 'https://twitter.com/i/web/status/1340824304942903298', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",ja
1339776623038529537,2020-12-18 03:36:53,"／
風邪のことなら #コンタック
関節や身体の痛みのことなら #ボルタレン 
(実はボクの友達やねん✨)
＼
皆が今年1年を頑張ったご褒美に
#年末ドリームくじ を開催するで👇

今なら事前登録で当選確率2倍！
銭…もとい、善は急… https://t.co/AZ6W9OQ17l",15,6,"{'hashtags': [{'text': 'コンタック', 'indices': [10, 16]}, {'text': 'ボルタレン', 'indices': [31, 37]}, {'text': '年末ドリームくじ', 'indices': [71, 80]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AZ6W9OQ17l', 'expanded_url': 'https://twitter.com/i/web/status/1339776623038529537', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1338046001664290816,2020-12-13 09:00:01,"今日は #双子の日👬

ちょっとした裏話なんやけどな。
#コンタック のテレビCMに出てる
【熱かぜちゃん】と【のどかぜちゃん】って
顔は一緒だけど、性格は全然違うらしいで㊙

ま、どっちも #新コンタックかぜEX持続性
なら、ま… https://t.co/fUrT4oTKFf",66,19,"{'hashtags': [{'text': '双子の日', 'indices': [4, 9]}, {'text': 'コンタック', 'indices': [28, 34]}, {'text': '新コンタックかぜEX持続性', 'indices': [96, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fUrT4oTKFf', 'expanded_url': 'https://twitter.com/i/web/status/1338046001664290816', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1337321229695463427,2020-12-11 09:00:02,"今日は #胃腸の日 っちゅーことで朗報を
ひとつ❗
#新コンタック総合かぜ薬トリプルショット
は胃にやさしい成分アセトアミノフェン配合
だから、服用時の胃の負担を気にする方にも
めっちゃオススメなんやで✌

胃にも女性にも優しいの… https://t.co/NZWEEvIhXK",10,4,"{'hashtags': [{'text': '胃腸の日', 'indices': [4, 9]}, {'text': '新コンタック総合かぜ薬トリプルショット', 'indices': [26, 46]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NZWEEvIhXK', 'expanded_url': 'https://twitter.com/i/web/status/1337321229695463427', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1335705578484723716,2020-12-06 22:00:00,"／
ひ゛え゛ん゛か゛つ゛ら゛い゛・・・😱
＼

#花粉 、#ハウスダスト による鼻みず・鼻づまりで苦しいときに❗ #新コンタック鼻炎Z は1日1回1錠でしっかり効いて効果が持続😃

来年の花粉シーズンも早い時期から「Z」でねらい撃… https://t.co/8BReyGFPAW",854,115,"{'hashtags': [{'text': '花粉', 'indices': [24, 27]}, {'text': 'ハウスダスト', 'indices': [29, 36]}, {'text': '新コンタック鼻炎Z', 'indices': [57, 67]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8BReyGFPAW', 'expanded_url': 'https://twitter.com/i/web/status/1335705578484723716', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1334422121338966016,2020-12-03 09:00:00,"ボクのオススメ
【 #新コンタックかぜEX持続性 】は、
独自の配合成分でのどの痛み、発熱に
ピンポイントに優れた効果を発揮する、
#コンタック の頂点※ともいえる存在✨
手強いかぜを🔫狙い撃ち🔫するんやで〜… https://t.co/jDiyjcZYS7",17,3,"{'hashtags': [{'text': '新コンタックかぜEX持続性', 'indices': [10, 24]}, {'text': 'コンタック', 'indices': [66, 72]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jDiyjcZYS7', 'expanded_url': 'https://twitter.com/i/web/status/1334422121338966016', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}",ja
1333168865593880576,2020-11-29 22:00:01,"😫😵外でも家でも鼻がムズムズ・・・😖🤧

そんな時は #新コンタック鼻炎Z ❗
#花粉 や #ハウスダスト による鼻炎症状を🎯ねらい撃ち❗
しかも直径約7mmの小さな錠剤で飲みやすく、1日1回1錠で効果を発揮👊

#コンタック
#広瀬すず
#ねらい撃ち",1211,128,"{'hashtags': [{'text': '新コンタック鼻炎Z', 'indices': [27, 37]}, {'text': '花粉', 'indices': [40, 43]}, {'text': 'ハウスダスト', 'indices': [46, 53]}, {'text': 'コンタック', 'indices': [107, 113]}, {'text': '広瀬すず', 'indices': [114, 119]}, {'text': 'ねらい撃ち', 'indices': [120, 126]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1330798246025777152,2020-11-23 09:00:01,"タイムラインが #勤労感謝の日 の話題でいっぱいやけど、実は今日は #ゲームの日 でもあるんやって🎮
遊ぶことは働くことと同じくらい大切ってことやね👍

#コンタック
#コンタックのつぶやき https://t.co/zLmKLaeTvU",24,5,"{'hashtags': [{'text': '勤労感謝の日', 'indices': [8, 15]}, {'text': 'ゲームの日', 'indices': [34, 40]}, {'text': 'コンタック', 'indices': [77, 83]}, {'text': 'コンタックのつぶやき', 'indices': [84, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1323978725986246656, 'id_str': '1323978725986246656', 'indices': [96, 119], 'media_url': 'http://pbs.twimg.com/media/El-3ovSVoAA7SZC.png', 'media_url_https': 'https://pbs.twimg.com/media/El-3ovSVoAA7SZC.png', 'url': 'https://t.co/zLmKLaeTvU', 'display_url': 'pic.twitter.com/zLmKLaeTvU', 'expanded_url': 'https://twitter.com/ContacJapan/status/1330798246025777152/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 800, 'h': 418, 'resize': 'fit'}, 'small': {'w': 680, 'h': 355, 'resize': 'fit'}, 'large': {'w': 800, 'h': 418, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",ja
1328986302725943296,2020-11-18 09:00:00,"（´-`）.｡oO（ちょっとかぜっぽいかも？)

と思ったら❗ #新コンタック総合かぜ薬トリプルショット がお勧めやで☝

かぜの症状に効く3つの成分配合❗発熱や鼻づまりを始めとする11の諸症状に効果を発揮☝ひき始めのかぜに速攻で… https://t.co/l7TMejsNvb",19,4,"{'hashtags': [{'text': '新コンタック総合かぜ薬トリプルショット', 'indices': [32, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/l7TMejsNvb', 'expanded_url': 'https://twitter.com/i/web/status/1328986302725943296', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1327899137812041728,2020-11-15 09:00:00,"／
今日は #七五三 ✨✨
＼
特に7歳のみんな、おめでとさん〜🎉㊗️
#新コンタック総合かぜ薬トリプルショット 
は7歳から服用できるんや👍

末長く健やかに生きるんやで☝
(Mr.コンタックオジサンより)

#7歳から服用可… https://t.co/HS6Ml8EMoW",39,5,"{'hashtags': [{'text': '七五三', 'indices': [6, 10]}, {'text': '新コンタック総合かぜ薬トリプルショット', 'indices': [36, 56]}, {'text': '7歳から服用可', 'indices': [106, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HS6Ml8EMoW', 'expanded_url': 'https://twitter.com/i/web/status/1327899137812041728', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",ja
