id,created_at,text,favorites,retweets,entities,language
1351783489423683589,2021-01-20 06:47:53,@kamher4621 مرحبا، بدله النخيل,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kamher4621', 'name': 'ليمونه', 'id': 748694358631809024, 'id_str': '748694358631809024', 'indices': [0, 11]}], 'urls': []}",ar
1351778359424987136,2021-01-20 06:27:30,RT @MAboud88: أنعِم وأكرِم بالدكتور حمد القحطاني ، علم واخلاق ومهارة ومساعدة لمرضاه ، جعلها الله في ميزان حسناته والشكر والتقدير لادارة مست…,0,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MAboud88', 'name': 'محمد العبود', 'id': 458142719, 'id_str': '458142719', 'indices': [3, 12]}], 'urls': []}",ar
1351777462187909121,2021-01-20 06:23:56,"@MAboud88 مرحبا عزيزي محمد، شكراً لتواصلك معنا ولتعليقك الرائع ونسعد بخدمتكم دوماً
نتمنى لكم دوام الصحة والعافية",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MAboud88', 'name': 'محمد العبود', 'id': 458142719, 'id_str': '458142719', 'indices': [0, 9]}], 'urls': []}",ar
1351775637883789312,2021-01-20 06:16:41,@bluelour مرحبا، نرجوا منك تزويدنا بتفاصيل المشكلة اللي واجهتك عالخاص وسيتم اتخاذ اللازم,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bluelour', 'name': 'Bluelour', 'id': 1346472238497759232, 'id_str': '1346472238497759232', 'indices': [0, 9]}], 'urls': []}",ar
1351775331502465024,2021-01-20 06:15:28,@tofy819 شكراً لك ونتمنى لك دوام الصحة والعافية,1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tofy819', 'name': 'tofa🇸🇦', 'id': 1180762801, 'id_str': '1180762801', 'indices': [0, 8]}], 'urls': []}",ar
1351543288617172994,2021-01-19 14:53:25,"@oTnn18LgMHHbzrO مرحبا عزيزي اصيل، الف سلامة عليك ماتشوف شر
زودنا بتفاصيل الموضوع على الخاص وسيتم اتخاذ اللازم",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'oTnn18LgMHHbzrO', 'name': 'أصيل', 'id': 1114525699572940800, 'id_str': '1114525699572940800', 'indices': [0, 16]}], 'urls': []}",ar
1351504850937372679,2021-01-19 12:20:40,@Arsenal502 مرحبا، تم التواصل معك عالخاص,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Arsenal502', 'name': 'ARSENAL', 'id': 711241287, 'id_str': '711241287', 'indices': [0, 11]}], 'urls': []}",ar
1351167656427196431,2021-01-18 14:00:47,"خطوة بخطوة تعرف على كيفية الاطلاع على نتائج أشعتك عبر تطبيق #مستشفيات_دله
 حمل التطبيق الآن: https://t.co/uoHKtGXsj1 https://t.co/QLwJ0BdaiK",3,0,"{'hashtags': [{'text': 'مستشفيات_دله', 'indices': [60, 73]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uoHKtGXsj1', 'expanded_url': 'http://bit.ly/3cZSCi4', 'display_url': 'bit.ly/3cZSCi4', 'indices': [93, 116]}], 'media': [{'id': 1351167558594908160, 'id_str': '1351167558594908160', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351167558594908160/img/6FYrRC7FJwDAZGEA.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351167558594908160/img/6FYrRC7FJwDAZGEA.jpg', 'url': 'https://t.co/QLwJ0BdaiK', 'display_url': 'pic.twitter.com/QLwJ0BdaiK', 'expanded_url': 'https://twitter.com/DallahHospitals/status/1351167656427196431/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",ar
1351153385739857923,2021-01-18 13:04:05,"@zainab12399 مساء الخير، نرجوا منك التواصل معنا عالخاص
شكراً لك",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zainab12399', 'name': 'zaina', 'id': 1323397673450414080, 'id_str': '1323397673450414080', 'indices': [0, 12]}], 'urls': []}",ar
1351153288457105410,2021-01-18 13:03:41,@zainab12399 مرحبا، نرجوا منك تزويدنا بالتفاصيل عالخاص وسيتم اتخاذ اللازم,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zainab12399', 'name': 'zaina', 'id': 1323397673450414080, 'id_str': '1323397673450414080', 'indices': [0, 12]}], 'urls': []}",ar
