id,created_at,text,favorites,retweets,entities,language
1351875962695262210,2021-01-20 12:55:20,"@cherrywtea @dejunsr Dorflex #TáComVocê, @cherrywtea! ❤️",2,1,"{'hashtags': [{'text': 'TáComVocê', 'indices': [29, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'cherrywtea', 'name': '♥︎𝗺¡𝗹𝗸 !%', 'id': 1229218473563295749, 'id_str': '1229218473563295749', 'indices': [0, 11]}, {'screen_name': 'dejunsr', 'name': 'juca ִֶָ︎ in borderland', 'id': 1211092574791856128, 'id_str': '1211092574791856128', 'indices': [12, 20]}, {'screen_name': 'cherrywtea', 'name': '♥︎𝗺¡𝗹𝗸 !%', 'id': 1229218473563295749, 'id_str': '1229218473563295749', 'indices': [41, 52]}], 'urls': []}",cy
1351875808072237057,2021-01-20 12:54:43,"@dejunsr @cherrywtea Olá, @dejunsr! Dorflex #TáComVocê. 🙂",1,1,"{'hashtags': [{'text': 'TáComVocê', 'indices': [44, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'dejunsr', 'name': 'juca ִֶָ︎ in borderland', 'id': 1211092574791856128, 'id_str': '1211092574791856128', 'indices': [0, 8]}, {'screen_name': 'cherrywtea', 'name': '♥︎𝗺¡𝗹𝗸 !%', 'id': 1229218473563295749, 'id_str': '1229218473563295749', 'indices': [9, 20]}, {'screen_name': 'dejunsr', 'name': 'juca ִֶָ︎ in borderland', 'id': 1211092574791856128, 'id_str': '1211092574791856128', 'indices': [26, 34]}], 'urls': []}",pt
1351156235278684163,2021-01-18 13:15:24,"@andrezijunior Agradecemos pela sua confiança e carinho, @andrezijunior! 😊",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'andrezijunior', 'name': 'Angel', 'id': 1347725982434779137, 'id_str': '1347725982434779137', 'indices': [0, 14]}, {'screen_name': 'andrezijunior', 'name': 'Angel', 'id': 1347725982434779137, 'id_str': '1347725982434779137', 'indices': [57, 71]}], 'urls': []}",pt
1351155921129512965,2021-01-18 13:14:09,"@eugerinin Dorflex #TácomVocê, @eugerinin!",1,0,"{'hashtags': [{'text': 'TácomVocê', 'indices': [19, 29]}], 'symbols': [], 'user_mentions': [{'screen_name': 'eugerinin', 'name': '(E)lisa', 'id': 1032780370666815489, 'id_str': '1032780370666815489', 'indices': [0, 10]}, {'screen_name': 'eugerinin', 'name': '(E)lisa', 'id': 1032780370666815489, 'id_str': '1032780370666815489', 'indices': [31, 41]}], 'urls': []}",cy
1350068272771846145,2021-01-15 13:12:13,"@merdanaparede @IzeEcossol Estamos à disposição através de nosso SAC pelo telefone 0800.703.0014, ou pelo site:… https://t.co/bwq2MYxLwc",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'merdanaparede', 'name': 'ℭ𝔥orona do Piranhão', 'id': 57979194, 'id_str': '57979194', 'indices': [0, 14]}, {'screen_name': 'IzeEcossol', 'name': '#JaneiroBranco \U0001f90d #VivoComHIV i=i ❤️', 'id': 1080206026111139841, 'id_str': '1080206026111139841', 'indices': [15, 26]}], 'urls': [{'url': 'https://t.co/bwq2MYxLwc', 'expanded_url': 'https://twitter.com/i/web/status/1350068272771846145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",pt
1350068238412079106,2021-01-15 13:12:05,"@merdanaparede @IzeEcossol Olá, @merdanaparede! Dorflex é recomendado para casos de dor de cabeça tensional e dores… https://t.co/PmjhxTDoRI",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'merdanaparede', 'name': 'ℭ𝔥orona do Piranhão', 'id': 57979194, 'id_str': '57979194', 'indices': [0, 14]}, {'screen_name': 'IzeEcossol', 'name': '#JaneiroBranco \U0001f90d #VivoComHIV i=i ❤️', 'id': 1080206026111139841, 'id_str': '1080206026111139841', 'indices': [15, 26]}, {'screen_name': 'merdanaparede', 'name': 'ℭ𝔥orona do Piranhão', 'id': 57979194, 'id_str': '57979194', 'indices': [32, 46]}], 'urls': [{'url': 'https://t.co/PmjhxTDoRI', 'expanded_url': 'https://twitter.com/i/web/status/1350068238412079106', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1348612164970549249,2021-01-11 12:46:10,"@Rogerio_Kupfer Dorflex #TáComVocê, @Rogerio_Kupfer!",0,0,"{'hashtags': [{'text': 'TáComVocê', 'indices': [24, 34]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Rogerio_Kupfer', 'name': 'Rogério Kupfer', 'id': 56801148, 'id_str': '56801148', 'indices': [0, 15]}, {'screen_name': 'Rogerio_Kupfer', 'name': 'Rogério Kupfer', 'id': 56801148, 'id_str': '56801148', 'indices': [36, 51]}], 'urls': []}",cy
1347523327728955392,2021-01-08 12:39:31,"@iarinha1914 Dorflex #TáComVocê, @iarinha1914! ❤️",1,0,"{'hashtags': [{'text': 'TáComVocê', 'indices': [21, 31]}], 'symbols': [], 'user_mentions': [{'screen_name': 'iarinha1914', 'name': 'i', 'id': 1103366816439640064, 'id_str': '1103366816439640064', 'indices': [0, 12]}, {'screen_name': 'iarinha1914', 'name': 'i', 'id': 1103366816439640064, 'id_str': '1103366816439640064', 'indices': [33, 45]}], 'urls': []}",cy
1346811054995742723,2021-01-06 13:29:12,"@romului Uau, @romului! Nós amamos o seu desenho, parabéns! 🙂",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [0, 8]}, {'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [14, 22]}], 'urls': []}",pt
1346809458517798912,2021-01-06 13:22:52,"@gabrielroloff Dorflex #TáComVocê, @gabrielroloff! 🙂",0,0,"{'hashtags': [{'text': 'TáComVocê', 'indices': [23, 33]}], 'symbols': [], 'user_mentions': [{'screen_name': 'gabrielroloff', 'name': 'Gabriel Roloff', 'id': 506557826, 'id_str': '506557826', 'indices': [0, 14]}, {'screen_name': 'gabrielroloff', 'name': 'Gabriel Roloff', 'id': 506557826, 'id_str': '506557826', 'indices': [35, 49]}], 'urls': []}",cy
1346809257895878656,2021-01-06 13:22:04,"@guisombrio Dorflex #TáComVocê, @guisombrio!",1,0,"{'hashtags': [{'text': 'TáComVocê', 'indices': [20, 30]}], 'symbols': [], 'user_mentions': [{'screen_name': 'guisombrio', 'name': 'guilérme', 'id': 33373949, 'id_str': '33373949', 'indices': [0, 11]}, {'screen_name': 'guisombrio', 'name': 'guilérme', 'id': 33373949, 'id_str': '33373949', 'indices': [32, 43]}], 'urls': []}",cy
1346549438219743234,2021-01-05 20:09:38,"@mentiramona @HeyPreto @lailamathias2 @romului Dorflex #TáComVocê, @mentiramona! 🙂",0,0,"{'hashtags': [{'text': 'TáComVocê', 'indices': [55, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mentiramona', 'name': 'afrodepressao', 'id': 1487851693, 'id_str': '1487851693', 'indices': [0, 12]}, {'screen_name': 'HeyPreto', 'name': 'Junior Alberto', 'id': 3305462711, 'id_str': '3305462711', 'indices': [13, 22]}, {'screen_name': 'lailamathias2', 'name': 'Laila', 'id': 1313121718307901443, 'id_str': '1313121718307901443', 'indices': [23, 37]}, {'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [38, 46]}, {'screen_name': 'mentiramona', 'name': 'afrodepressao', 'id': 1487851693, 'id_str': '1487851693', 'indices': [67, 79]}], 'urls': []}",cy
1346549288101408770,2021-01-05 20:09:02,"@tbaileymay @romului Nós adoramos, @tbaileymay. Ele mandou muito bem! 🙂",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tbaileymay', 'name': 'dslgd', 'id': 1296582150951784448, 'id_str': '1296582150951784448', 'indices': [0, 11]}, {'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [12, 20]}, {'screen_name': 'tbaileymay', 'name': 'dslgd', 'id': 1296582150951784448, 'id_str': '1296582150951784448', 'indices': [35, 46]}], 'urls': []}",pt
1346549104428642310,2021-01-05 20:08:18,"@sereiadosertao @romului @_biahlourenco Ele mandou muito bem, né @sereiadosertao? 🙂",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sereiadosertao', 'name': 'Bruna🌙💜', 'id': 107519280, 'id_str': '107519280', 'indices': [0, 15]}, {'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [16, 24]}, {'screen_name': '_biahlourenco', 'name': 'Bianca Lourenço', 'id': 3014688035, 'id_str': '3014688035', 'indices': [25, 39]}, {'screen_name': 'sereiadosertao', 'name': 'Bruna🌙💜', 'id': 107519280, 'id_str': '107519280', 'indices': [65, 80]}], 'urls': []}",pt
1346548965467152391,2021-01-05 20:07:45,"@BT21art @romului @xwxbtc Nós adoramos, @BT21art! Ele mandou muito bem. 🙂",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BT21art', 'name': 'Lu 🐈💕', 'id': 1269338268937658369, 'id_str': '1269338268937658369', 'indices': [0, 8]}, {'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [9, 17]}, {'screen_name': 'xwxbtc', 'name': 'beatriste', 'id': 757409341196603392, 'id_str': '757409341196603392', 'indices': [18, 25]}, {'screen_name': 'BT21art', 'name': 'Lu 🐈💕', 'id': 1269338268937658369, 'id_str': '1269338268937658369', 'indices': [40, 48]}], 'urls': []}",pt
1346548824911859713,2021-01-05 20:07:12,"@katiaubala Dorflex #TáComVocê, @katiaubala!",1,0,"{'hashtags': [{'text': 'TáComVocê', 'indices': [20, 30]}], 'symbols': [], 'user_mentions': [{'screen_name': 'katiaubala', 'name': 'thiago', 'id': 871020702656335872, 'id_str': '871020702656335872', 'indices': [0, 11]}, {'screen_name': 'katiaubala', 'name': 'thiago', 'id': 871020702656335872, 'id_str': '871020702656335872', 'indices': [32, 43]}], 'urls': []}",cy
1346548734251978761,2021-01-05 20:06:50,"@theuzcedric @romului Ele mandou muito bem, @theuzcedric! Nós adoramos. ❤️",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'theuzcedric', 'name': 'MC Godinho', 'id': 1253180880039919616, 'id_str': '1253180880039919616', 'indices': [0, 12]}, {'screen_name': 'romului', 'name': 'Rômulo', 'id': 1171636389257105408, 'id_str': '1171636389257105408', 'indices': [13, 21]}, {'screen_name': 'theuzcedric', 'name': 'MC Godinho', 'id': 1253180880039919616, 'id_str': '1253180880039919616', 'indices': [44, 56]}], 'urls': []}",pt
