id,created_at,text,favorites,retweets,entities,language
1351866336691974144,2021-01-20 12:17:05,"ください
#公式マーク",161,15,"{'hashtags': [{'text': '公式マーク', 'indices': [5, 11]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ja
1351705695393968130,2021-01-20 01:38:45,"@bigstepweb ビッグステップさんおはようございアース😊☀
わかります、こたつ求めてます‥（´-`）.｡oO✨",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bigstepweb', 'name': '心斎橋ビッグステップ', 'id': 361805134, 'id_str': '361805134', 'indices': [0, 11]}], 'urls': []}",ja
1351705585696206856,2021-01-20 01:38:19,"@jingoro_ginza6 こちらでもう一回チャレンジ‥！(๑•̀ㅂ•́)و✨

  　;''';,,.,,;''';
　 ;　　　　;
　:　・ω・　;
  ⊂;　　　　;つ🍘🍵
'''"" :__::__:'""""'",4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jingoro_ginza6', 'name': '日光甚五郎煎餅本舗 石田屋【公式】🍘', 'id': 1102732091001757697, 'id_str': '1102732091001757697', 'indices': [0, 15]}], 'urls': []}",ja
1351703083332427777,2021-01-20 01:28:23,@hamu_ginko ダーさんおはようございアース🐹☀,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hamu_ginko', 'name': 'ダー💕チームK・きょんくま部', 'id': 1008120431671296001, 'id_str': '1008120431671296001', 'indices': [0, 11]}], 'urls': []}",ja
1351698924948520962,2021-01-20 01:11:51,@mafu2atr リラさんアースようございます🐻🌏,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mafu2atr', 'name': 'リラ🐻🍓', 'id': 1046780965928894464, 'id_str': '1046780965928894464', 'indices': [0, 9]}], 'urls': []}",ja
1351698852328345601,2021-01-20 01:11:34,"@jingoro_ginza6 もふもふくん使ってくれてる！
  　;''';,,.,,;''';
　 ;　　　　;
　:　・ω・　;
  ⊂;　　　　;つ🌏
'''"" :__::__:'""""'
おはようございアース🌏",4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jingoro_ginza6', 'name': '日光甚五郎煎餅本舗 石田屋【公式】🍘', 'id': 1102732091001757697, 'id_str': '1102732091001757697', 'indices': [0, 15]}], 'urls': []}",ja
1351698567757393921,2021-01-20 01:10:26,"@satoshikisaragi 如月さんおはようございアース🎩
はい、こたつでアイスを食べたいなという願望を表現してみました‥（´-`）🍨
とっても寒かったですね！如月さんも暖かくしてくださいね🎶",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'satoshikisaragi', 'name': '如月サトシ', 'id': 111860064, 'id_str': '111860064', 'indices': [0, 16]}], 'urls': []}",ja
1351698298474647553,2021-01-20 01:09:22,"@kai38823 帰ったら調べてみます😊✨
情報ありがとうございます🎶",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kai38823', 'name': '管狸人', 'id': 1662303800, 'id_str': '1662303800', 'indices': [0, 9]}], 'urls': []}",ja
1351698186193174528,2021-01-20 01:08:55,@potasala0818 素晴らしいです👏✨,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'potasala0818', 'name': 'ぽてさら', 'id': 1064710541183078406, 'id_str': '1064710541183078406', 'indices': [0, 13]}], 'urls': []}",ja
1351698121961553922,2021-01-20 01:08:40,"@darumasan78 念入りにチェックしてます😊✨
黒蜜きなこ系は逃せません👀笑",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'darumasan78', 'name': '【公式】百年料亭 宇喜世@クラファンありがとう', 'id': 1240443183672115202, 'id_str': '1240443183672115202', 'indices': [0, 12]}], 'urls': []}",ja
1351692671807459329,2021-01-20 00:47:00,"@shibuya_bungu 是非食べてください😊🎶
任せてください(๑•̀ㅂ•́)و✧",3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'shibuya_bungu', 'name': 'シブヤ文房具🎒✏【公式】', 'id': 794442229976702976, 'id_str': '794442229976702976', 'indices': [0, 14]}], 'urls': []}",ja
1351692577959936001,2021-01-20 00:46:38,"@pinknekopanda ねこぱんださんおはようございアース😊☀
ですよね〜！なんであんなに美味しいのか‥✨",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pinknekopanda', 'name': 'nekopanda (ΦωΦ) 🇬🇧', 'id': 914852196709265409, 'id_str': '914852196709265409', 'indices': [0, 14]}], 'urls': []}",ja
1351692478986874880,2021-01-20 00:46:14,@manamin2286 まなみんさんおはようございアース😊✨,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'manamin2286', 'name': '❤️🎁まなみん🎁❤️', 'id': 1336662342596087810, 'id_str': '1336662342596087810', 'indices': [0, 12]}], 'urls': []}",ja
