id,created_at,text,favorites,retweets,entities,language
1351595553587679235,2021-01-19 18:21:06,"Speaking of the experience, “it was like a war. If I stopped to look for more supplies, I would lose time, and time… https://t.co/ceGSbmZpvm",5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ceGSbmZpvm', 'expanded_url': 'https://twitter.com/i/web/status/1351595553587679235', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351595549770870785,2021-01-19 18:21:05,Fares and his team cut through the chaos to save as many lives as possible unearthing bandages and PPE supplies tha… https://t.co/3UqPwQtFSO,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3UqPwQtFSO', 'expanded_url': 'https://twitter.com/i/web/status/1351595549770870785', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351595545299726338,2021-01-19 18:21:04,"When Dr. Sobhi Fares went to work at @SaintGeorgeHosp, Beirut, Lebanon on 4th August 2020, he did not expect to fin… https://t.co/Ob1Sa1OUuO",12,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'saintgeorgehosp', 'name': 'Saint George Hospital University Medical Center', 'id': 257995320, 'id_str': '257995320', 'indices': [37, 53]}], 'urls': [{'url': 'https://t.co/Ob1Sa1OUuO', 'expanded_url': 'https://twitter.com/i/web/status/1351595545299726338', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349748402607812611,2021-01-14 16:01:10,"RT @IntelHealth: In this video, Intel’s @ClaireCelesteC and @GEHealthcare’s @GasqueGasque discuss how GE #ultrasound systems powered by Int…",0,5,"{'hashtags': [{'text': 'ultrasound', 'indices': [105, 116]}], 'symbols': [], 'user_mentions': [{'screen_name': 'IntelHealth', 'name': 'Intel Health', 'id': 17419608, 'id_str': '17419608', 'indices': [3, 15]}, {'screen_name': 'ClaireCelesteC', 'name': 'ClaireCeleste Carnes', 'id': 104587613, 'id_str': '104587613', 'indices': [40, 55]}, {'screen_name': 'GEHealthcare', 'name': 'GE Healthcare', 'id': 15383592, 'id_str': '15383592', 'indices': [60, 73]}, {'screen_name': 'GasqueGasque', 'name': 'Joe Gasque', 'id': 456030260, 'id_str': '456030260', 'indices': [76, 89]}], 'urls': []}",en
1349415646199762950,2021-01-13 17:58:55,Happening now: Join @Callcura and @GEHealthcare's Everett Cunningham to discuss the future of #AI and healthcare wi… https://t.co/fGr48wx76y,13,11,"{'hashtags': [{'text': 'AI', 'indices': [94, 97]}], 'symbols': [], 'user_mentions': [{'screen_name': 'callcura', 'name': 'Rachael Callcut, MD, MSPH', 'id': 2419620462, 'id_str': '2419620462', 'indices': [20, 29]}, {'screen_name': 'GEHealthcare', 'name': 'GE Healthcare', 'id': 15383592, 'id_str': '15383592', 'indices': [34, 47]}], 'urls': [{'url': 'https://t.co/fGr48wx76y', 'expanded_url': 'https://twitter.com/i/web/status/1349415646199762950', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348723759964942343,2021-01-11 20:09:37,"Technology like Mural, a virtual care solution, allows doctors to view multiple patients at once – remotely. What e… https://t.co/Xy8RG1GFyk",12,13,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Xy8RG1GFyk', 'expanded_url': 'https://twitter.com/i/web/status/1348723759964942343', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347648902376411140,2021-01-08 20:58:31,AI helps clinicians fight #COVID19 and plays a critical role in healthcare today. How can it rebuild and reinvent o… https://t.co/AmjutaA9Ue,12,9,"{'hashtags': [{'text': 'COVID19', 'indices': [26, 34]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AmjutaA9Ue', 'expanded_url': 'https://twitter.com/i/web/status/1347648902376411140', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346877057175793665,2021-01-06 17:51:28,The convenience and power of smart devices have undeniably impacted everyday life. Digital ultrasound platforms har… https://t.co/SjXH2aR7dr,9,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SjXH2aR7dr', 'expanded_url': 'https://twitter.com/i/web/status/1346877057175793665', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1342072571504844800,2020-12-24 11:40:10,"Creativity from the @GEHealthcare team at its best. 2020 has seen it all, from the smallest creations to huge healt… https://t.co/y4ZDcmfwOv",22,10,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GEHealthcare', 'name': 'GE Healthcare', 'id': 15383592, 'id_str': '15383592', 'indices': [20, 33]}], 'urls': [{'url': 'https://t.co/y4ZDcmfwOv', 'expanded_url': 'https://twitter.com/i/web/status/1342072571504844800', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341750632244502528,2020-12-23 14:20:53,Embo ASSIST with Virtual Injection: One-Click Embolization Simulation to Increase Confidence https://t.co/KGKQbGv7vA,7,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1341750196485689346, 'id_str': '1341750196485689346', 'indices': [93, 116], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ep7asd7XEAIKiIA.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ep7asd7XEAIKiIA.jpg', 'url': 'https://t.co/KGKQbGv7vA', 'display_url': 'pic.twitter.com/KGKQbGv7vA', 'expanded_url': 'https://twitter.com/GEHealthcare/status/1341750632244502528/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 810, 'h': 810, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 810, 'h': 810, 'resize': 'fit'}}}]}",en
1341750443748278272,2020-12-23 14:20:08,SenoBright HD CESM: Clarity in under 7 minutes https://t.co/n6JZSaniCL,7,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1341750102302584833, 'id_str': '1341750102302584833', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Ep7am_EW8AEMe_a.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Ep7am_EW8AEMe_a.jpg', 'url': 'https://t.co/n6JZSaniCL', 'display_url': 'pic.twitter.com/n6JZSaniCL', 'expanded_url': 'https://twitter.com/GEHealthcare/status/1341750443748278272/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
