id,created_at,text,favorites,retweets,entities,language
1343661643675430915,2020-12-28 20:54:34,Reminder: Slow progress is better than no progress. #StayMotivated,4,1,"{'hashtags': [{'text': 'StayMotivated', 'indices': [52, 66]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1340083929215340545,2020-12-18 23:58:00,Get all of the best immune support in one with the Immune Boost Bundle! Don't miss out on our limited time offer of… https://t.co/IyphHIKE5C,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IyphHIKE5C', 'expanded_url': 'https://twitter.com/i/web/status/1340083929215340545', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1334685616680923137,2020-12-04 02:27:02,#LiverCleanse Check out these 14 foods that make a huge difference! https://t.co/im3YEF7c4S,4,0,"{'hashtags': [{'text': 'LiverCleanse', 'indices': [0, 13]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/im3YEF7c4S', 'expanded_url': 'https://bit.ly/35fevrk', 'display_url': 'bit.ly/35fevrk', 'indices': [68, 91]}]}",en
1333839047664541697,2020-12-01 18:23:05,Our biggest sale of the year is now EXTENDED to December 2 at 11:59 p.m. 🎉 Shop 15% off all Global Healing products… https://t.co/iGeDQQXRMY,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iGeDQQXRMY', 'expanded_url': 'https://twitter.com/i/web/status/1333839047664541697', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1333437216815800328,2020-11-30 15:46:21,"Happy #CyberMonday! Save 15% on all Global Healing products until 11:59 p.m. 🎉 PLUS, we have a special offer for to… https://t.co/UnJb3zQUbT",3,1,"{'hashtags': [{'text': 'CyberMonday', 'indices': [6, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UnJb3zQUbT', 'expanded_url': 'https://twitter.com/i/web/status/1333437216815800328', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1332364852589961222,2020-11-27 16:45:09,"Our biggest sale of the year is happening NOW! Stock up &amp; save 15% off sitewide today- Monday, Nov. 30!… https://t.co/Sqfjv2lale",3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Sqfjv2lale', 'expanded_url': 'https://twitter.com/i/web/status/1332364852589961222', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
1331645356342448133,2020-11-25 17:06:08,"What you should, shouldn't, and absolutely never want to have on your shopping list!
https://t.co/K5gOUZynWD",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/K5gOUZynWD', 'expanded_url': 'https://bit.ly/2T6LHvJ', 'display_url': 'bit.ly/2T6LHvJ', 'indices': [85, 108]}]}",en
1330921832954916864,2020-11-23 17:11:06,Think of these foods as support mechanisms on your path towards fat loss! https://t.co/DSH9rA2raG,2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DSH9rA2raG', 'expanded_url': 'https://bit.ly/34c434M', 'display_url': 'bit.ly/34c434M', 'indices': [74, 97]}]}",en
1329108647390158850,2020-11-18 17:06:09,"An anti-inflammatory diet can help if you live with a chronic autoimmune illness, are trying to ward them off, or y… https://t.co/eNhvUpb32A",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eNhvUpb32A', 'expanded_url': 'https://twitter.com/i/web/status/1329108647390158850', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1328379575718584323,2020-11-16 16:49:05,"When it comes to fermented foods, your options aren’t limited to sauerkraut or fermented soy! https://t.co/wSlgZAVGqu",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wSlgZAVGqu', 'expanded_url': 'https://bit.ly/2FGqgyg', 'display_url': 'bit.ly/2FGqgyg', 'indices': [94, 117]}]}",en
1327385209147363330,2020-11-13 22:57:50,Save the date for our healthiest sale of the year! ✨ You can sign up for exclusive early access here:… https://t.co/psNmtawJLg,2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/psNmtawJLg', 'expanded_url': 'https://twitter.com/i/web/status/1327385209147363330', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}",en
