id,created_at,text,favorites,retweets,entities,language
1351616084630241280,2021-01-19 19:42:41,"#Cancer doesn’t stop because of a pandemic. Our own Michael Petroutsas RPh, SVP, US Oncology, discussed 4 ways the… https://t.co/XCZvCdSAlL",5,0,"{'hashtags': [{'text': 'Cancer', 'indices': [0, 7]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XCZvCdSAlL', 'expanded_url': 'https://twitter.com/i/web/status/1351616084630241280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351529857172307969,2021-01-19 14:00:02,"#HCPs: Do your 50+ patients know that they are at risk of developing #shingles, even if they are healthy and active… https://t.co/TBeEK4YClr",1,0,"{'hashtags': [{'text': 'HCPs', 'indices': [0, 5]}, {'text': 'shingles', 'indices': [69, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TBeEK4YClr', 'expanded_url': 'https://twitter.com/i/web/status/1351529857172307969', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351515451885551618,2021-01-19 13:02:48,RT @GSK: We’re proud to see Annie Newman included for the second time in the @OUTstandingiB LGBT+ Future Leaders List supported by @YahooFi…,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GSK', 'name': 'GSK', 'id': 5383942, 'id_str': '5383942', 'indices': [3, 7]}, {'screen_name': 'OUTstandingiB', 'name': 'OUTstanding', 'id': 1230072817, 'id_str': '1230072817', 'indices': [77, 91]}], 'urls': []}",en
1351175011143397376,2021-01-18 14:30:00,"On this national #MLKDayofService, our colleagues will part take in virtual volunteering projects across the countr… https://t.co/bQMqe1UsG3",7,2,"{'hashtags': [{'text': 'MLKDayofService', 'indices': [17, 33]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bQMqe1UsG3', 'expanded_url': 'https://twitter.com/i/web/status/1351175011143397376', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351159915491053577,2021-01-18 13:30:01,"Today, we honor and celebrate the life and accomplishments of Dr. Martin Luther King Jr.  When we don’t look and ac… https://t.co/TkMwpFsKus",13,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TkMwpFsKus', 'expanded_url': 'https://twitter.com/i/web/status/1351159915491053577', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350484234830553094,2021-01-16 16:45:07,#News for #media and #investors: We are presenting new data from our oncology pipeline at #GI21. Visit… https://t.co/x9kACINtMZ,2,0,"{'hashtags': [{'text': 'News', 'indices': [0, 5]}, {'text': 'media', 'indices': [10, 16]}, {'text': 'investors', 'indices': [21, 31]}, {'text': 'GI21', 'indices': [90, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/x9kACINtMZ', 'expanded_url': 'https://twitter.com/i/web/status/1350484234830553094', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",en
1349803612436889600,2021-01-14 19:40:34,"Whether it be an in-person or #telehealth appointment, writing down notes prior to a #COPD check-up can help people… https://t.co/lk4P9fyJQg",2,2,"{'hashtags': [{'text': 'telehealth', 'indices': [30, 41]}, {'text': 'COPD', 'indices': [85, 90]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lk4P9fyJQg', 'expanded_url': 'https://twitter.com/i/web/status/1349803612436889600', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349492009275445251,2021-01-13 23:02:22,"After a strong 2020, our Chief Scientific Officer &amp; R&amp;D President Hal Barron shared more about how we are poised fo… https://t.co/gjIV8E6KK9",99,8,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gjIV8E6KK9', 'expanded_url': 'https://twitter.com/i/web/status/1349492009275445251', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [125, 148]}]}",en
1349460199829024776,2021-01-13 20:55:58,"@ChasingStarling We have a number of different patient assistance programs detailed here:

https://t.co/kAUVlGm2Sr.… https://t.co/3lhQ4ynikn",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChasingStarling', 'name': 'pnina hornai', 'id': 734920516801302533, 'id_str': '734920516801302533', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/kAUVlGm2Sr', 'expanded_url': 'http://www.gskforyou.com/patient-assistance-programs/drugslist.html', 'display_url': 'gskforyou.com/patient-assist…', 'indices': [91, 114]}, {'url': 'https://t.co/3lhQ4ynikn', 'expanded_url': 'https://twitter.com/i/web/status/1349460199829024776', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349370635697483779,2021-01-13 15:00:04,"Why aren’t adults getting the #vaccines they need?

Recently, Dr. Friedland, our VP &amp; Director of Scientific Affair… https://t.co/oJyIZH4UbS",2,0,"{'hashtags': [{'text': 'vaccines', 'indices': [30, 39]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oJyIZH4UbS', 'expanded_url': 'https://twitter.com/i/web/status/1349370635697483779', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
