id,created_at,text,favorites,retweets,entities,language
1351610774062563330,2021-01-19 19:21:34,@TiffYG2133 Hello - Thank you for reaching out and for providing us with this feedback. -Crystal,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TiffYG2133', 'name': '🌜Ŧɨʄʄαռʏ ֆօʍɛცօɖყ🌛', 'id': 36057148, 'id_str': '36057148', 'indices': [0, 11]}], 'urls': []}",en
1351484554796785670,2021-01-19 11:00:01,We’re proud to see Annie Newman included for the second time in the @OUTstandingiB LGBT+ Future Leaders List suppor… https://t.co/N9fI5Bja2V,21,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OUTstandingiB', 'name': 'OUTstanding', 'id': 1230072817, 'id_str': '1230072817', 'indices': [68, 82]}], 'urls': [{'url': 'https://t.co/N9fI5Bja2V', 'expanded_url': 'https://twitter.com/i/web/status/1351484554796785670', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351414367615672321,2021-01-19 06:21:07,We’re collaborating with @Novartis and @MRCza to support scientific research into genetic diversity in Africa. Lear… https://t.co/F6MAbv3yde,19,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Novartis', 'name': 'Novartis', 'id': 17226612, 'id_str': '17226612', 'indices': [25, 34]}, {'screen_name': 'MRCza', 'name': 'SAMRC', 'id': 252586818, 'id_str': '252586818', 'indices': [39, 45]}], 'urls': [{'url': 'https://t.co/F6MAbv3yde', 'expanded_url': 'https://twitter.com/i/web/status/1351414367615672321', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351220632634224652,2021-01-18 17:31:17,We’re also excited to discuss COVID-19 &amp; Immuno-oncology at #GI21. Learn more about our approach to fighting… https://t.co/kk6zmDlpsq,7,1,"{'hashtags': [{'text': 'GI21', 'indices': [64, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kk6zmDlpsq', 'expanded_url': 'https://twitter.com/i/web/status/1351220632634224652', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1350835777530425351,2021-01-17 16:02:01,"Immuno-oncology, which taps into the body’s immune system, is one way we can fight GI cancers and other solid cance… https://t.co/mEjwUjPmot",24,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mEjwUjPmot', 'expanded_url': 'https://twitter.com/i/web/status/1350835777530425351', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350444719021686784,2021-01-16 14:08:05,#News for #media and #investors: We are presenting new data from our oncology pipeline at #GI21.  Visit our media s… https://t.co/uFBSnCAyHK,21,8,"{'hashtags': [{'text': 'News', 'indices': [0, 5]}, {'text': 'media', 'indices': [10, 16]}, {'text': 'investors', 'indices': [21, 31]}, {'text': 'GI21', 'indices': [90, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uFBSnCAyHK', 'expanded_url': 'https://twitter.com/i/web/status/1350444719021686784', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350110528396550147,2021-01-15 16:00:08,"👋 from #GI21! We are excited to join scientists, clinicians and patient advocates in the #oncology community to sha… https://t.co/durPSFLMGS",15,3,"{'hashtags': [{'text': 'GI21', 'indices': [7, 12]}, {'text': 'oncology', 'indices': [89, 98]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/durPSFLMGS', 'expanded_url': 'https://twitter.com/i/web/status/1350110528396550147', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349634954582495232,2021-01-14 08:30:22,"After a strong 2020, our Chief Scientific Officer &amp; R&amp;D President Hal Barron shared more about how we are poised fo… https://t.co/5kg3Uq9Msy",44,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5kg3Uq9Msy', 'expanded_url': 'https://twitter.com/i/web/status/1349634954582495232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [125, 148]}]}",en
1349423052774375427,2021-01-13 18:28:21,@GettinBusyLivin Hello and thank you for reaching out. GSK shares public concern about the environmental impact fro… https://t.co/I3ebOrE8oC,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GettinBusyLivin', 'name': 'Shannon Marie', 'id': 274705157, 'id_str': '274705157', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/I3ebOrE8oC', 'expanded_url': 'https://twitter.com/i/web/status/1349423052774375427', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349098048807460867,2021-01-12 20:56:54,Thanks #JPM2021 for hosting our Chief Scientific Officer Hal Barron. A key factor in our #innovation approach is bu… https://t.co/bUWY5NzTd3,13,4,"{'hashtags': [{'text': 'JPM2021', 'indices': [7, 15]}, {'text': 'innovation', 'indices': [89, 100]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bUWY5NzTd3', 'expanded_url': 'https://twitter.com/i/web/status/1349098048807460867', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
