id,created_at,text,favorites,retweets,entities,language
1351658696648974336,2021-01-19 22:32:00,"Today, we remember and honor the more than 2 million people around the world we’ve lost to COVID-19 while renewing… https://t.co/m1GriRclfh",54,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m1GriRclfh', 'expanded_url': 'https://twitter.com/i/web/status/1351658696648974336', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1350127806164865025,2021-01-15 17:08:47,Chairman &amp; CEO Daniel O'Day spoke at #JPM21 this week about Gilead's progress and our plans for the year ahead. Rea… https://t.co/vOj4vJD70R,32,7,"{'hashtags': [{'text': 'JPM21', 'indices': [41, 47]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vOj4vJD70R', 'expanded_url': 'https://twitter.com/i/web/status/1350127806164865025', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1349386132534923264,2021-01-13 16:01:39,"In Zambia, through remarkable determination and resilience in the face of sexual violence, #DREAMS Ambassador Grace… https://t.co/u2FuXBTJPd",855,125,"{'hashtags': [{'text': 'DREAMS', 'indices': [91, 98]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u2FuXBTJPd', 'expanded_url': 'https://twitter.com/i/web/status/1349386132534923264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349007848139870209,2021-01-12 14:58:29,"Today, we announced our collaboration with Vir Biotechnology to evaluate novel therapeutic strategies for chronic #HBV.",30,7,"{'hashtags': [{'text': 'HBV', 'indices': [114, 118]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1348586284755816448,2021-01-11 11:03:20,Today we announced updated guidance for the full-year 2020. Read the press release: https://t.co/R713D0HpUY,24,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/R713D0HpUY', 'expanded_url': 'http://bit.ly/3scmSPd', 'display_url': 'bit.ly/3scmSPd', 'indices': [84, 107]}]}",en
1346567781697736704,2021-01-05 21:22:31,"In partnership with Gilead, the @Hep_Alliance is providing a platform for people affected by viral hepatitis to sha… https://t.co/NxJ2EA6JPH",19,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hep_Alliance', 'name': 'World Hepatitis Alliance', 'id': 20170584, 'id_str': '20170584', 'indices': [32, 45]}], 'urls': [{'url': 'https://t.co/NxJ2EA6JPH', 'expanded_url': 'https://twitter.com/i/web/status/1346567781697736704', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341792180298366977,2020-12-23 17:05:59,Our heartfelt gratitude goes to the healthcare workers this holiday season. For all that you do every day: Thank yo… https://t.co/0LQ2yjRqay,23,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0LQ2yjRqay', 'expanded_url': 'https://twitter.com/i/web/status/1341792180298366977', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341079057572581376,2020-12-21 17:52:18,"Watching the news of a novel virus spreading around the globe, employees across Gilead quickly moved to help. See h… https://t.co/iagFWpomuR",18,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iagFWpomuR', 'expanded_url': 'https://twitter.com/i/web/status/1341079057572581376', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339662923350863875,2020-12-17 20:05:05,"“I believe it’s your duty and privilege as a lawyer to recognize that not everyone can afford lawyers, but everybod… https://t.co/r6EFADeBoK",16,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/r6EFADeBoK', 'expanded_url': 'https://twitter.com/i/web/status/1339662923350863875', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338895620732407809,2020-12-15 17:16:06,RT @eoydc: Thank you to Gilead and the Racial Equity Community Impact Fund for selecting EOYDC as a grant recipient and recognizing our com…,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eoydc', 'name': 'EOYDC', 'id': 26323184, 'id_str': '26323184', 'indices': [3, 9]}], 'urls': []}",en
1337449964205604865,2020-12-11 17:31:34,"In the earliest days of COVID-19, dedicated teams across Gilead jumped into action. Here, a look at how we worked t… https://t.co/IGHD9GAfaw",20,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IGHD9GAfaw', 'expanded_url': 'https://twitter.com/i/web/status/1337449964205604865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1337021961415712768,2020-12-10 13:10:50,"Today we announced we will acquire MYR GmbH, providing Gilead with a first-in-class product to treat hepatitis delt… https://t.co/sSOijziYhC",36,11,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sSOijziYhC', 'expanded_url': 'https://twitter.com/i/web/status/1337021961415712768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336747945018806272,2020-12-09 19:02:00,"Shanell McGoy, Director of Public Affairs, is part of a team that helped develop a racial equity and social justice… https://t.co/gwpbjSsglF",518,62,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gwpbjSsglF', 'expanded_url': 'https://twitter.com/i/web/status/1336747945018806272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336716293135732736,2020-12-09 16:56:13,We’re announcing today the launch of our Racial Equity Community Impact Fund. The fund will support organizations w… https://t.co/HrTjyAvrL3,32,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HrTjyAvrL3', 'expanded_url': 'https://twitter.com/i/web/status/1336716293135732736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336418916415881216,2020-12-08 21:14:33,We warmly welcome Jeffrey A. Bluestone to our Board of Directors. https://t.co/Oci3Vr3Cv3,17,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Oci3Vr3Cv3', 'expanded_url': 'http://bit.ly/39NWvIC', 'display_url': 'bit.ly/39NWvIC', 'indices': [66, 89]}]}",en
1336340258758209536,2020-12-08 16:02:00,"As the breast cancer community comes together for #SABCS20, read about how @Maimah Karmo, founder of… https://t.co/hjfZnU1eGl",17,5,"{'hashtags': [{'text': 'SABCS20', 'indices': [50, 58]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Maimah', 'name': 'Maimah Karmo', 'id': 15277415, 'id_str': '15277415', 'indices': [75, 82]}], 'urls': [{'url': 'https://t.co/hjfZnU1eGl', 'expanded_url': 'https://twitter.com/i/web/status/1336340258758209536', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]}",en
1336325663045742600,2020-12-08 15:04:00,"As #ASH20 draws to a close, we’re more excited than ever about innovation in oncology – and we remain committed to… https://t.co/eDSVmSCPIp",36,4,"{'hashtags': [{'text': 'ASH20', 'indices': [3, 9]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eDSVmSCPIp', 'expanded_url': 'https://twitter.com/i/web/status/1336325663045742600', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1336091658182602753,2020-12-07 23:34:09,#TP53 is one of the most difficult-to-treat genetic mutations in #AML and patients typically survive less than 1 ye… https://t.co/BWYlYIbggi,21,4,"{'hashtags': [{'text': 'TP53', 'indices': [0, 5]}, {'text': 'AML', 'indices': [65, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BWYlYIbggi', 'expanded_url': 'https://twitter.com/i/web/status/1336091658182602753', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336061962069954562,2020-12-07 21:36:09,"In cancers like #AML, cancer cells can use the CD47 pathway to evade detection by the immune system. Our new data a… https://t.co/NYEegwQ7DS",28,3,"{'hashtags': [{'text': 'AML', 'indices': [16, 20]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NYEegwQ7DS', 'expanded_url': 'https://twitter.com/i/web/status/1336061962069954562', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1335752802610544641,2020-12-07 01:07:39,RT @eltonofficial: Eastern Europe and Central Asia is amid a growing #HIV epidemic and we need to act now to make sure no one is left behin…,0,38,"{'hashtags': [{'text': 'HIV', 'indices': [69, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'eltonofficial', 'name': 'Elton John', 'id': 174593833, 'id_str': '174593833', 'indices': [3, 17]}], 'urls': []}",en
1335715116373831681,2020-12-06 22:37:54,We’re pleased to share data at #ASH20 from a Phase 1b study of a first-in-class investigational antibody in acute myeloid leukemia.,28,3,"{'hashtags': [{'text': 'ASH20', 'indices': [31, 37]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1335682352467472389,2020-12-06 20:27:43,RT @KitePharma: We are excited to share results from our Phase 2 study of an investigational therapy in patients with high-risk large B-cel…,0,8,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KitePharma', 'name': 'Kite, a Gilead Company', 'id': 3291800309, 'id_str': '3291800309', 'indices': [3, 14]}], 'urls': []}",en
1335279264619347968,2020-12-05 17:45:59,RT @KitePharma: We’ve announced results from our Phase 2 study of an investigational therapy for patients with relapsed/refractory indolent…,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KitePharma', 'name': 'Kite, a Gilead Company', 'id': 3291800309, 'id_str': '3291800309', 'indices': [3, 14]}], 'urls': []}",en
1335260132750499840,2020-12-05 16:29:58,RT @KitePharma: Coming up at #ASH20: We will be sharing one-year follow up results for patients with relapsed/refractory mantle cell lympho…,0,2,"{'hashtags': [{'text': 'ASH20', 'indices': [29, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KitePharma', 'name': 'Kite, a Gilead Company', 'id': 3291800309, 'id_str': '3291800309', 'indices': [3, 14]}], 'urls': []}",en
1334936760577560577,2020-12-04 19:05:00,"As the hematology community comes together for the #ASH20 Annual Meeting, read the perspectives of Gilead and Kite… https://t.co/ZywmzXkLDx",34,3,"{'hashtags': [{'text': 'ASH20', 'indices': [51, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZywmzXkLDx', 'expanded_url': 'https://twitter.com/i/web/status/1334936760577560577', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1334923319007592448,2020-12-04 18:11:35,We’re looking forward to participating in the #ASHFromHome meeting and presenting our work alongside @KitePharma colleagues. #ASH20,19,1,"{'hashtags': [{'text': 'ASHFromHome', 'indices': [46, 58]}, {'text': 'ASH20', 'indices': [125, 131]}], 'symbols': [], 'user_mentions': [{'screen_name': 'KitePharma', 'name': 'Kite, a Gilead Company', 'id': 3291800309, 'id_str': '3291800309', 'indices': [101, 112]}], 'urls': []}",en
1334906058486083589,2020-12-04 17:03:00,Our #RADIAN partnership with @ejaf is providing support to local #HIV focused programs in Eastern Europe and Centra… https://t.co/vbRQ6zopeq,37,1,"{'hashtags': [{'text': 'RADIAN', 'indices': [4, 11]}, {'text': 'HIV', 'indices': [65, 69]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ejaf', 'name': 'Elton John AIDS Fdn', 'id': 180326389, 'id_str': '180326389', 'indices': [29, 34]}], 'urls': [{'url': 'https://t.co/vbRQ6zopeq', 'expanded_url': 'https://twitter.com/i/web/status/1334906058486083589', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
