id,created_at,text,favorites,retweets,entities,language
1351901796432752640,2021-01-20 14:38:00,Our tweets contain forward-looking statements subject to risks &amp; results could differ materially. Visit… https://t.co/fR384gnMGx,1,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fR384gnMGx', 'expanded_url': 'https://twitter.com/i/web/status/1351901796432752640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
1351893750029692928,2021-01-20 14:06:01,"2020 brought its unique challenges, yet we remained committed to delivering on our mission, one person at a time.… https://t.co/Sdc6LbbpAr",11,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Sdc6LbbpAr', 'expanded_url': 'https://twitter.com/i/web/status/1351893750029692928', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",en
1351891538339622922,2021-01-20 13:57:14,We're entering 2021 with optimism &amp; confidence as our capacities to navigate these challenging times are demonstrat… https://t.co/hMWsyCBW7G,5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hMWsyCBW7G', 'expanded_url': 'https://twitter.com/i/web/status/1351891538339622922', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351890609729134594,2021-01-20 13:53:32,We expect the combined capabilities of Change Healthcare x OptumInsight will advance the foundation for the next-ge… https://t.co/u9taySith4,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/u9taySith4', 'expanded_url': 'https://twitter.com/i/web/status/1351890609729134594', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351890327897055233,2021-01-20 13:52:25,"We’ve shared our ambition to build high-performing systems of care, and we continue to reinvent health care deliver… https://t.co/ajYvNikkUy",2,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ajYvNikkUy', 'expanded_url': 'https://twitter.com/i/web/status/1351890327897055233', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351890174561693700,2021-01-20 13:51:49,We're encouraged by the responses to our innovative products designed to better meet each person's unique needs.… https://t.co/bHiHCBSE1L,2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bHiHCBSE1L', 'expanded_url': 'https://twitter.com/i/web/status/1351890174561693700', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1351889869669343234,2021-01-20 13:50:36,Seniors choose @UHC because of the value they receive: better health outcomes + experiences at lower costs. We've b… https://t.co/GyjoD067Dl,2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UHC', 'name': 'UnitedHealthcare', 'id': 397462571, 'id_str': '397462571', 'indices': [15, 19]}], 'urls': [{'url': 'https://t.co/GyjoD067Dl', 'expanded_url': 'https://twitter.com/i/web/status/1351889869669343234', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351889744876199943,2021-01-20 13:50:06,"We're advancing health care to be more connected, more informed &amp; deeply personal. We're optimistic that 2021 will… https://t.co/xUxJ278qun",4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xUxJ278qun', 'expanded_url': 'https://twitter.com/i/web/status/1351889744876199943', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1351889206910529537,2021-01-20 13:47:58,"Our team of 325,000 are committed to serving others &amp; making the health system work better for everyone. Our clinic… https://t.co/aqd2mjmKNC",5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aqd2mjmKNC', 'expanded_url': 'https://twitter.com/i/web/status/1351889206910529537', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1351888815439417344,2021-01-20 13:46:25,Our tweets contain forward-looking statements subject to risks &amp; results could differ materially. Visit… https://t.co/nxCKsfK2mz,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nxCKsfK2mz', 'expanded_url': 'https://twitter.com/i/web/status/1351888815439417344', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
