id,created_at,text,favorites,retweets,entities,language
1351907341134934024,2021-01-20 15:00:02,We are YOUR LIFE &amp; we want to enable young people to have a carefree love life by educating about contraception to… https://t.co/kaYZxeMYk3,2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kaYZxeMYk3', 'expanded_url': 'https://twitter.com/i/web/status/1351907341134934024', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1350095402499002368,2021-01-15 15:00:02,Puberty is a strange time but it might be a bit easier when young people know what to expect:… https://t.co/j7qkgGidhS,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/j7qkgGidhS', 'expanded_url': 'https://twitter.com/i/web/status/1350095402499002368', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [95, 118]}]}",en
1349370639904333835,2021-01-13 15:00:05,"The copper coil, aka IUD, prevents pregnancy by releasing copper ions and is suitable for young and old. Check:… https://t.co/RMN2aGx0jX",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RMN2aGx0jX', 'expanded_url': 'https://twitter.com/i/web/status/1349370639904333835', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",en
1346818810955915264,2021-01-06 14:00:01,"The pull out, aka withdrawal method, is NOT SAFE. Here’s why: https://t.co/duRMMVu4k7 #yourlife #birthcontrol… https://t.co/cd1lxeB5eN",0,0,"{'hashtags': [{'text': 'yourlife', 'indices': [86, 95]}, {'text': 'birthcontrol', 'indices': [96, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/duRMMVu4k7', 'expanded_url': 'http://spr.ly/6011HyvAz', 'display_url': 'spr.ly/6011HyvAz', 'indices': [62, 85]}, {'url': 'https://t.co/cd1lxeB5eN', 'expanded_url': 'https://twitter.com/i/web/status/1346818810955915264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",en
1345021970119856128,2021-01-01 15:00:01,🙏 🙏🏾 🙏🏻 We’d like to thank all our followers for your constant support and inspiration. HAPPY NEW YEAR – we hope to… https://t.co/BuToR7qBAf,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BuToR7qBAf', 'expanded_url': 'https://twitter.com/i/web/status/1345021970119856128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344297197244973058,2020-12-30 15:00:02,Young people should know their birth control options. Get an overview: https://t.co/gio91zIakp  #yourlife… https://t.co/4L7L2Q54AZ,1,0,"{'hashtags': [{'text': 'yourlife', 'indices': [96, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gio91zIakp', 'expanded_url': 'http://spr.ly/6015HyvUJ', 'display_url': 'spr.ly/6015HyvUJ', 'indices': [71, 94]}, {'url': 'https://t.co/4L7L2Q54AZ', 'expanded_url': 'https://twitter.com/i/web/status/1344297197244973058', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}",en
1343572422042267652,2020-12-28 15:00:02,Condoms are the only contraceptive method that protects you from sexually transmitted infections. More:… https://t.co/IP998ayNGV,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IP998ayNGV', 'expanded_url': 'https://twitter.com/i/web/status/1343572422042267652', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",en
1342485252984475649,2020-12-25 15:00:01,Merry Christmas – we wish you a festive season! These bells herald a celebration in bed – can you spot what they re… https://t.co/WaIGuBtKMk,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WaIGuBtKMk', 'expanded_url': 'https://twitter.com/i/web/status/1342485252984475649', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341760503924834307,2020-12-23 15:00:07,The method of contraception should fit each young woman’s individual lifestyle. Take the test:… https://t.co/oH1uv2BtLj,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oH1uv2BtLj', 'expanded_url': 'https://twitter.com/i/web/status/1341760503924834307', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [96, 119]}]}",en
1341035705494061056,2020-12-21 15:00:02,Most gynecologists recommend a first visit between the ages of 13 and 15. Patients should prepare their questions:… https://t.co/mcm40BLo9q,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mcm40BLo9q', 'expanded_url': 'https://twitter.com/i/web/status/1341035705494061056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
