id,created_at,text,favorites,retweets,entities,language
1351227924641423363,2021-01-18 18:00:16,"#TOXINS2021 is over, but our commitment to tackling emerging challenges in #neuroscience continues. Learn more abou… https://t.co/aF3hxVjvu0",7,2,"{'hashtags': [{'text': 'TOXINS2021', 'indices': [0, 11]}, {'text': 'neuroscience', 'indices': [75, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aF3hxVjvu0', 'expanded_url': 'https://twitter.com/i/web/status/1351227924641423363', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351183892796088324,2021-01-18 15:05:18,"RT @AbbVieUS: Since #COVID19 began, our employees have found many ways to give back and #MLKDay is no different. We’re honoring it by takin…",0,3,"{'hashtags': [{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'MLKDay', 'indices': [88, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AbbVieUS', 'name': 'AbbVie US', 'id': 3241059916, 'id_str': '3241059916', 'indices': [3, 12]}], 'urls': []}",en
1350865517058383882,2021-01-17 18:00:11,Take a peek behind the scenes at one of our research centers where our dedicated team navigates neuroscience’s unch… https://t.co/y5R9Do7vRR,10,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/y5R9Do7vRR', 'expanded_url': 'https://twitter.com/i/web/status/1350865517058383882', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350488047461265410,2021-01-16 17:00:16,Visit our virtual booth at #TOXINS2021 to hear more about our latest research. Read more about our focus areas in… https://t.co/jyClzgeDNv,3,2,"{'hashtags': [{'text': 'TOXINS2021', 'indices': [27, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jyClzgeDNv', 'expanded_url': 'https://twitter.com/i/web/status/1350488047461265410', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",en
1350196468859199488,2021-01-15 21:41:38,RT @CityYearSanJose: We're excited to announce that @abbvie proud partner of @CityYear will be participating in our MLK Day Beloved Communi…,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CityYearSanJose', 'name': 'City Year San José/Silicon Valley', 'id': 119537235, 'id_str': '119537235', 'indices': [3, 19]}, {'screen_name': 'abbvie', 'name': 'AbbVie', 'id': 531892451, 'id_str': '531892451', 'indices': [52, 59]}, {'screen_name': 'CityYear', 'name': 'CityYear', 'id': 15758330, 'id_str': '15758330', 'indices': [77, 86]}], 'urls': []}",en
1350145773313339392,2021-01-15 18:20:11,"RT @AbbVieUS: What does #MLKDay mean to us? Rae Livingston, our chief #equity officer, reflects on its importance. https://t.co/ilTICiNzGe",0,2,"{'hashtags': [{'text': 'MLKDay', 'indices': [24, 31]}, {'text': 'equity', 'indices': [70, 77]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AbbVieUS', 'name': 'AbbVie US', 'id': 3241059916, 'id_str': '3241059916', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1350140737191632897, 'id_str': '1350140737191632897', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1350140737191632897/pu/img/KKaialJirPQ1o3VW.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1350140737191632897/pu/img/KKaialJirPQ1o3VW.jpg', 'url': 'https://t.co/ilTICiNzGe', 'display_url': 'pic.twitter.com/ilTICiNzGe', 'expanded_url': 'https://twitter.com/AbbVieUS/status/1350140806590570498/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}}, 'source_status_id': 1350140806590570498, 'source_status_id_str': '1350140806590570498', 'source_user_id': 3241059916, 'source_user_id_str': '3241059916'}]}",en
1350095435843690497,2021-01-15 15:00:10,"Teaming up with medical schools, hospitals, health agencies and companies around the world isn’t just good #science… https://t.co/jcYSivYb0x",5,0,"{'hashtags': [{'text': 'science', 'indices': [107, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jcYSivYb0x', 'expanded_url': 'https://twitter.com/i/web/status/1350095435843690497', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349733082295791616,2021-01-14 15:00:18,"Last year, we expanded and diversified our #neuroscience product portfolio and science pipeline. Learn more about o… https://t.co/ayBqp4EeVj",6,2,"{'hashtags': [{'text': 'neuroscience', 'indices': [43, 56]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ayBqp4EeVj', 'expanded_url': 'https://twitter.com/i/web/status/1349733082295791616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349415957169664002,2021-01-13 18:00:09,Will we see you at #TOXINS2021? Learn about our ongoing commitment to #neuroscience research:… https://t.co/OUejzJ9rL3,5,4,"{'hashtags': [{'text': 'TOXINS2021', 'indices': [19, 30]}, {'text': 'neuroscience', 'indices': [70, 83]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OUejzJ9rL3', 'expanded_url': 'https://twitter.com/i/web/status/1349415957169664002', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [95, 118]}]}",en
1349370661295300612,2021-01-13 15:00:10,The key to tackling diseases with few treatment options? #Partnerships with organizations whose #research complemen… https://t.co/Rfrky5OeQP,6,0,"{'hashtags': [{'text': 'Partnerships', 'indices': [57, 70]}, {'text': 'research', 'indices': [96, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Rfrky5OeQP', 'expanded_url': 'https://twitter.com/i/web/status/1349370661295300612', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349121525413244930,2021-01-12 22:30:11,"It takes all of us, together, to tackle the toughest scientific challenges and deliver innovative medicines. We see… https://t.co/33gXKsrGrJ",8,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/33gXKsrGrJ', 'expanded_url': 'https://twitter.com/i/web/status/1349121525413244930', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349105137462161414,2021-01-12 21:25:04,"JOIN NOW: Hear members of our executive leadership team, including Richard A. Gonzalez, chairman of the board and C… https://t.co/crAdgX5tPi",15,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/crAdgX5tPi', 'expanded_url': 'https://twitter.com/i/web/status/1349105137462161414', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348993152271716353,2021-01-12 14:00:05,Homeless people are especially vulnerable to #COVID19. See how our partner @The_BMC mobilized with a place for them… https://t.co/mnkpBlpTA6,5,1,"{'hashtags': [{'text': 'COVID19', 'indices': [45, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'The_BMC', 'name': 'Boston Medical Center', 'id': 87510035, 'id_str': '87510035', 'indices': [75, 83]}], 'urls': [{'url': 'https://t.co/mnkpBlpTA6', 'expanded_url': 'https://twitter.com/i/web/status/1348993152271716353', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348706339472748548,2021-01-11 19:00:23,What role do partnerships play in building our pipeline? Watch to find out. #JPM2021 https://t.co/YIoOTeqIKO,15,2,"{'hashtags': [{'text': 'JPM2021', 'indices': [76, 84]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1348706272355508225, 'id_str': '1348706272355508225', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1348706272355508225/pu/img/Ri2Xd54dyCO58EwS.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1348706272355508225/pu/img/Ri2Xd54dyCO58EwS.jpg', 'url': 'https://t.co/YIoOTeqIKO', 'display_url': 'pic.twitter.com/YIoOTeqIKO', 'expanded_url': 'https://twitter.com/abbvie/status/1348706339472748548/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
1347646941392465920,2021-01-08 20:50:43,"Thank you for your dedication and partnership, @IMC_Worldwide. #InThisTogether #AbbVieGivesBack https://t.co/n4vpYEfgDt",7,1,"{'hashtags': [{'text': 'InThisTogether', 'indices': [63, 78]}, {'text': 'AbbVieGivesBack', 'indices': [79, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'IMC_Worldwide', 'name': 'International Medical Corps', 'id': 16334429, 'id_str': '16334429', 'indices': [47, 61]}], 'urls': [{'url': 'https://t.co/n4vpYEfgDt', 'expanded_url': 'https://twitter.com/IMC_Worldwide/status/1347617837918138369', 'display_url': 'twitter.com/IMC_Worldwide/…', 'indices': [96, 119]}]}",en
1347180267648262146,2021-01-07 13:56:19,Today we announced Phase 3 data in #Crohns disease. Discover the latest: https://t.co/WK5WPZi7p9 https://t.co/aDccnfUk3E,27,10,"{'hashtags': [{'text': 'Crohns', 'indices': [35, 42]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WK5WPZi7p9', 'expanded_url': 'https://bit.ly/2JVwcWo', 'display_url': 'bit.ly/2JVwcWo', 'indices': [73, 96]}], 'media': [{'id': 1347180244495699969, 'id_str': '1347180244495699969', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1347180244495699969/pu/img/-24xad-amFEXA8Xn.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1347180244495699969/pu/img/-24xad-amFEXA8Xn.jpg', 'url': 'https://t.co/aDccnfUk3E', 'display_url': 'pic.twitter.com/aDccnfUk3E', 'expanded_url': 'https://twitter.com/abbvie/status/1347180267648262146/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}",en
1346851113191026688,2021-01-06 16:08:23,"@WinterKline15 Hi Anna, we recommend you speak with your doctor about your individual treatment needs. This product… https://t.co/i5fpSR2Mi1",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WinterKline15', 'name': 'Anna Winter K', 'id': 1104730513393229826, 'id_str': '1104730513393229826', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/i5fpSR2Mi1', 'expanded_url': 'https://twitter.com/i/web/status/1346851113191026688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346471548824158208,2021-01-05 15:00:08,"#JPM2021 is going virtual, and so are we. Schedule a virtual meeting to discuss collaboration opportunities during… https://t.co/MMBnKFwU6P",8,4,"{'hashtags': [{'text': 'JPM2021', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MMBnKFwU6P', 'expanded_url': 'https://twitter.com/i/web/status/1346471548824158208', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1346456291556864000,2021-01-05 13:59:30,"NEWS: Moments ago, we announced new Phase 3 data in patients with #PsoriaticArthritis. Learn more:… https://t.co/AONXmz1k0o",22,3,"{'hashtags': [{'text': 'PsoriaticArthritis', 'indices': [66, 85]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AONXmz1k0o', 'expanded_url': 'https://twitter.com/i/web/status/1346456291556864000', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [100, 123]}]}",en
1346157969449361408,2021-01-04 18:14:04,"@intenseCA Hi David, we saw your comment and if you are using one of our immunology products, you can access the my… https://t.co/wnWDjcb6pT",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'intenseCA', 'name': 'David 🇨🇦🇬🇧🇺🇸🇦🇺 #FBPE #FBR #DemCastNV', 'id': 16074930, 'id_str': '16074930', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/wnWDjcb6pT', 'expanded_url': 'https://twitter.com/i/web/status/1346157969449361408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346154455868305409,2021-01-04 18:00:07,"Portable sinks in high-traffic homeless areas not only help prevent #COVID19, they also restore dignity. Discover h… https://t.co/yCbRTcNdcE",18,3,"{'hashtags': [{'text': 'COVID19', 'indices': [68, 76]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yCbRTcNdcE', 'expanded_url': 'https://twitter.com/i/web/status/1346154455868305409', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344999336116170756,2021-01-01 13:30:05,Here’s to a #HappyNewYear fueled by #science and innovation. https://t.co/S6BE6CG3BT,91,11,"{'hashtags': [{'text': 'HappyNewYear', 'indices': [12, 25]}, {'text': 'science', 'indices': [36, 44]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1344999333905768450, 'id_str': '1344999333905768450', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EqplxKCXIAIK5Eb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqplxKCXIAIK5Eb.jpg', 'url': 'https://t.co/S6BE6CG3BT', 'display_url': 'pic.twitter.com/S6BE6CG3BT', 'expanded_url': 'https://twitter.com/abbvie/status/1344999336116170756/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",en
1344318911634956288,2020-12-30 16:26:19,"@okayeiriksson Hi Kayla, we saw your comment and that is one of our products. Feel free to send us a DM if you have… https://t.co/0PuLG3badE",1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'okayeiriksson', 'name': 'Kayla', 'id': 274337025, 'id_str': '274337025', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/0PuLG3badE', 'expanded_url': 'https://twitter.com/i/web/status/1344318911634956288', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1343617745636753408,2020-12-28 18:00:08,Partnerships complement our research for potentially life-changing results. Read how #collaborations can give us an… https://t.co/j9BCF0Cu6J,4,1,"{'hashtags': [{'text': 'collaborations', 'indices': [85, 100]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/j9BCF0Cu6J', 'expanded_url': 'https://twitter.com/i/web/status/1343617745636753408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1343601241973260288,2020-12-28 16:54:33,We look forward to seeing our partners' work come to life &amp; make a difference in these underserved communities.… https://t.co/JgLdAEsdv0,13,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JgLdAEsdv0', 'expanded_url': 'https://twitter.com/i/web/status/1343601241973260288', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
