id,created_at,text,favorites,retweets,entities,language
1351771702808760320,2021-01-20 06:01:03,Siz de kendinizde ya da yakınlarınızda epilepsi semptomları gözlemliyorsanız mutlaka bir hekime başvurmalısınız.… https://t.co/pbdM4U8kum,5,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pbdM4U8kum', 'expanded_url': 'https://twitter.com/i/web/status/1351771702808760320', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",tr
1351771700522872837,2021-01-20 06:01:02,"Halk arasında “sara hastalığı"" olarak bilinen epilepsi, bazen ortaya çıkan anormal elektriksel aktiviteye bağlı ola… https://t.co/HcoIQ2mIGr",16,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HcoIQ2mIGr', 'expanded_url': 'https://twitter.com/i/web/status/1351771700522872837', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351422552942510083,2021-01-19 06:53:39,"COVID-19 sözlüğümüzde bu haftanın terimleri kontamine ve ventilasyona göz atalım.

#Abdiİbrahim… https://t.co/PbZS5QQUBA",14,0,"{'hashtags': [{'text': 'Abdiİbrahim', 'indices': [83, 95]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PbZS5QQUBA', 'expanded_url': 'https://twitter.com/i/web/status/1351422552942510083', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [97, 120]}]}",tr
1349972711041335298,2021-01-15 06:52:30,"2030'da karbon ayak izimizi sıfırlamak için, 1 Ocak 2020'den bu yana Esenyurt Üretim Kompleksmizde yenilenebilir en… https://t.co/qK3mm5HSzX",19,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qK3mm5HSzX', 'expanded_url': 'https://twitter.com/i/web/status/1349972711041335298', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1349274773751275522,2021-01-13 08:39:09,"Dünyada ve ülkemizde gündemde olan Koronavirüsler (CoV), çeşitli hastalıklara neden olan büyük bir virüs ailesidir.… https://t.co/T14JRJa6wq",11,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/T14JRJa6wq', 'expanded_url': 'https://twitter.com/i/web/status/1349274773751275522', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348940894494404608,2021-01-12 10:32:26,"Dünyada ve ülkemizde gündemde olan Koronavirüsler (CoV), çeşitli hastalıklara neden olan büyük bir virüs ailesidir.… https://t.co/XWnXK6miXh",9,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XWnXK6miXh', 'expanded_url': 'https://twitter.com/i/web/status/1348940894494404608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348591937457188864,2021-01-11 11:25:48,"Damar sertliği, damar dokularında bozulmalarla gerçekleşen kronik bir hastalıktır. Dünyada ve ülkemizde görülen ölü… https://t.co/gahBp2ctKZ",25,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gahBp2ctKZ', 'expanded_url': 'https://twitter.com/i/web/status/1348591937457188864', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1347465093706088448,2021-01-08 08:48:07,"Dünyada ve ülkemizde gündemde olan Koronavirüsler (CoV), çeşitli hastalıklara neden olan büyük bir virüs ailesidir.… https://t.co/x8CuF7lcD1",12,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/x8CuF7lcD1', 'expanded_url': 'https://twitter.com/i/web/status/1347465093706088448', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1347160567639900160,2021-01-07 12:38:03,COVID-19’a karşı geliştirilen aşıları en üst standartlarda üretebilme kapasitesine sahip olduğumuzu gösteren aşı ür… https://t.co/MYfYXUGOm8,424,40,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MYfYXUGOm8', 'expanded_url': 'https://twitter.com/i/web/status/1347160567639900160', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1347104869786800132,2021-01-07 08:56:43,Küçük bir eczanede başladığımız yolculuğumuza tam 109 yıldır Türkiye’nin iyileştiren gücü olarak devam ediyoruz.… https://t.co/hfS9fk6Uju,38,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hfS9fk6Uju', 'expanded_url': 'https://twitter.com/i/web/status/1347104869786800132', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",tr
