id,created_at,text,favorites,retweets,entities,language
1351543597573746689,2021-01-19 14:54:38,"Since there often are no symptoms associated with #glaucoma, patients may not realize their condition has worsened… https://t.co/pk7DrzErTJ",3,0,"{'hashtags': [{'text': 'glaucoma', 'indices': [50, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pk7DrzErTJ', 'expanded_url': 'https://twitter.com/i/web/status/1351543597573746689', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349795469225046019,2021-01-14 19:08:12,"RT @GlaucomaOrg: Join us for our Virtual Glaucoma 360 Annual Gala | January 29, 2021
 
Honoring Ramin Valian, Vice President, Glaucoma and…",0,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GlaucomaOrg', 'name': 'Glaucoma Research', 'id': 98010940, 'id_str': '98010940', 'indices': [3, 15]}], 'urls': []}",en
1341383032201244676,2020-12-22 14:00:11,"We’re committed to giving you the education you need to support your patients. Find all those resources online, in… https://t.co/qalPe4bedJ",3,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qalPe4bedJ', 'expanded_url': 'https://twitter.com/i/web/status/1341383032201244676', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1339571070978977793,2020-12-17 14:00:06,IN THE NEWS: Evidence shows patients are turning to social media &amp; online forums for medical info:… https://t.co/qisfwaeyPn,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qisfwaeyPn', 'expanded_url': 'https://twitter.com/i/web/status/1339571070978977793', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",en
1338846299068772355,2020-12-15 14:00:06,Our science is how we’ve been able to continually push the boundaries of what’s possible in eye care for over 70 ye… https://t.co/DsNpwwBMjJ,18,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DsNpwwBMjJ', 'expanded_url': 'https://twitter.com/i/web/status/1338846299068772355', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1337034353814220801,2020-12-10 14:00:05,DID YOU KNOW: #Glaucoma is the leading cause of blindness in African Americans - encourage your patients to begin g… https://t.co/KeHIJaAS3b,5,1,"{'hashtags': [{'text': 'Glaucoma', 'indices': [14, 23]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KeHIJaAS3b', 'expanded_url': 'https://twitter.com/i/web/status/1337034353814220801', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336717345562226688,2020-12-09 17:00:24,People from around the country accepted the #MyGlaucomaMyDesign challenge from @VonMiller &amp; shared their personal s… https://t.co/ORxPXkRtEb,0,0,"{'hashtags': [{'text': 'MyGlaucomaMyDesign', 'indices': [44, 63]}], 'symbols': [], 'user_mentions': [{'screen_name': 'VonMiller', 'name': 'Von Miller', 'id': 1880281963, 'id_str': '1880281963', 'indices': [79, 89]}], 'urls': [{'url': 'https://t.co/ORxPXkRtEb', 'expanded_url': 'https://twitter.com/i/web/status/1336717345562226688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1336309578917613569,2020-12-08 14:00:05,Allergan OPTOMETRY JUMPSTART® is designed for newly graduated optometrists practicing in the US to gain access to m… https://t.co/2vSPFxSf0u,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2vSPFxSf0u', 'expanded_url': 'https://twitter.com/i/web/status/1336309578917613569', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1334497667553124358,2020-12-03 14:00:12,"We know that the work we do makes a real difference each and every day. It’s what keeps us going, and it’s why we s… https://t.co/UsQQ6BTmAX",3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UsQQ6BTmAX', 'expanded_url': 'https://twitter.com/i/web/status/1334497667553124358', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1333772866828034048,2020-12-01 14:00:06,We understand that vision matters. That’s why our goal is - and always has been - to help preserve and protect the… https://t.co/PvnxSoX8wY,2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PvnxSoX8wY', 'expanded_url': 'https://twitter.com/i/web/status/1333772866828034048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
