id,created_at,text,favorites,retweets,entities,language
917902283622494209,2017-10-10 23:58:52,RT @areyouacatfish: When you’re waiting for your parcel to arrive 😂😂😂 https://t.co/SRyponRE99,0,66,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'areyouacatfish', 'name': 'ThePugLifeOfFrankie', 'id': 126085826, 'id_str': '126085826', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 917794995075198977, 'id_str': '917794995075198977', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/DLypr3IWsAE-WyR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLypr3IWsAE-WyR.jpg', 'url': 'https://t.co/SRyponRE99', 'display_url': 'pic.twitter.com/SRyponRE99', 'expanded_url': 'https://twitter.com/areyouacatfish/status/917795022958931973/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 917795022958931973, 'source_status_id_str': '917795022958931973', 'source_user_id': 126085826, 'source_user_id_str': '126085826'}]}",en
917902271974969344,2017-10-10 23:58:50,RT @areyouacatfish: When you’re trying to sleep and someone turns on the light 😂😂😂 https://t.co/8RYV58i1yI,0,163,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'areyouacatfish', 'name': 'ThePugLifeOfFrankie', 'id': 126085826, 'id_str': '126085826', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 917730310351147008, 'id_str': '917730310351147008', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/DLxu2twW0AAzPz8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLxu2twW0AAzPz8.jpg', 'url': 'https://t.co/8RYV58i1yI', 'display_url': 'pic.twitter.com/8RYV58i1yI', 'expanded_url': 'https://twitter.com/areyouacatfish/status/917730314348351488/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 382, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 750, 'h': 1334, 'resize': 'fit'}}, 'source_status_id': 917730314348351488, 'source_status_id_str': '917730314348351488', 'source_user_id': 126085826, 'source_user_id_str': '126085826'}]}",en
917902260029583361,2017-10-10 23:58:47,RT @areyouacatfish: Accurate https://t.co/ZYqvkzIZEu,0,130,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'areyouacatfish', 'name': 'ThePugLifeOfFrankie', 'id': 126085826, 'id_str': '126085826', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 915648355421839365, 'id_str': '915648355421839365', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/DLUJU_QW4AUlabY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLUJU_QW4AUlabY.jpg', 'url': 'https://t.co/ZYqvkzIZEu', 'display_url': 'pic.twitter.com/ZYqvkzIZEu', 'expanded_url': 'https://twitter.com/areyouacatfish/status/915648360861847553/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 600, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 600, 'resize': 'fit'}}, 'source_status_id': 915648360861847553, 'source_status_id_str': '915648360861847553', 'source_user_id': 126085826, 'source_user_id_str': '126085826'}]}",en
917902247580848128,2017-10-10 23:58:44,RT @areyouacatfish: True 😂😂😂 https://t.co/YH09WkZAUg,0,67,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'areyouacatfish', 'name': 'ThePugLifeOfFrankie', 'id': 126085826, 'id_str': '126085826', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 915311473613828100, 'id_str': '915311473613828100', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/DLPW74uXcAQal1m.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLPW74uXcAQal1m.jpg', 'url': 'https://t.co/YH09WkZAUg', 'display_url': 'pic.twitter.com/YH09WkZAUg', 'expanded_url': 'https://twitter.com/areyouacatfish/status/915311477539696640/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 716, 'h': 799, 'resize': 'fit'}, 'medium': {'w': 716, 'h': 799, 'resize': 'fit'}, 'small': {'w': 609, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 915311477539696640, 'source_status_id_str': '915311477539696640', 'source_user_id': 126085826, 'source_user_id_str': '126085826'}]}",en
917902241180340226,2017-10-10 23:58:42,RT @areyouacatfish: Pretty much 🙃 https://t.co/3q5b4UAWLr,0,94,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'areyouacatfish', 'name': 'ThePugLifeOfFrankie', 'id': 126085826, 'id_str': '126085826', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 914972427897229318, 'id_str': '914972427897229318', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/DLKik1AXUAYGp1y.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLKik1AXUAYGp1y.jpg', 'url': 'https://t.co/3q5b4UAWLr', 'display_url': 'pic.twitter.com/3q5b4UAWLr', 'expanded_url': 'https://twitter.com/areyouacatfish/status/914972436185124864/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}}, 'source_status_id': 914972436185124864, 'source_status_id_str': '914972436185124864', 'source_user_id': 126085826, 'source_user_id_str': '126085826'}]}",en
917795022958931973,2017-10-10 16:52:39,When you’re waiting for your parcel to arrive 😂😂😂 https://t.co/SRyponRE99,133,66,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 917794995075198977, 'id_str': '917794995075198977', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/media/DLypr3IWsAE-WyR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLypr3IWsAE-WyR.jpg', 'url': 'https://t.co/SRyponRE99', 'display_url': 'pic.twitter.com/SRyponRE99', 'expanded_url': 'https://twitter.com/areyouacatfish/status/917795022958931973/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}}]}",en
917730314348351488,2017-10-10 12:35:32,When you’re trying to sleep and someone turns on the light 😂😂😂 https://t.co/8RYV58i1yI,269,163,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 917730310351147008, 'id_str': '917730310351147008', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/DLxu2twW0AAzPz8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLxu2twW0AAzPz8.jpg', 'url': 'https://t.co/8RYV58i1yI', 'display_url': 'pic.twitter.com/8RYV58i1yI', 'expanded_url': 'https://twitter.com/areyouacatfish/status/917730314348351488/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 382, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 675, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 750, 'h': 1334, 'resize': 'fit'}}}]}",en
915648360861847553,2017-10-04 18:42:35,Accurate https://t.co/ZYqvkzIZEu,244,130,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 915648355421839365, 'id_str': '915648355421839365', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/media/DLUJU_QW4AUlabY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLUJU_QW4AUlabY.jpg', 'url': 'https://t.co/ZYqvkzIZEu', 'display_url': 'pic.twitter.com/ZYqvkzIZEu', 'expanded_url': 'https://twitter.com/areyouacatfish/status/915648360861847553/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 600, 'h': 600, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 600, 'resize': 'fit'}}}]}",en
915311477539696640,2017-10-03 20:23:56,True 😂😂😂 https://t.co/YH09WkZAUg,108,67,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 915311473613828100, 'id_str': '915311473613828100', 'indices': [9, 32], 'media_url': 'http://pbs.twimg.com/media/DLPW74uXcAQal1m.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLPW74uXcAQal1m.jpg', 'url': 'https://t.co/YH09WkZAUg', 'display_url': 'pic.twitter.com/YH09WkZAUg', 'expanded_url': 'https://twitter.com/areyouacatfish/status/915311477539696640/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 716, 'h': 799, 'resize': 'fit'}, 'medium': {'w': 716, 'h': 799, 'resize': 'fit'}, 'small': {'w': 609, 'h': 680, 'resize': 'fit'}}}]}",en
914972436185124864,2017-10-02 21:56:42,Pretty much 🙃 https://t.co/3q5b4UAWLr,168,94,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 914972427897229318, 'id_str': '914972427897229318', 'indices': [14, 37], 'media_url': 'http://pbs.twimg.com/media/DLKik1AXUAYGp1y.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DLKik1AXUAYGp1y.jpg', 'url': 'https://t.co/3q5b4UAWLr', 'display_url': 'pic.twitter.com/3q5b4UAWLr', 'expanded_url': 'https://twitter.com/areyouacatfish/status/914972436185124864/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}}}]}",en
