id,created_at,text,favorites,retweets,entities,language
1351680944340566017,2021-01-20 00:00:24,"#おは養命酒

今朝はこちら大寒山…おっと間違えました。
養命酒本社近くの代官山からお届けしますよん。

……。

ん……？なんだか寒いですねえ。。
なんてったって今日は #大寒
一年で一番寒さが厳しい日でございます。。

養命酒… https://t.co/cSLhdO6z89",476,70,"{'hashtags': [{'text': 'おは養命酒', 'indices': [0, 6]}, {'text': '大寒', 'indices': [86, 89]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cSLhdO6z89', 'expanded_url': 'https://twitter.com/i/web/status/1351680944340566017', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1349189426556006402,2021-01-13 03:00:00,"はい、弊社では食パンも作っているんですねぇ。

#くらすわ 東京スカイツリータウン・ソラマチ店で人気の、プレミアム食パン。
しっとりもちもちで美味しくて、ハコさんに似ているんです。。… https://t.co/1rqpHDbDKh",614,105,"{'hashtags': [{'text': 'くらすわ', 'indices': [24, 29]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1rqpHDbDKh', 'expanded_url': 'https://twitter.com/i/web/status/1349189426556006402', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [93, 116]}]}",ja
1347376226994954240,2021-01-08 02:55:00,"養命酒福袋2021キャンペーン、ご参加ありがとうございました～

みなさんの熱い気持ちを受け取りまして、急遽マスクを布マスク仕様からアップグレードいたしました。

このマスク「薬用」ではなく「着用」ですのでお間違えのないよう。… https://t.co/3vXurGFC69",2046,374,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3vXurGFC69', 'expanded_url': 'https://twitter.com/i/web/status/1347376226994954240', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",ja
1346939604197380096,2021-01-06 22:00:01,"#おは養命酒

今日は #七草

春の七草の入った七草粥をいただき、今年一年の無病息災を祈るならわしです。

14種類の生薬（しょうやく）の効き目を摂れちゃう養命酒と七草粥で、今年も健康に過ごせるようにお願いしましょう薬～　ｗｗｗ… https://t.co/GgFCfs7MOw",778,145,"{'hashtags': [{'text': 'おは養命酒', 'indices': [0, 6]}, {'text': '七草', 'indices': [12, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GgFCfs7MOw', 'expanded_url': 'https://twitter.com/i/web/status/1346939604197380096', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1346651451368550400,2021-01-06 02:55:00,"今日は #カラーの日 ！

ビン乗して塗り絵をブログにアップしましたよ～

https://t.co/EdD8IzgeIe

今回もボクのセンスが爆発しちゃってます。。。

そしてなんと！ボクのお部屋の塗り絵がブログからダウンロー… https://t.co/l4aUvbEJDI",441,59,"{'hashtags': [{'text': 'カラーの日', 'indices': [4, 10]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EdD8IzgeIe', 'expanded_url': 'https://www.yomeishu.co.jp/binkun_room/blog/detail/210106.php', 'display_url': 'yomeishu.co.jp/binkun_room/bl…', 'indices': [38, 61]}, {'url': 'https://t.co/l4aUvbEJDI', 'expanded_url': 'https://twitter.com/i/web/status/1346651451368550400', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1346214827434262528,2021-01-04 22:00:00,"#おは養命酒
今日は #小寒 

小寒は、一年で最も寒さが極まる「大寒」へ向かっていく時期とされており、今日から節分までを「寒（かん）」と言います。

今日もまた、冷えに苦しむ誰かの元に喚ばれる声が…
みなさま、どうかカラダを冷や… https://t.co/rsSnwkvQfZ",772,149,"{'hashtags': [{'text': 'おは養命酒', 'indices': [0, 6]}, {'text': '小寒', 'indices': [11, 14]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rsSnwkvQfZ', 'expanded_url': 'https://twitter.com/i/web/status/1346214827434262528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1345565548499890177,2021-01-03 03:00:00,"三が日最終日～
そして年末にスタートした #養命酒福袋2021 キャンペーンも間もなく終了！
みなさま、応募されましたか？

抽選で20名。全人類の約0.00000025641026% の方だけが手にする幸運をゲットするのはあなた… https://t.co/3U7OfsApJi",925,518,"{'hashtags': [{'text': '養命酒福袋2021', 'indices': [21, 31]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3U7OfsApJi', 'expanded_url': 'https://twitter.com/i/web/status/1345565548499890177', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1344795482791567365,2021-01-01 00:00:02,"あけまして #おは養命酒 ～♪
ビンが新年をお知らせします～

昨年中はボクらを温かく見守ってくださりありがとうございました～。ボクらにとって冷えは大敵ですので…

本年も皆様にほっこり元気な話題をお届けできるようがんばりますよん… https://t.co/DX5gLk5BrC",1279,142,"{'hashtags': [{'text': 'おは養命酒', 'indices': [6, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DX5gLk5BrC', 'expanded_url': 'https://twitter.com/i/web/status/1344795482791567365', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ja
1344553883100581889,2020-12-31 08:00:00,"年の瀬、いかがお過ごしでしょうか？

2020年の締めくくりに、今年のボクのブログの人気ランキングを発表しま～す

１位は現在進行形でキャンペーン中の #養命酒福袋2021 のブログでした～… https://t.co/eL4oTiGIgT",349,49,"{'hashtags': [{'text': '養命酒福袋2021', 'indices': [76, 86]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eL4oTiGIgT', 'expanded_url': 'https://twitter.com/i/web/status/1344553883100581889', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [97, 120]}]}",ja
1343970812928278528,2020-12-29 17:23:06,"秒速20ミリリットル。。

１回２０ｍLずつ。食前・就寝前にじっくりとお試しください。

#養命酒 https://t.co/nnWR7Obzai",733,105,"{'hashtags': [{'text': '養命酒', 'indices': [45, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1343969872355631104, 'id_str': '1343969872355631104', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1343969872355631104/pu/img/s5QFwQkfODAPYI9M.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1343969872355631104/pu/img/s5QFwQkfODAPYI9M.jpg', 'url': 'https://t.co/nnWR7Obzai', 'display_url': 'pic.twitter.com/nnWR7Obzai', 'expanded_url': 'https://twitter.com/binkun_yomeishu/status/1343970812928278528/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",ja
