id,created_at,text,favorites,retweets,entities,language
1351687651078893569,2021-01-20 00:27:03,"Tomorrow's virtual #CommunityLab webinar will feature Cherie Butts, Ph.D., Medical Director and Head of Clinical As… https://t.co/U8DbFn1m5M",13,1,"{'hashtags': [{'text': 'CommunityLab', 'indices': [19, 32]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/U8DbFn1m5M', 'expanded_url': 'https://twitter.com/i/web/status/1351687651078893569', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351232034862202881,2021-01-18 18:16:36,"Today we celebrate #MLK, a #CivilRights leader whose commitment, vision and perseverance advanced #racialequality a… https://t.co/eaGhzkvNS0",20,2,"{'hashtags': [{'text': 'MLK', 'indices': [19, 23]}, {'text': 'CivilRights', 'indices': [27, 39]}, {'text': 'racialequality', 'indices': [98, 113]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eaGhzkvNS0', 'expanded_url': 'https://twitter.com/i/web/status/1351232034862202881', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349757768186679304,2021-01-14 16:38:23,"RT @SangamoTx: We look forward to advancing our wholly owned programs as well as our partnered programs with @Biogen, @KitePharma, @Novarti…",0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SangamoTx', 'name': 'Sangamo Therapeutics', 'id': 809083633671643136, 'id_str': '809083633671643136', 'indices': [3, 13]}, {'screen_name': 'biogen', 'name': 'Biogen', 'id': 155650832, 'id_str': '155650832', 'indices': [109, 116]}, {'screen_name': 'KitePharma', 'name': 'Kite, a Gilead Company', 'id': 3291800309, 'id_str': '3291800309', 'indices': [118, 129]}], 'urls': []}",en
1348611272829509632,2021-01-11 12:42:38,Biogen to study digital measures of cognitive health using Apple Watch and iPhone. Click here to learn more.,86,25,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1347544437472305152,2021-01-08 14:03:24,"Biogen’s Chief Medical Officer, Maha Radhakrishnan, shares her thoughts on our commitment to furthering spinal musc… https://t.co/pYNF7L30FU",48,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pYNF7L30FU', 'expanded_url': 'https://twitter.com/i/web/status/1347544437472305152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347522473600937990,2021-01-08 12:36:08,Spinal muscular atrophy (#SMA) news from Biogen: We are pleased to share an update on a new open-label study in pat… https://t.co/mRNePiD16t,50,5,"{'hashtags': [{'text': 'SMA', 'indices': [25, 29]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mRNePiD16t', 'expanded_url': 'https://twitter.com/i/web/status/1347522473600937990', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346538557700243465,2021-01-05 19:26:24,"RT @MassBio: To learn more about the critical role of external innovation &amp; partnering, we sat down with Diana Gallagher, M.D., VP, Head of…",0,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MassBio', 'name': 'MassBio', 'id': 47726194, 'id_str': '47726194', 'indices': [3, 11]}], 'urls': []}",en
1346535542272499716,2021-01-05 19:14:25,"Children with spinal muscular atrophy (#SMA) don't produce enough SMN protein, which is critical to maintain motor… https://t.co/Ov7RaKdPhc",45,11,"{'hashtags': [{'text': 'SMA', 'indices': [39, 43]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Ov7RaKdPhc', 'expanded_url': 'https://twitter.com/i/web/status/1346535542272499716', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1346209791950147586,2021-01-04 21:40:00,@Gr8BosFoodBank We are proud to partner with @Gr8BosFoodBank to support our local community members in need.,2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Gr8BosFoodBank', 'name': 'The Greater Boston Food Bank', 'id': 78306928, 'id_str': '78306928', 'indices': [0, 15]}, {'screen_name': 'Gr8BosFoodBank', 'name': 'The Greater Boston Food Bank', 'id': 78306928, 'id_str': '78306928', 'indices': [45, 60]}], 'urls': []}",en
1345123387673350151,2021-01-01 21:43:01,#HappyNewYear from Biogen! We are hopeful for the year ahead as we remain focused on the patients we serve and comm… https://t.co/F32Z9VMnCD,51,5,"{'hashtags': [{'text': 'HappyNewYear', 'indices': [0, 13]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/F32Z9VMnCD', 'expanded_url': 'https://twitter.com/i/web/status/1345123387673350151', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344713775346282496,2020-12-31 18:35:22,"Biogen employee Eleonore Dubois, Director, Global Commercial Operations, is #grateful for the extra time spent with… https://t.co/xX1nK4OcVD",12,0,"{'hashtags': [{'text': 'grateful', 'indices': [76, 85]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xX1nK4OcVD', 'expanded_url': 'https://twitter.com/i/web/status/1344713775346282496', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344398518648238098,2020-12-30 21:42:39,"In partnership with the medical community and #patientadvocacy groups, Biogen continues to drive innovation and res… https://t.co/2uMC5fS6bj",18,0,"{'hashtags': [{'text': 'patientadvocacy', 'indices': [46, 62]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2uMC5fS6bj', 'expanded_url': 'https://twitter.com/i/web/status/1344398518648238098', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344380237258350592,2020-12-30 20:30:00,"As the year comes to a close, our employees are looking forward to 2021. Julie Owens, Director of MS, US Field Medi… https://t.co/3Hf17QxVt3",7,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3Hf17QxVt3', 'expanded_url': 'https://twitter.com/i/web/status/1344380237258350592', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344370296967618560,2020-12-30 19:50:30,"@EllenbogenIlene Hi Ilene, thank you for reaching out. Please contact the Patient Center at patientcenter@biogen.co… https://t.co/1rmTa6WxrM",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EllenbogenIlene', 'name': 'Ilene Ellenbogen', 'id': 1065338584662753280, 'id_str': '1065338584662753280', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/1rmTa6WxrM', 'expanded_url': 'https://twitter.com/i/web/status/1344370296967618560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344367784915042310,2020-12-30 19:40:31,"Our employees are grateful for their pets, big and small, who have brought love, comfort and laughter to their fami… https://t.co/D3ljqr6x39",18,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D3ljqr6x39', 'expanded_url': 'https://twitter.com/i/web/status/1344367784915042310', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1343976948830253060,2020-12-29 17:47:29,"#Alzheimers progresses slowly and worsens memory, thinking and reasoning skills. Certain signs and symptoms may ind… https://t.co/2csUlifcIT",13,1,"{'hashtags': [{'text': 'Alzheimers', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2csUlifcIT', 'expanded_url': 'https://twitter.com/i/web/status/1343976948830253060', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1343606314379980802,2020-12-28 17:14:43,The number of Americans with #Alzheimers disease and other dementias continues to escalate in conjunction with the… https://t.co/dBsYRB8603,21,5,"{'hashtags': [{'text': 'Alzheimers', 'indices': [29, 40]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dBsYRB8603', 'expanded_url': 'https://twitter.com/i/web/status/1343606314379980802', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1341878559602843650,2020-12-23 22:49:14,#Alzheimers disease is one of the most significant unmet global medical needs of our time. Physical changes to the… https://t.co/fgLHE2eLfh,28,3,"{'hashtags': [{'text': 'Alzheimers', 'indices': [0, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fgLHE2eLfh', 'expanded_url': 'https://twitter.com/i/web/status/1341878559602843650', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1341806860865777665,2020-12-23 18:04:19,"This year, Biogen’s Adrien Bretagne is grateful for #technology and video calling to help ease the difficulty of di… https://t.co/VbWu0MXjFT",10,0,"{'hashtags': [{'text': 'technology', 'indices': [52, 63]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VbWu0MXjFT', 'expanded_url': 'https://twitter.com/i/web/status/1341806860865777665', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341749529415196672,2020-12-23 14:16:30,Memory loss that impacts daily life is not a typical part of #aging and may be a symptom of mild cognitive impairme… https://t.co/LvOZBmdWC3,15,5,"{'hashtags': [{'text': 'aging', 'indices': [61, 67]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LvOZBmdWC3', 'expanded_url': 'https://twitter.com/i/web/status/1341749529415196672', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
