id,created_at,text,favorites,retweets,entities,language
1351975975995715584,2021-01-20 19:32:45,"We congratulate President Biden and Vice President Harris on their historic inauguration, and wish the new Administ… https://t.co/q2MToUCzI1",22,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/q2MToUCzI1', 'expanded_url': 'https://twitter.com/i/web/status/1351975975995715584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351866749436776449,2021-01-20 12:18:44,#MEDIA: Announcing the #FDA has accepted for priority review our application for our immunotherapy as a potential t… https://t.co/G6gmX0gSpD,24,7,"{'hashtags': [{'text': 'MEDIA', 'indices': [0, 6]}, {'text': 'FDA', 'indices': [23, 27]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G6gmX0gSpD', 'expanded_url': 'https://twitter.com/i/web/status/1351866749436776449', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351862557292847105,2021-01-20 12:02:04,#MEDIA: Announcing the #FDA has accepted for priority review application for our immunotherapy as potential treatme… https://t.co/rsbFwOIwEv,13,2,"{'hashtags': [{'text': 'MEDIA', 'indices': [0, 6]}, {'text': 'FDA', 'indices': [23, 27]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rsbFwOIwEv', 'expanded_url': 'https://twitter.com/i/web/status/1351862557292847105', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351276030091292678,2021-01-18 21:11:25,BMS Foundation President John Damonti shares insights on the importance of working across sectors to address unmet… https://t.co/mgXYCcaSJM,8,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mgXYCcaSJM', 'expanded_url': 'https://twitter.com/i/web/status/1351276030091292678', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351174669664182278,2021-01-18 14:28:39,On this #MLKDAY #DayOfService our Black Organization for Leadership and Development continues our tradition of serv… https://t.co/JkCwS9VtYe,22,4,"{'hashtags': [{'text': 'MLKDAY', 'indices': [8, 15]}, {'text': 'DayOfService', 'indices': [16, 29]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JkCwS9VtYe', 'expanded_url': 'https://twitter.com/i/web/status/1351174669664182278', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350145222810988550,2021-01-15 18:18:00,"Applications are now open for interested candidates to receive free training, professional mentoring, &amp; paid… https://t.co/Xe69zauK3Q",7,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Xe69zauK3Q', 'expanded_url': 'https://twitter.com/i/web/status/1350145222810988550', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1349400820052357123,2021-01-13 17:00:00,"Our own Samit Hirawat met with @FierceBiotech’s @AmirahAlIdrus this week to discuss our pipeline, upcoming R&amp;D mile… https://t.co/ib45X2420O",8,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FierceBiotech', 'name': 'FierceBiotech', 'id': 18294197, 'id_str': '18294197', 'indices': [31, 45]}, {'screen_name': 'amirahalidrus', 'name': 'Amirah Al Idrus 🏳️\u200d🌈', 'id': 761204358, 'id_str': '761204358', 'indices': [48, 62]}], 'urls': [{'url': 'https://t.co/ib45X2420O', 'expanded_url': 'https://twitter.com/i/web/status/1349400820052357123', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1349370362585341952,2021-01-13 14:58:59,Are you registered? Join us in discussing 2020’s bright moments in advocacy with the COVID #AdvocacyExchange commun… https://t.co/VdjCpVGUGX,6,1,"{'hashtags': [{'text': 'AdvocacyExchange', 'indices': [91, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VdjCpVGUGX', 'expanded_url': 'https://twitter.com/i/web/status/1349370362585341952', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348773728864317440,2021-01-11 23:28:10,LIVE: Tune in to @MadMoneyOnCNBC to watch as CEO Giovanni Caforio discusses our transformative partnerships and pot… https://t.co/ZlSXhAnLhC,12,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MadMoneyOnCNBC', 'name': 'Mad Money On CNBC', 'id': 16451932, 'id_str': '16451932', 'indices': [17, 32]}], 'urls': [{'url': 'https://t.co/ZlSXhAnLhC', 'expanded_url': 'https://twitter.com/i/web/status/1348773728864317440', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348707154497298438,2021-01-11 19:03:38,"Shwen Gwee, VP and Head of BMS Global Digital Strategy, shares his thoughts on the importance of collaborating with… https://t.co/e82OkJwZDx",16,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e82OkJwZDx', 'expanded_url': 'https://twitter.com/i/web/status/1348707154497298438', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
