id,created_at,text,favorites,retweets,entities,language
1350116912492064768,2021-01-15 16:25:30,RT @modrnhealthcr: The shift to value-based agreements is an opportunity to optimize patient outcomes by aligning cost-effective medication…,0,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'modrnhealthcr', 'name': 'Modern Healthcare', 'id': 18935711, 'id_str': '18935711', 'indices': [3, 17]}], 'urls': []}",en
1349083870021509123,2021-01-12 20:00:34,#PRESS: We are excited to collaborate with @Enara_Bio with the aim to discover #DarkAntigens for cancer immunothera… https://t.co/WqTdrSlVqg,3,1,"{'hashtags': [{'text': 'PRESS', 'indices': [0, 6]}, {'text': 'DarkAntigens', 'indices': [79, 92]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Enara_Bio', 'name': 'Enara Bio', 'id': 1171432333045403648, 'id_str': '1171432333045403648', 'indices': [43, 53]}], 'urls': [{'url': 'https://t.co/WqTdrSlVqg', 'expanded_url': 'https://twitter.com/i/web/status/1349083870021509123', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348715864594522112,2021-01-11 19:38:14,"RT @Boehringer: #PRESS: We are joining forces with @GoogleAI in #quantum computing! Together, we explore the potential of quantum computing…",0,13,"{'hashtags': [{'text': 'PRESS', 'indices': [16, 22]}, {'text': 'quantum', 'indices': [64, 72]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Boehringer', 'name': 'Boehringer Ingelheim', 'id': 17437735, 'id_str': '17437735', 'indices': [3, 14]}, {'screen_name': 'GoogleAI', 'name': 'Google AI', 'id': 33838201, 'id_str': '33838201', 'indices': [51, 60]}], 'urls': []}",en
1348622310622842880,2021-01-11 13:26:29,We are excited to share that the @US_FDA has accepted our sNDA for our product with @LillyDiabetes in adults with… https://t.co/H1CkBWXNtg,12,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [33, 40]}, {'screen_name': 'LillyDiabetes', 'name': 'Lilly Diabetes', 'id': 1138093171, 'id_str': '1138093171', 'indices': [84, 98]}], 'urls': [{'url': 'https://t.co/H1CkBWXNtg', 'expanded_url': 'https://twitter.com/i/web/status/1348622310622842880', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",en
1341745446620966912,2020-12-23 14:00:17,"This week, our President of U.S. Human Pharma, Yew Looi Liew, spoke at the Connecticut Bioscience Caucus about our… https://t.co/P2gRukIBbx",7,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/P2gRukIBbx', 'expanded_url': 'https://twitter.com/i/web/status/1341745446620966912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1341413238106447874,2020-12-22 16:00:12,#Researchers: Our Cat S inhibitor BI-1124 is highly selective and can be used to study the molecular basis of disea… https://t.co/HLgkGNO68v,1,0,"{'hashtags': [{'text': 'Researchers', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HLgkGNO68v', 'expanded_url': 'https://twitter.com/i/web/status/1341413238106447874', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341137396302295045,2020-12-21 21:44:07,@SickWitIt0803 @Boehringer Hi Parscale - Thank you for contacting us. We realize the important role Vetmedin plays… https://t.co/Lbik7cnNUU,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SickWitIt0803', 'name': 'MF Parscale Tackler', 'id': 1313930834865319936, 'id_str': '1313930834865319936', 'indices': [0, 14]}, {'screen_name': 'Boehringer', 'name': 'Boehringer Ingelheim', 'id': 17437735, 'id_str': '17437735', 'indices': [15, 26]}], 'urls': [{'url': 'https://t.co/Lbik7cnNUU', 'expanded_url': 'https://twitter.com/i/web/status/1341137396302295045', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1341011889451614214,2020-12-21 13:25:23,Our goal is to improve the lives of patients through increased access to life-saving medications like #biosimilars.… https://t.co/V1a3k44G74,4,0,"{'hashtags': [{'text': 'biosimilars', 'indices': [102, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/V1a3k44G74', 'expanded_url': 'https://twitter.com/i/web/status/1341011889451614214', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339991647661289476,2020-12-18 17:51:19,"#Press: A new virus neutralizing #COVID19 antibody developed jointly with @UKKoeln,  @Uni_MR and @DZIF_  enters cli… https://t.co/zixDSfIzpQ",4,1,"{'hashtags': [{'text': 'Press', 'indices': [0, 6]}, {'text': 'COVID19', 'indices': [33, 41]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UKKoeln', 'name': 'Uniklinik Köln', 'id': 2204611051, 'id_str': '2204611051', 'indices': [74, 82]}, {'screen_name': 'Uni_MR', 'name': 'Philipps-Universität', 'id': 71488783, 'id_str': '71488783', 'indices': [85, 92]}, {'screen_name': 'DZIF_', 'name': 'DZIF - Deutsches Zentrum für Infektionsforschung', 'id': 1115178627493244929, 'id_str': '1115178627493244929', 'indices': [97, 103]}], 'urls': [{'url': 'https://t.co/zixDSfIzpQ', 'expanded_url': 'https://twitter.com/i/web/status/1339991647661289476', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339616382279966726,2020-12-17 17:00:09,#Researchers: There is urgent need to overcome poor solubility of many contemporary drug candidates. Join our effor… https://t.co/xGTQB3yz8c,0,0,"{'hashtags': [{'text': 'Researchers', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xGTQB3yz8c', 'expanded_url': 'https://twitter.com/i/web/status/1339616382279966726', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339586299775238150,2020-12-17 15:00:36,Discover how nephrologists work with other sub-specialists to keep an open line of communication when treating thos… https://t.co/GqF3I8xbPX,1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GqF3I8xbPX', 'expanded_url': 'https://twitter.com/i/web/status/1339586299775238150', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339565303836106752,2020-12-17 13:37:11,Watch Drs. Gregory Cosgrove from National Jewish Health and @jonherochung from the University of Chicago discuss ho… https://t.co/zVJakBMIUP,2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jonherochung', 'name': 'Jonathan Chung', 'id': 803646333064069121, 'id_str': '803646333064069121', 'indices': [60, 73]}], 'urls': [{'url': 'https://t.co/zVJakBMIUP', 'expanded_url': 'https://twitter.com/i/web/status/1339565303836106752', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339238898413809669,2020-12-16 16:00:09,Working with a healthcare provider is key in determining the right asthma treatment plan. BI appreciates the new up… https://t.co/iuPheV1Vha,6,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iuPheV1Vha', 'expanded_url': 'https://twitter.com/i/web/status/1339238898413809669', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338921795764834305,2020-12-15 19:00:06,#Researchers: What is the “protein interaction partner” of the human Myeloid-derived growth factor (MYDGF)? Four we… https://t.co/ZNA5vUcmuw,1,2,"{'hashtags': [{'text': 'Researchers', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ZNA5vUcmuw', 'expanded_url': 'https://twitter.com/i/web/status/1338921795764834305', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338855357519716353,2020-12-15 14:36:06,"Today, we’re announcing positive results from our outcomes-based agreement with @Highmark, which showed an annual t… https://t.co/OHBtuF7iuc",3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Highmark', 'name': 'Highmark', 'id': 1499097392, 'id_str': '1499097392', 'indices': [80, 89]}], 'urls': [{'url': 'https://t.co/OHBtuF7iuc', 'expanded_url': 'https://twitter.com/i/web/status/1338855357519716353', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338570744654131205,2020-12-14 19:45:09,#Biosimilars can provide patients access to potentially life-saving medications more affordably. That’s why we’ve s… https://t.co/5bStwOLdgF,1,1,"{'hashtags': [{'text': 'Biosimilars', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5bStwOLdgF', 'expanded_url': 'https://twitter.com/i/web/status/1338570744654131205', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1337487365724647426,2020-12-11 20:00:11,We stand on the brink of a milestone in the fight against #COVID19. Scientists have come together to create a vacci… https://t.co/oUwzTV3xgW,15,2,"{'hashtags': [{'text': 'COVID19', 'indices': [58, 66]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oUwzTV3xgW', 'expanded_url': 'https://twitter.com/i/web/status/1337487365724647426', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1337476267977953284,2020-12-11 19:16:06,"We stand with our U.S. Chief Diversity &amp; Inclusion Officer, Nancy Di Dia, and are committed to better inclusion in… https://t.co/R1pIhPjtBs",5,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/R1pIhPjtBs', 'expanded_url': 'https://twitter.com/i/web/status/1337476267977953284', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1337057012023255042,2020-12-10 15:30:07,#Press: We’re excited to soon welcome NBE-Therapeutics to Boehringer Ingelheim and look forward to jointly enhancin… https://t.co/WFxLRT9vC3,2,0,"{'hashtags': [{'text': 'Press', 'indices': [0, 6]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WFxLRT9vC3', 'expanded_url': 'https://twitter.com/i/web/status/1337057012023255042', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336694947194540032,2020-12-09 15:31:24,#Researchers: With BI-1915 and BI-1124 we release two highly potent and selective inhibitors of the cysteine protea… https://t.co/WV1NCbSury,4,0,"{'hashtags': [{'text': 'Researchers', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WV1NCbSury', 'expanded_url': 'https://twitter.com/i/web/status/1336694947194540032', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1335987139763462148,2020-12-07 16:38:50,We have submitted a Citizen Petition to the @US_FDA to encourage biosimilar competition in the U.S. Click below to… https://t.co/eydY8IyrHW,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [44, 51]}], 'urls': [{'url': 'https://t.co/eydY8IyrHW', 'expanded_url': 'https://twitter.com/i/web/status/1335987139763462148', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1334921795925839872,2020-12-04 18:05:32,"Don't forget to tune into the ""Beyond Breathless"" @AETV documentary featuring @QueenLatifah on Saturday, 12/5 at 12… https://t.co/Lo7oWjMukm",5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AETV', 'name': 'A&E Network', 'id': 21442298, 'id_str': '21442298', 'indices': [50, 55]}, {'screen_name': 'QueenLatifah', 'name': 'Queen Latifah', 'id': 53210031, 'id_str': '53210031', 'indices': [78, 91]}], 'urls': [{'url': 'https://t.co/Lo7oWjMukm', 'expanded_url': 'https://twitter.com/i/web/status/1334921795925839872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
