id,created_at,text,favorites,retweets,entities,language
1351175233894551563,2021-01-18 14:30:54,"We are united by a deep caring for human life and are inspired by the legacy of Dr. Martin Luther King, Jr.… https://t.co/p2NPFGkPpG",13,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/p2NPFGkPpG', 'expanded_url': 'https://twitter.com/i/web/status/1351175233894551563', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",en
1349729847572983811,2021-01-14 14:47:27,"Announcing the launch of WaveWriter Alpha™, our new spinal cord stimulation systems that provide personalized thera… https://t.co/3ueZTeWjfC",18,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3ueZTeWjfC', 'expanded_url': 'https://twitter.com/i/web/status/1349729847572983811', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349122795083591682,2021-01-12 22:35:14,"@Cocopinkgirl Hi Aubrie, thanks for reaching out. Visit our website, https://t.co/BKZvaOcZAA, to stay up to date on pain management.",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Cocopinkgirl', 'name': 'Aubrie Layne', 'id': 35939975, 'id_str': '35939975', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/BKZvaOcZAA', 'expanded_url': 'https://www.pain.com/en.html', 'display_url': 'pain.com/en.html', 'indices': [69, 92]}]}",en
1347266755803181070,2021-01-07 19:40:00,"In an open letter to employees, CEO Mike Mahoney and SVP of Human Resources Wendy Carruthers shared their response… https://t.co/bfUyW2w9EQ",38,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bfUyW2w9EQ', 'expanded_url': 'https://twitter.com/i/web/status/1347266755803181070', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1346826410111995905,2021-01-06 14:30:13,"For Giannetto, his HeartLogic™ Heart Failure (HF) Diagnostic allows him to continue doing what he loves: bringing d… https://t.co/Efk4KmgmEL",12,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Efk4KmgmEL', 'expanded_url': 'https://twitter.com/i/web/status/1346826410111995905', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1343961517746753537,2020-12-29 16:46:10,"During the Season of Giving, volunteers across Latin America organized toy drives, collected personal hygiene donat… https://t.co/LHN1TZCSP5",14,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LHN1TZCSP5', 'expanded_url': 'https://twitter.com/i/web/status/1343961517746753537', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1343957521057411079,2020-12-29 16:30:17,"@MichaelMaxson17 We're sorry to hear this. If you feel comfortable providing your contact info via DM, we will conn… https://t.co/mSATbVWBAj",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichaelMaxson17', 'name': 'Metal Max', 'id': 1260442180038135808, 'id_str': '1260442180038135808', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/mSATbVWBAj', 'expanded_url': 'https://twitter.com/i/web/status/1343957521057411079', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1342870536418975754,2020-12-26 16:30:59,@kleegrubaugh We're so glad to hear this! Thank you for sharing.,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kleegrubaugh', 'name': 'Kind Karen - not that Karen', 'id': 21764166, 'id_str': '21764166', 'indices': [0, 13]}], 'urls': []}",en
1341401608907796481,2020-12-22 15:14:00,https://t.co/xh1uYcGu2g,56,20,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1341039211076612097, 'id_str': '1341039211076612097', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1341039211076612097/pu/img/-NbMDKUp6uIV42eN.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1341039211076612097/pu/img/-NbMDKUp6uIV42eN.jpg', 'url': 'https://t.co/xh1uYcGu2g', 'display_url': 'pic.twitter.com/xh1uYcGu2g', 'expanded_url': 'https://twitter.com/bostonsci/status/1341401608907796481/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",und
1339969332609245195,2020-12-18 16:22:38,"Congratulations to Camille Chang Gilmore, Global Chief Diversity, Equity &amp; Inclusion Officer, for being elected to… https://t.co/hDH7Im4CEm",22,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hDH7Im4CEm', 'expanded_url': 'https://twitter.com/i/web/status/1339969332609245195', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]}",en
1339651166649667589,2020-12-17 19:18:22,"Our Spencer, IN manufacturing site created a bilingual shift to recruit Spanish-speaking employees, many of whom we… https://t.co/mNkkTrmHrs",15,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mNkkTrmHrs', 'expanded_url': 'https://twitter.com/i/web/status/1339651166649667589', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339571283009388551,2020-12-17 14:00:56,"SVP Mary Beth Moynihan is an executive, mentor and fierce advocate for developing women as leaders. We’re proud to… https://t.co/LA4BLnmO9d",15,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LA4BLnmO9d', 'expanded_url': 'https://twitter.com/i/web/status/1339571283009388551', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1339229662984232960,2020-12-16 15:23:27,"Our SVP and General Counsel, Desiree Ralls-Morrison considers it a priority to develop and invest in others. Learn… https://t.co/hoDU3VNMO7",9,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hoDU3VNMO7', 'expanded_url': 'https://twitter.com/i/web/status/1339229662984232960', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1338544537225072644,2020-12-14 18:01:01,We’re grateful to our many employees who supported #COVID19 relief efforts this year. Tara volunteered as an ICU nu… https://t.co/AzqNLdHuFp,37,7,"{'hashtags': [{'text': 'COVID19', 'indices': [51, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AzqNLdHuFp', 'expanded_url': 'https://twitter.com/i/web/status/1338544537225072644', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1337132599446298624,2020-12-10 20:30:29,"Our SVP and General Counsel, Desiree Ralls-Morrison discusses the effect of #COVID19 on women, and shares her advic… https://t.co/ohD4Rmg0u8",1,1,"{'hashtags': [{'text': 'COVID19', 'indices': [76, 84]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ohD4Rmg0u8', 'expanded_url': 'https://twitter.com/i/web/status/1337132599446298624', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1336400671797604355,2020-12-08 20:02:03,"The U.S. Urology and Pelvic Health team (@bsc_urology) raised over $31,000 to support @commonhope and provide a ful… https://t.co/iS1zIir97h",17,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bsc_urology', 'name': 'Boston Scientific Urology and Pelvic Health', 'id': 123903006, 'id_str': '123903006', 'indices': [41, 53]}, {'screen_name': 'commonhope', 'name': 'Common Hope', 'id': 37938270, 'id_str': '37938270', 'indices': [86, 97]}], 'urls': [{'url': 'https://t.co/iS1zIir97h', 'expanded_url': 'https://twitter.com/i/web/status/1336400671797604355', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
