id,created_at,text,favorites,retweets,entities,language
1351692175109730307,2021-01-20 00:45:02,"While we celebrate what a #COVID19vaccine means for our future, we also know many myths are circulating online. To… https://t.co/xjNTYInKYS",33,24,"{'hashtags': [{'text': 'COVID19vaccine', 'indices': [26, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xjNTYInKYS', 'expanded_url': 'https://twitter.com/i/web/status/1351692175109730307', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351137020140285958,2021-01-18 11:59:03,"In honor of #MLKDay, Jadah learned about Alma Thomas, an African American artist who achieved success despite the s… https://t.co/G7VdJnGf0d",27,6,"{'hashtags': [{'text': 'MLKDay', 'indices': [12, 19]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G7VdJnGf0d', 'expanded_url': 'https://twitter.com/i/web/status/1351137020140285958', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349840475142971400,2021-01-14 22:07:02,The best pick-me-up during a hospital stay? Quality time with the neurosurgeon who saved your life. Twice. https://t.co/nKfQrpGUta,61,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1349840470575353861, 'id_str': '1349840470575353861', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/media/EruYwZgXEAUMb1F.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EruYwZgXEAUMb1F.jpg', 'url': 'https://t.co/nKfQrpGUta', 'display_url': 'pic.twitter.com/nKfQrpGUta', 'expanded_url': 'https://twitter.com/childrensatl/status/1349840475142971400/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1760, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 584, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1031, 'h': 1200, 'resize': 'fit'}}}]}",en
1349134573565845504,2021-01-12 23:22:02,"Installation of a new hot water heater triggered a gas leak in Harrison and Brandon's 🏚️ , silently causing early s… https://t.co/W0uNEBayGN",20,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/W0uNEBayGN', 'expanded_url': 'https://twitter.com/i/web/status/1349134573565845504', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349000682788040705,2021-01-12 14:30:00,"We love our nurses, and we know many of you do too! Did one of them go above and beyond for your family in 2020? He… https://t.co/qygb5p1FSv",18,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qygb5p1FSv', 'expanded_url': 'https://twitter.com/i/web/status/1349000682788040705', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346228922434916355,2021-01-04 22:56:01,"""Eh, what's up, Doc?"" — how Eli and his best bunny greeted our pediatric orthopedics team when his arm fracture nee… https://t.co/zzArpJ779Q",20,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zzArpJ779Q', 'expanded_url': 'https://twitter.com/i/web/status/1346228922434916355', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344726285000593408,2020-12-31 19:25:04,"Before the holiday season began, Reagan underwent a bone marrow transplant. The lifesaving donor? Her older sister,… https://t.co/Kuuh6aXG25",12,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Kuuh6aXG25', 'expanded_url': 'https://twitter.com/i/web/status/1344726285000593408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344290156275232770,2020-12-30 14:32:03,"From innovative treatments to puppy play dates, your support helps keep our doors open 365 days a year. As we prepa… https://t.co/NDbAqc39zF",9,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NDbAqc39zF', 'expanded_url': 'https://twitter.com/i/web/status/1344290156275232770', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1342516736453726219,2020-12-25 17:05:07,"When you're in the hospital, the families and caregivers around you become family. Knowing what it’s like to be in… https://t.co/Mfl8xFI6Fy",42,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Mfl8xFI6Fy', 'expanded_url': 'https://twitter.com/i/web/status/1342516736453726219', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1342155594111848449,2020-12-24 17:10:04,"Eight years ago, a tradition was born in the Scottish Rite cafeteria. Early this morning, the tradition continued v… https://t.co/I7hgGSpFHX",42,10,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/I7hgGSpFHX', 'expanded_url': 'https://twitter.com/i/web/status/1342155594111848449', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341858620741337088,2020-12-23 21:30:00,"With the holiday season in full swing, the urge to gather with family and friends is strong. But with #COVID19 case… https://t.co/QygXBQ6ayr",6,1,"{'hashtags': [{'text': 'COVID19', 'indices': [102, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QygXBQ6ayr', 'expanded_url': 'https://twitter.com/i/web/status/1341858620741337088', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341849080834773001,2020-12-23 20:52:05,"For babies spending their first Christmas away from home, one NICU nurse is making sure they are wrapped in love. T… https://t.co/vML1H5bofd",49,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vML1H5bofd', 'expanded_url': 'https://twitter.com/i/web/status/1341849080834773001', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341377464459800576,2020-12-22 13:38:03,"For the past four years, our kids have been able to choose a decorated Christmas tree to display in their hospital… https://t.co/QFciNA85jr",62,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QFciNA85jr', 'expanded_url': 'https://twitter.com/i/web/status/1341377464459800576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1340703936743936000,2020-12-20 17:01:42,"Though the holidays look a little different this year, our Children’s family remains  committed to finding special… https://t.co/mZgAUEYDMG",18,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mZgAUEYDMG', 'expanded_url': 'https://twitter.com/i/web/status/1340703936743936000', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1339986556560543744,2020-12-18 17:31:05,"As a transplant recipient, Hadley knows a thing or two about human anatomy. When our camp team invited her to parti… https://t.co/FVhjOheghO",26,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FVhjOheghO', 'expanded_url': 'https://twitter.com/i/web/status/1339986556560543744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339726207169032194,2020-12-18 00:16:33,"A day that won’t soon be forgotten: This afternoon, our employees began receiving the #COVID19vaccine. “It makes my… https://t.co/l6HfADm5FR",99,19,"{'hashtags': [{'text': 'COVID19vaccine', 'indices': [86, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/l6HfADm5FR', 'expanded_url': 'https://twitter.com/i/web/status/1339726207169032194', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339542480820301824,2020-12-17 12:06:29,"Thank you, Baylee and fans, for the wonderful delivery! https://t.co/dPSwmmDD8P",12,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dPSwmmDD8P', 'expanded_url': 'https://twitter.com/littrell_baylee/status/1338976386644631553', 'display_url': 'twitter.com/littrell_bayle…', 'indices': [56, 79]}]}",en
1339378390877560832,2020-12-17 01:14:27,"Today, we received our first delivery of #COVID19 vaccines released for healthcare workers. Tomorrow, we’ll begin a… https://t.co/IiJPjFU7Ex",202,36,"{'hashtags': [{'text': 'COVID19', 'indices': [41, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IiJPjFU7Ex', 'expanded_url': 'https://twitter.com/i/web/status/1339378390877560832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338837714678976513,2020-12-15 13:26:00,"If you're expecting or have a newborn under 2 months old, you can help us learn more about autism by participating… https://t.co/a9IOkvo8RS",5,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/a9IOkvo8RS', 'expanded_url': 'https://twitter.com/i/web/status/1338837714678976513', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
