id,created_at,text,favorites,retweets,entities,language
1349657980606828545,2021-01-14 10:01:52,"@paiavinash Hello Avinash, we are very sorry for the late reply and the experience you have. Please direct message… https://t.co/GDMsCOp556",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'paiavinash', 'name': 'Avinash Pai', 'id': 137737357, 'id_str': '137737357', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/GDMsCOp556', 'expanded_url': 'https://twitter.com/i/web/status/1349657980606828545', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349657159882170371,2021-01-14 09:58:36,"@akagarwal01 Hello Amit, I'm sorry for this experience. Please direct message your phone number and email address s… https://t.co/zwOwNXRWqj",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'akagarwal01', 'name': 'Amit Agarwal', 'id': 88464069, 'id_str': '88464069', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/zwOwNXRWqj', 'expanded_url': 'https://twitter.com/i/web/status/1349657159882170371', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1344296381138272257,2020-12-30 14:56:47,"@bmc875 Hi, we are delighted to receive your feedback - thank you!",1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bmc875', 'name': ""I'm the messenger. Fire away!"", 'id': 19076408, 'id_str': '19076408', 'indices': [0, 7]}], 'urls': []}",en
1336980615263031303,2020-12-10 10:26:33,"@akagarwal01 Hi Amit, here's a list of the contact details for customer support in each country:… https://t.co/Hh1E5O8aps",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'akagarwal01', 'name': 'Amit Agarwal', 'id': 88464069, 'id_str': '88464069', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/Hh1E5O8aps', 'expanded_url': 'https://twitter.com/i/web/status/1336980615263031303', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [98, 121]}]}",en
1329457744508809217,2020-11-19 16:13:21,"@Frereop Hi, we are delighted to receive your feedback - thank you!",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Frereop', 'name': '💧Frére', 'id': 499718905, 'id_str': '499718905', 'indices': [0, 8]}], 'urls': []}",en
1328986635602636800,2020-11-18 09:01:19,"@uchihamadara7x Hi, here's a list of the contact details for customer support in each country:… https://t.co/O30NBBzG28",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'uchihamadara7x', 'name': 'शुभम् 🌚 🕉️🚩🚩', 'id': 2807556876, 'id_str': '2807556876', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/O30NBBzG28', 'expanded_url': 'https://twitter.com/i/web/status/1328986635602636800', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [96, 119]}]}",en
1327657549374492674,2020-11-14 17:00:01,"World Diabetes Day 2020 is almost over! This year, we are thrilled to have celebrated the critical role of the nurs… https://t.co/YwyqBAHL0c",6,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YwyqBAHL0c', 'expanded_url': 'https://twitter.com/i/web/status/1327657549374492674', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1327642448646918144,2020-11-14 16:00:00,"It’s World Diabetes Day! The theme is Nurses Make The Difference. At #Ascensia, we recognize the crucial role that… https://t.co/Zem0pRAHRy",5,0,"{'hashtags': [{'text': 'Ascensia', 'indices': [69, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Zem0pRAHRy', 'expanded_url': 'https://twitter.com/i/web/status/1327642448646918144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1327612252984262656,2020-11-14 14:00:01,"It’s World Diabetes Day! The theme is Nurses Make The Difference. At #Ascensia, we recognize the crucial role that… https://t.co/adzD3D75bS",6,1,"{'hashtags': [{'text': 'Ascensia', 'indices': [69, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/adzD3D75bS', 'expanded_url': 'https://twitter.com/i/web/status/1327612252984262656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1327612249666629637,2020-11-14 14:00:00,¡Es el Día Mundial de la Diabetes! En #Ascensia reconocemos que las #enfermeras marcan la diferencia en la… https://t.co/2bTuFc4uPW,2,0,"{'hashtags': [{'text': 'Ascensia', 'indices': [38, 47]}, {'text': 'enfermeras', 'indices': [68, 79]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2bTuFc4uPW', 'expanded_url': 'https://twitter.com/i/web/status/1327612249666629637', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}",es
