id,created_at,text,favorites,retweets,entities,language
1351964904740237315,2021-01-20 18:48:46,@pauesparch 😉😉 Gràcies per venir!,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pauesparch', 'name': 'Pau Esparch', 'id': 129821684, 'id_str': '129821684', 'indices': [0, 11]}], 'urls': []}",ca
1351937493420142593,2021-01-20 16:59:50,RT @joffrelleal: Donar sang és una altra pel·lícula! #Crispetes @donarsang #DonarSang #Badalona https://t.co/jiEIdWBFCX,0,3,"{'hashtags': [{'text': 'Crispetes', 'indices': [53, 63]}, {'text': 'DonarSang', 'indices': [75, 85]}, {'text': 'Badalona', 'indices': [86, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'joffrelleal', 'name': 'Joffre Lleal', 'id': 205697123, 'id_str': '205697123', 'indices': [3, 15]}, {'screen_name': 'donarsang', 'name': 'Banc de Sang', 'id': 46067141, 'id_str': '46067141', 'indices': [64, 74]}], 'urls': [], 'media': [{'id': 1351936308797702144, 'id_str': '1351936308797702144', 'indices': [96, 119], 'media_url': 'http://pbs.twimg.com/media/EsMK6PTXAAA-qTl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMK6PTXAAA-qTl.jpg', 'url': 'https://t.co/jiEIdWBFCX', 'display_url': 'pic.twitter.com/jiEIdWBFCX', 'expanded_url': 'https://twitter.com/joffrelleal/status/1351936317341519873/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}}, 'source_status_id': 1351936317341519873, 'source_status_id_str': '1351936317341519873', 'source_user_id': 205697123, 'source_user_id_str': '205697123'}]}",ca
1351916695208783873,2021-01-20 15:37:12,"@jordisantamaria Hola! Normalment 15 dies des del final del tractament, però sempre dependrà del motiu pel qual l'h… https://t.co/EGKr8VMo7F",1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jordisantamaria', 'name': 'Jordi Santamaría Griera', 'id': 17649774, 'id_str': '17649774', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/EGKr8VMo7F', 'expanded_url': 'https://twitter.com/i/web/status/1351916695208783873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ca
1351916026355716096,2021-01-20 15:34:32,@Acelmamelero ❤,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Acelmamelero', 'name': 'Anna Celma Melero', 'id': 213595276, 'id_str': '213595276', 'indices': [0, 13]}], 'urls': []}",und
1351915993673715713,2021-01-20 15:34:24,"RT @Acelmamelero: Vale, m'he emocionat una miqueta ❤️
Si podeu, sumeu-vos a les donacions de sang i plasma de @donarsang 💉 https://t.co/VJN…",0,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Acelmamelero', 'name': 'Anna Celma Melero', 'id': 213595276, 'id_str': '213595276', 'indices': [3, 16]}, {'screen_name': 'donarsang', 'name': 'Banc de Sang', 'id': 46067141, 'id_str': '46067141', 'indices': [110, 120]}], 'urls': []}",ca
1351915948362637312,2021-01-20 15:34:14,@jplansr ❤❤,0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jplansr', 'name': 'Jordi Plans', 'id': 764410400075030528, 'id_str': '764410400075030528', 'indices': [0, 8]}], 'urls': []}",und
1351915905287122946,2021-01-20 15:34:03,"RT @jplansr: Saber que el que fas té una utilitat i ajuda a algú, sempre és una satisfacció! 
Gràcies @donarsang ! https://t.co/sTDZBN6vZY",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jplansr', 'name': 'Jordi Plans', 'id': 764410400075030528, 'id_str': '764410400075030528', 'indices': [3, 11]}, {'screen_name': 'donarsang', 'name': 'Banc de Sang', 'id': 46067141, 'id_str': '46067141', 'indices': [102, 112]}], 'urls': [], 'media': [{'id': 1351826226869121026, 'id_str': '1351826226869121026', 'indices': [115, 138], 'media_url': 'http://pbs.twimg.com/media/EsKmyoKXMAIJpqi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKmyoKXMAIJpqi.jpg', 'url': 'https://t.co/sTDZBN6vZY', 'display_url': 'pic.twitter.com/sTDZBN6vZY', 'expanded_url': 'https://twitter.com/jplansr/status/1351826232137150465/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 750, 'h': 750, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 750, 'h': 750, 'resize': 'fit'}}, 'source_status_id': 1351826232137150465, 'source_status_id_str': '1351826232137150465', 'source_user_id': 764410400075030528, 'source_user_id_str': '764410400075030528'}]}",ca
1351915855093899267,2021-01-20 15:33:51,"RT @sherreracat: Aquells missatges que alegren un dimecres grisot. Contenta de @donarsang, ser un granet de sorra i ajudar algú a posar-se…",0,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sherreracat', 'name': 'Sònia Herrera 🎗', 'id': 863418830, 'id_str': '863418830', 'indices': [3, 15]}, {'screen_name': 'donarsang', 'name': 'Banc de Sang', 'id': 46067141, 'id_str': '46067141', 'indices': [79, 89]}], 'urls': []}",ca
1351915827558297600,2021-01-20 15:33:45,RT @CSdMaresme: Has superat la #Covid19 ? Saps que el teu plasma pot ajudar a superar la malaltia a altres persones? Ara pots donar plasma…,0,9,"{'hashtags': [{'text': 'Covid19', 'indices': [31, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CSdMaresme', 'name': 'Consorci Sanitari del Maresme', 'id': 1194531408125005824, 'id_str': '1194531408125005824', 'indices': [3, 14]}], 'urls': []}",ca
1351915797292187650,2021-01-20 15:33:38,"RT @icscat: #Sabiesque Catalunya necessita 40.000 donacions de plasma 🧫 cada any? Ara, amb la #COVID19🦠 és més necessari que mai! Per donar…",0,8,"{'hashtags': [{'text': 'Sabiesque', 'indices': [12, 22]}, {'text': 'COVID19', 'indices': [94, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'icscat', 'name': 'ICS. Generalitat', 'id': 188685897, 'id_str': '188685897', 'indices': [3, 10]}], 'urls': []}",ca
