id,created_at,text,favorites,retweets,entities,language
1351971263695171584,2021-01-20 19:14:02,"Staged Approach to Autologous #BreastReconstruction in the Ptotic Breast
A Comparative Study.… https://t.co/OWpO4WRxqm",0,1,"{'hashtags': [{'text': 'BreastReconstruction', 'indices': [30, 51]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OWpO4WRxqm', 'expanded_url': 'https://twitter.com/i/web/status/1351971263695171584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [95, 118]}]}",en
1351954907524423686,2021-01-20 18:09:02,Perioperative Morbidity and Mortality of #COVID19 Patients. https://t.co/okbxg6nsYh via @AnnalsofSurgery https://t.co/n6qaruMsQX,1,0,"{'hashtags': [{'text': 'COVID19', 'indices': [41, 49]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AnnalsofSurgery', 'name': 'Annals of Surgery', 'id': 402274600, 'id_str': '402274600', 'indices': [88, 104]}], 'urls': [{'url': 'https://t.co/okbxg6nsYh', 'expanded_url': 'https://wb.md/35YouT5', 'display_url': 'wb.md/35YouT5', 'indices': [60, 83]}], 'media': [{'id': 1351954906261970950, 'id_str': '1351954906261970950', 'indices': [105, 128], 'media_url': 'http://pbs.twimg.com/media/EsMb0wQXYAYez-4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMb0wQXYAYez-4.jpg', 'url': 'https://t.co/n6qaruMsQX', 'display_url': 'pic.twitter.com/n6qaruMsQX', 'expanded_url': 'https://twitter.com/drchrysopoulo/status/1351954907524423686/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 200, 'h': 151, 'resize': 'fit'}, 'medium': {'w': 200, 'h': 151, 'resize': 'fit'}, 'large': {'w': 200, 'h': 151, 'resize': 'fit'}}}]}",en
1351928730369863680,2021-01-20 16:25:01,RT @DiepFlapBreast: How many surgeries should patients interested in #BreastReconstruction prepare for to achieve optimal results?  Here's…,0,0,"{'hashtags': [{'text': 'BreastReconstruction', 'indices': [69, 90]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DiepFlapBreast', 'name': 'PRMA Plastic Surgery', 'id': 372572406, 'id_str': '372572406', 'indices': [3, 18]}], 'urls': []}",en
1351896264909217793,2021-01-20 14:16:01,RT @sebastorresmd: “Systematic review and meta-analysis of immediate versus delayed autol... https://t.co/9JkOQPybAl,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sebastorresmd', 'name': 'Sebastian Torres, MD', 'id': 119755052, 'id_str': '119755052', 'indices': [3, 17]}], 'urls': [{'url': 'https://t.co/9JkOQPybAl', 'expanded_url': 'https://www.sciencedirect.com/science/article/pii/S1748681520306446', 'display_url': 'sciencedirect.com/science/articl…', 'indices': [93, 116]}]}",en
1351698966061182979,2021-01-20 01:12:01,"RT @BreastAdvocate: 5 Things You Should Know Before Having #BreastReconstruction Surgery
 https://t.co/ITsXTS1C7a

#YourTreatmentYourVoice…",0,6,"{'hashtags': [{'text': 'BreastReconstruction', 'indices': [59, 80]}, {'text': 'YourTreatmentYourVoice', 'indices': [115, 138]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BreastAdvocate', 'name': 'Breast Advocate', 'id': 3281500212, 'id_str': '3281500212', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/ITsXTS1C7a', 'expanded_url': 'https://bit.ly/2Gi5HZe', 'display_url': 'bit.ly/2Gi5HZe', 'indices': [90, 113]}]}",en
1351670276128448513,2021-01-19 23:18:01,Implants can provide great #BreastReconstruction results but they are not the only option. Most women are also cand… https://t.co/uKFQGf3RRs,13,3,"{'hashtags': [{'text': 'BreastReconstruction', 'indices': [27, 48]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uKFQGf3RRs', 'expanded_url': 'https://twitter.com/i/web/status/1351670276128448513', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351637306491469829,2021-01-19 21:07:00,RT @6state: A valid fear for women having #BreastReconstruction using your own tissue: flap failure. And why wouldn't it be? But tools in #…,0,6,"{'hashtags': [{'text': 'BreastReconstruction', 'indices': [42, 63]}], 'symbols': [], 'user_mentions': [{'screen_name': '6state', 'name': 'Terri Coutee', 'id': 339171152, 'id_str': '339171152', 'indices': [3, 10]}], 'urls': []}",en
1351307885544951810,2021-01-18 23:18:00,RT @BreastAdvocate: Catch the replay of a great discussion on wound management after #BreastCancer surgery with DIEP C Foundation founder @…,0,3,"{'hashtags': [{'text': 'BreastCancer', 'indices': [85, 98]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BreastAdvocate', 'name': 'Breast Advocate', 'id': 3281500212, 'id_str': '3281500212', 'indices': [3, 18]}], 'urls': []}",en
1351274921645776898,2021-01-18 21:07:01,RT @power4patients: What Should You Know About the Role of Surgery in #BreastCancer Treatment? https://t.co/78GLmPBnPs #bcsm https://t.co/s…,0,5,"{'hashtags': [{'text': 'BreastCancer', 'indices': [70, 83]}, {'text': 'bcsm', 'indices': [119, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'power4patients', 'name': 'Patient Empowerment Network', 'id': 2291053021, 'id_str': '2291053021', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/78GLmPBnPs', 'expanded_url': 'https://buff.ly/35Uxqcu', 'display_url': 'buff.ly/35Uxqcu', 'indices': [95, 118]}]}",en
1351252328339410947,2021-01-18 19:37:14,"RT @iBreastBook: Join us for the free @iBreastBook #webinar on Managing the axilla: Less is More, great speakers including @DrJDietz @KateH…",0,18,"{'hashtags': [{'text': 'webinar', 'indices': [51, 59]}], 'symbols': [], 'user_mentions': [{'screen_name': 'iBreastBook', 'name': 'iBreastBook', 'id': 2417816556, 'id_str': '2417816556', 'indices': [3, 15]}, {'screen_name': 'iBreastBook', 'name': 'iBreastBook', 'id': 2417816556, 'id_str': '2417816556', 'indices': [38, 50]}, {'screen_name': 'DrJDietz', 'name': 'JillDietz', 'id': 2822854877, 'id_str': '2822854877', 'indices': [123, 132]}], 'urls': []}",en
