id,created_at,text,favorites,retweets,entities,language
1351694120830439424,2021-01-20 00:52:46,"RT @theNASciences: Allon Klein of @Harvard and #NASmember Aviv Regev of @genentech @broadinstitute @HHMInews, are the inaugural James Prize…",0,21,"{'hashtags': [{'text': 'NASmember', 'indices': [47, 57]}], 'symbols': [], 'user_mentions': [{'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [3, 17]}, {'screen_name': 'Harvard', 'name': 'Harvard University', 'id': 39585367, 'id_str': '39585367', 'indices': [34, 42]}, {'screen_name': 'genentech', 'name': 'Genentech', 'id': 16150688, 'id_str': '16150688', 'indices': [72, 82]}, {'screen_name': 'broadinstitute', 'name': 'Broad Institute', 'id': 35306978, 'id_str': '35306978', 'indices': [83, 98]}, {'screen_name': 'HHMINEWS', 'name': 'HHMI NEWS', 'id': 43199901, 'id_str': '43199901', 'indices': [99, 108]}], 'urls': []}",en
1350223565870665728,2021-01-15 23:29:18,"RT @NatureComms: Nature Communications  @NatureComms
Elena Ferri and coworkers @genentech identify and characteirze ATP-competitive IRE1 RN…",0,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NatureComms', 'name': 'Nature Communications', 'id': 206255645, 'id_str': '206255645', 'indices': [3, 15]}, {'screen_name': 'NatureComms', 'name': 'Nature Communications', 'id': 206255645, 'id_str': '206255645', 'indices': [40, 52]}, {'screen_name': 'genentech', 'name': 'Genentech', 'id': 16150688, 'id_str': '16150688', 'indices': [79, 89]}], 'urls': []}",en
1350170927271706630,2021-01-15 20:00:08,"For 10+ years, we’ve helped local students get excited about science through our onsite mentorship program, Gene Ac… https://t.co/fGANlzUTOr",10,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fGANlzUTOr', 'expanded_url': 'https://twitter.com/i/web/status/1350170927271706630', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350125639173595138,2021-01-15 17:00:11,"Pandemic-era innovations have helped us prioritize business-critical tasks, identify ways to ramp up our manufactur… https://t.co/r2KvbDlNPZ",1,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/r2KvbDlNPZ', 'expanded_url': 'https://twitter.com/i/web/status/1350125639173595138', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349789753529434112,2021-01-14 18:45:29,"RT @Invitae: We're proud to kick off a new project with @BMSNews, @JanssenGlobal, @Novartis and @Genentech to help advance patient care for…",0,7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Invitae', 'name': 'Invitae', 'id': 476238744, 'id_str': '476238744', 'indices': [3, 11]}, {'screen_name': 'bmsnews', 'name': 'Bristol Myers Squibb', 'id': 34010976, 'id_str': '34010976', 'indices': [56, 64]}, {'screen_name': 'JanssenGlobal', 'name': 'Janssen Global', 'id': 2474345197, 'id_str': '2474345197', 'indices': [66, 80]}, {'screen_name': 'Novartis', 'name': 'Novartis', 'id': 17226612, 'id_str': '17226612', 'indices': [82, 91]}, {'screen_name': 'genentech', 'name': 'Genentech', 'id': 16150688, 'id_str': '16150688', 'indices': [96, 106]}], 'urls': []}",en
1349498990044340229,2021-01-13 23:30:06,"With the help of virtual technology, our clinical trials are being designed, approved and enrolled faster than ever… https://t.co/f48BoiL4OD",9,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f48BoiL4OD', 'expanded_url': 'https://twitter.com/i/web/status/1349498990044340229', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349122454627602433,2021-01-12 22:33:53,We know those guys! https://t.co/cvCRk4Pv8a,43,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cvCRk4Pv8a', 'expanded_url': 'https://twitter.com/matthewherper/status/1349090610595192833', 'display_url': 'twitter.com/matthewherper/…', 'indices': [20, 43]}]}",en
1348774213713354754,2021-01-11 23:30:06,Strong partnerships have always been a cornerstone of our work and have resulted in the development of about half o… https://t.co/oTQIXeWu1t,48,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oTQIXeWu1t', 'expanded_url': 'https://twitter.com/i/web/status/1348774213713354754', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348728909882392580,2021-01-11 20:30:04,We anticipate that new ways of working will be carried into the post-pandemic world. Learn how we’re applying lesso… https://t.co/FP6sZLcp0V,6,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FP6sZLcp0V', 'expanded_url': 'https://twitter.com/i/web/status/1348728909882392580', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346879222724354048,2021-01-06 18:00:05,ICYMI: Our investigational cancer immunotherapy was the first anti-TIGIT medicine to be granted Breakthrough Therap… https://t.co/buVlAGwOaD,6,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/buVlAGwOaD', 'expanded_url': 'https://twitter.com/i/web/status/1346879222724354048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346876483936030720,2021-01-06 17:49:12,"Now is the time to mitigate a potential “twindemic” of #COVID19 and #flu. In response, we’re ensuring the availabil… https://t.co/PbpE5TWaVx",8,4,"{'hashtags': [{'text': 'COVID19', 'indices': [55, 63]}, {'text': 'flu', 'indices': [68, 72]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PbpE5TWaVx', 'expanded_url': 'https://twitter.com/i/web/status/1346876483936030720', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346336296239652866,2021-01-05 06:02:41,#Breaking: @US_FDA granted Breakthrough Therapy Designation to our novel anti-TIGIT cancer #immunotherapy for certa… https://t.co/eNbcQ5O92L,37,6,"{'hashtags': [{'text': 'Breaking', 'indices': [0, 9]}, {'text': 'immunotherapy', 'indices': [91, 105]}], 'symbols': [], 'user_mentions': [{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [11, 18]}], 'urls': [{'url': 'https://t.co/eNbcQ5O92L', 'expanded_url': 'https://twitter.com/i/web/status/1346336296239652866', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341453415042334720,2020-12-22 18:39:51,"Vishva Dixit, our VP of Physiological Chemistry, has been elected as an @aaas Fellow for his work in illuminating m… https://t.co/U4hwgmmz4z",22,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aaas', 'name': 'AAAS', 'id': 17292623, 'id_str': '17292623', 'indices': [72, 77]}], 'urls': [{'url': 'https://t.co/U4hwgmmz4z', 'expanded_url': 'https://twitter.com/i/web/status/1341453415042334720', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341413209690009607,2020-12-22 16:00:06,"ICYMI: In a clinical study of patients with diabetic eye disease, our investigational medicine showed positive Phas… https://t.co/hdc70yES7E",7,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hdc70yES7E', 'expanded_url': 'https://twitter.com/i/web/status/1341413209690009607', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1341133840480260096,2020-12-21 21:29:59,"Wendy Young, our SVP of Small Molecule Drug Discovery, recently received the @WakeForest @WakeChemistry Distinguish… https://t.co/cRFQMecbu8",10,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WakeForest', 'name': 'Wake Forest University', 'id': 34685994, 'id_str': '34685994', 'indices': [77, 88]}, {'screen_name': 'WakeChemistry', 'name': 'WFU Chemistry', 'id': 3063256325, 'id_str': '3063256325', 'indices': [89, 103]}], 'urls': [{'url': 'https://t.co/cRFQMecbu8', 'expanded_url': 'https://twitter.com/i/web/status/1341133840480260096', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1340900411742425091,2020-12-21 06:02:25,#Breaking: Today we announced our investigational bispecific antibody showed positive Phase III results in diabetic… https://t.co/m4TEMegyPO,31,7,"{'hashtags': [{'text': 'Breaking', 'indices': [0, 9]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m4TEMegyPO', 'expanded_url': 'https://twitter.com/i/web/status/1340900411742425091', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339981864845467649,2020-12-18 17:12:26,"The Most Favored Nation rule will hurt patients and providers. We, along with @PhRMA, @IAmBiotech, @CALifeSciences… https://t.co/3KfnuMyWzY",7,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhRMA', 'name': 'PhRMA', 'id': 116748080, 'id_str': '116748080', 'indices': [78, 84]}, {'screen_name': 'IAmBiotech', 'name': 'I Am Biotech', 'id': 19019298, 'id_str': '19019298', 'indices': [86, 97]}, {'screen_name': 'CALifeSciences', 'name': 'California Life Sciences Association (CLSA)', 'id': 20531154, 'id_str': '20531154', 'indices': [99, 114]}], 'urls': [{'url': 'https://t.co/3KfnuMyWzY', 'expanded_url': 'https://twitter.com/i/web/status/1339981864845467649', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1339675254726119424,2020-12-17 20:54:05,Congrats to our very own Jacquelyn Moore and Tamicka James who will both be serving on the @HBAnet's 2021 Board of… https://t.co/ZKSvsMf0hz,14,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HBAnet', 'name': 'HBAnet', 'id': 33982855, 'id_str': '33982855', 'indices': [91, 98]}], 'urls': [{'url': 'https://t.co/ZKSvsMf0hz', 'expanded_url': 'https://twitter.com/i/web/status/1339675254726119424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1339365019113308160,2020-12-17 00:21:19,"#COVID19 has exposed deep disparities in the healthcare system, which have harmed communities of color at dispropor… https://t.co/xO4seboojH",8,3,"{'hashtags': [{'text': 'COVID19', 'indices': [0, 8]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xO4seboojH', 'expanded_url': 'https://twitter.com/i/web/status/1339365019113308160', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338997289449349121,2020-12-16 00:00:05,ICYMI: The FDA approved a shorter infusion time for our #multiplesclerosis medicine. Learn more: https://t.co/X39LSqw9vx,13,1,"{'hashtags': [{'text': 'multiplesclerosis', 'indices': [56, 74]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/X39LSqw9vx', 'expanded_url': 'https://bit.ly/3afc0cT', 'display_url': 'bit.ly/3afc0cT', 'indices': [97, 120]}]}",en
1338588650418782208,2020-12-14 20:56:18,#Breaking: @UCSF announced the initiation of a 3-year study to address trauma and achieve health equity for childre… https://t.co/3VpzgIleFb,14,4,"{'hashtags': [{'text': 'Breaking', 'indices': [0, 9]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UCSF', 'name': 'UC San Francisco', 'id': 15458277, 'id_str': '15458277', 'indices': [11, 16]}], 'urls': [{'url': 'https://t.co/3VpzgIleFb', 'expanded_url': 'https://twitter.com/i/web/status/1338588650418782208', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338579027330666497,2020-12-14 20:18:04,#Breaking @US_FDA approves new 2-hour infusion time for the only medicine approved for Relapsing-remitting… https://t.co/2mtvkqUfZG,16,2,"{'hashtags': [{'text': 'Breaking', 'indices': [0, 9]}], 'symbols': [], 'user_mentions': [{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [10, 17]}], 'urls': [{'url': 'https://t.co/2mtvkqUfZG', 'expanded_url': 'https://twitter.com/i/web/status/1338579027330666497', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}",en
