id,created_at,text,favorites,retweets,entities,language
1349037935803457542,2021-01-12 16:58:02,"Live from #JPM2021
Our CDO Arnaud Robert presented Sanofi’s new digital roadmap to promote the digital priorities,… https://t.co/5W7Rvfe9L7",7,1,"{'hashtags': [{'text': 'JPM2021', 'indices': [10, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5W7Rvfe9L7', 'expanded_url': 'https://twitter.com/i/web/status/1349037935803457542', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349037140806676485,2021-01-12 16:54:52,"Live from #JPM2021
“We delivered on our efficiency goals for 2020, and remain focused in 2021” - Sanofi CEO Paul Hu… https://t.co/9vXHvpFrbC",8,2,"{'hashtags': [{'text': 'JPM2021', 'indices': [10, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9vXHvpFrbC', 'expanded_url': 'https://twitter.com/i/web/status/1349037140806676485', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349036807426596865,2021-01-12 16:53:33,"Live from #JPM2021
Our CEO Paul Hudson expanded on Sanofi’s 2020 achievements in R&amp;D: “We continue to strengthen ou… https://t.co/5aPHkACwbd",4,0,"{'hashtags': [{'text': 'JPM2021', 'indices': [10, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5aPHkACwbd', 'expanded_url': 'https://twitter.com/i/web/status/1349036807426596865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1349036065315823616,2021-01-12 16:50:36,"Live from #JPM2021
“Sanofi vaccinated a record number of people during flu season 2020,” confirmed Paul Hudson, our… https://t.co/805nKb4may",3,0,"{'hashtags': [{'text': 'JPM2021', 'indices': [10, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/805nKb4may', 'expanded_url': 'https://twitter.com/i/web/status/1349036065315823616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349035573932150793,2021-01-12 16:48:39,"Live from #JPM2021
CEO Paul Hudson highlighted the contribution to growth of Sanofi’s innovative medicine for #T2I… https://t.co/P2H9Z6P4nB",1,0,"{'hashtags': [{'text': 'JPM2021', 'indices': [10, 18]}, {'text': 'T2I', 'indices': [110, 114]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/P2H9Z6P4nB', 'expanded_url': 'https://twitter.com/i/web/status/1349035573932150793', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1349035338115805187,2021-01-12 16:47:43,"Today at #JPM2021, our CEO Paul Hudson revealed that “2020 was a successful year for our transformation, despite th… https://t.co/PwFPgbDSyB",28,10,"{'hashtags': [{'text': 'JPM2021', 'indices': [9, 17]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PwFPgbDSyB', 'expanded_url': 'https://twitter.com/i/web/status/1349035338115805187', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348665803932127234,2021-01-11 16:19:19,"As #JPMWeek kicks off, Frank Nestle, Chief Scientific Officer, and Dietmar Berger, Chief Medical Officer, share imp… https://t.co/dw6Qhy3qcY",19,5,"{'hashtags': [{'text': 'JPMWeek', 'indices': [3, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dw6Qhy3qcY', 'expanded_url': 'https://twitter.com/i/web/status/1348665803932127234', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1348535486772621312,2021-01-11 07:41:29,"Press release: we intend to acquire @KymabLtd, a clinical-stage biopharma developing fully human monoclonal antibod… https://t.co/1HIDkmq1YF",51,16,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KymabLtd', 'name': 'Kymab Ltd', 'id': 4834783209, 'id_str': '4834783209', 'indices': [36, 45]}], 'urls': [{'url': 'https://t.co/1HIDkmq1YF', 'expanded_url': 'https://twitter.com/i/web/status/1348535486772621312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347527311923552257,2021-01-08 12:55:21,"At #JPM2021 next week, our CEO Paul Hudson and our CDO Arnaud Robert will host an Investor Meeting to share the pro… https://t.co/b6CRru99Xt",29,9,"{'hashtags': [{'text': 'JPM2021', 'indices': [3, 11]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/b6CRru99Xt', 'expanded_url': 'https://twitter.com/i/web/status/1347527311923552257', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346411096975028224,2021-01-05 10:59:55,#Asthma research often focuses on improving the amount of air patients can blow and reducing the number of flare-up… https://t.co/JCF9crYoD0,16,9,"{'hashtags': [{'text': 'Asthma', 'indices': [0, 7]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JCF9crYoD0', 'expanded_url': 'https://twitter.com/i/web/status/1346411096975028224', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
