id,created_at,text,favorites,retweets,entities,language
1351814978316034048,2021-01-20 08:53:00,"पीएम @NarendraModi जी के नेतृत्व में PMAY-G से अभी तक 1.26 करोड़ घर बन चुके हैं।

बिना किसी भेदभाव के इस योजना से… https://t.co/kOjqZ7d8rW",6891,1293,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [5, 18]}], 'urls': [{'url': 'https://t.co/kOjqZ7d8rW', 'expanded_url': 'https://twitter.com/i/web/status/1351814978316034048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1351814823407804420,2021-01-20 08:52:24,"PMAY गरीबों को सम्मानित जीवन देने के लिए मोदी जी का एक संकल्प है।

आज @narendramodi जी ने PMAY-G से उत्तर प्रदेश के… https://t.co/V5qVx4ibCP",4619,993,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [70, 83]}], 'urls': [{'url': 'https://t.co/V5qVx4ibCP', 'expanded_url': 'https://twitter.com/i/web/status/1351814823407804420', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351794366373793792,2021-01-20 07:31:06,পশ্চিমবঙ্গের অন্তর্গত জলপাইগুড়িতে মর্মান্তিক সড়ক দুর্ঘটনার খবর আমাকে গভীরভাবে মর্মাহত করেছে। এই দুর্ঘটনায় যারা… https://t.co/wC3EJ5MyZ8,2899,1336,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wC3EJ5MyZ8', 'expanded_url': 'https://twitter.com/i/web/status/1351794366373793792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",bn
1351794310300094466,2021-01-20 07:30:53,Deeply anguished to learn about the tragic road accident in West Bengal’s Jalpaiguri. My deepest condolences are wi… https://t.co/HISdXhgLJJ,6753,1079,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HISdXhgLJJ', 'expanded_url': 'https://twitter.com/i/web/status/1351794310300094466', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351790916495765505,2021-01-20 07:17:24,"RT @RajKSinghIndia: The surging demand also shows the success of Subhagya, under which we gave all homes including the poor and the under p…",0,393,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RajKSinghIndia', 'name': 'R. K. Singh', 'id': 905771521305526272, 'id_str': '905771521305526272', 'indices': [3, 18]}], 'urls': []}",en
1351790910875422720,2021-01-20 07:17:22,RT @RajKSinghIndia: The demand (and supply) of power in January (upto 19.01.2021) has grown by 8% as compared to the corresponding period l…,0,387,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RajKSinghIndia', 'name': 'R. K. Singh', 'id': 905771521305526272, 'id_str': '905771521305526272', 'indices': [3, 18]}], 'urls': []}",en
1351790902147104768,2021-01-20 07:17:20,"RT @RajKSinghIndia: The peak demand for power crossed 1,85,820 Megawatt at 9:35 AM on today. This is the highest ever, a record.",0,1190,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RajKSinghIndia', 'name': 'R. K. Singh', 'id': 905771521305526272, 'id_str': '905771521305526272', 'indices': [3, 18]}], 'urls': []}",en
1351785427124928514,2021-01-20 06:55:35,RT @narendramodi: Ensuring ‘Housing for All’ in UP. #GraminAwaasSabkePass https://t.co/WrIPFXpW0G,0,3863,"{'hashtags': [{'text': 'GraminAwaasSabkePass', 'indices': [52, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [3, 16]}], 'urls': [{'url': 'https://t.co/WrIPFXpW0G', 'expanded_url': 'https://www.pscp.tv/w/ctZ30DMyMjExNTJ8MXJtR1B6RFhsWW54TqG-OiJA7J2LAb-imI4gAejlVx1aMl46ifsi4SOdZDVU', 'display_url': 'pscp.tv/w/ctZ30DMyMjEx…', 'indices': [74, 97]}]}",en
1351746218511069190,2021-01-20 04:19:47,खालसा पंथ के संस्थापक दशम गुरु सरबंसदानी गुरु गोबिंद सिंह जी ने एक ओर धर्म और मानवता की रक्षा के लिए अपना सर्वस्व अ… https://t.co/q3kdTtgrRW,10989,2016,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/q3kdTtgrRW', 'expanded_url': 'https://twitter.com/i/web/status/1351746218511069190', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351523555607867395,2021-01-19 13:35:00,विश्व का सबसे बड़ा टीकाकरण अभियान प्रधानमंत्री श्री @narendramodi जी के नेतृत्व में शुरू हुआ है। कोरोना पर सम्पूर्ण… https://t.co/AacMBMNKgA,6894,1673,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [52, 65]}], 'urls': [{'url': 'https://t.co/AacMBMNKgA', 'expanded_url': 'https://twitter.com/i/web/status/1351523555607867395', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
