id,created_at,text,favorites,retweets,entities,language
1351175958229880843,2021-01-18 14:33:46,"On #MLKDay, we celebrate his life but we’re also called to live out his values through service of our own. Here are… https://t.co/SfjRt4rkND",32678,4495,"{'hashtags': [{'text': 'MLKDay', 'indices': [3, 10]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SfjRt4rkND', 'expanded_url': 'https://twitter.com/i/web/status/1351175958229880843', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351175956992548870,2021-01-18 14:33:46,"If anyone had a right to question whether our democracy was worth redeeming, it was Dr. Martin Luther King, Jr. Bec… https://t.co/c2bmTz1D4a",391602,59441,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/c2bmTz1D4a', 'expanded_url': 'https://twitter.com/i/web/status/1351175956992548870', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350805241038561282,2021-01-17 14:00:40,"Happy birthday to my love, my partner, and my best friend. Every moment with you is a blessing. Love you, Miche. https://t.co/BrtH0vwKk4",1874512,109186,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1350805235971842049, 'id_str': '1350805235971842049', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/Er8GNIrW4AEV27H.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Er8GNIrW4AEV27H.jpg', 'url': 'https://t.co/BrtH0vwKk4', 'display_url': 'pic.twitter.com/BrtH0vwKk4', 'expanded_url': 'https://twitter.com/BarackObama/status/1350805241038561282/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 479, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1444, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 846, 'resize': 'fit'}}}]}",en
1347608259822297088,2021-01-08 18:17:01,"And here’s a look back at the response to last summer’s Black Lives Matter protests.

https://t.co/IYTfawbWe5",76825,13349,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IYTfawbWe5', 'expanded_url': 'https://www.cnn.com/2021/01/07/us/police-response-black-lives-matter-protest-us-capitol/index.html', 'display_url': 'cnn.com/2021/01/07/us/…', 'indices': [86, 109]}]}",en
1347608258350116865,2021-01-08 18:17:00,"And here’s one that is more anecdotal.

https://t.co/Qzpw8mCi39",68777,11298,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Qzpw8mCi39', 'expanded_url': 'https://www.newyorker.com/news/our-columnists/the-capitol-invaders-enjoyed-the-privilege-of-not-being-taken-seriously', 'display_url': 'newyorker.com/news/our-colum…', 'indices': [40, 63]}]}",en
1347608257049800707,2021-01-08 18:17:00,For those who are wondering why so much attention has been focused on the response of the Capitol Police to the Tru… https://t.co/CUu7uShl8n,157780,40617,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CUu7uShl8n', 'expanded_url': 'https://twitter.com/i/web/status/1347608257049800707', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1347286675597238274,2021-01-07 20:59:09,"RT @MichelleObama: Like all of you, I’ve been feeling so many emotions since yesterday. I tried to put my thoughts down here: https://t.co/…",0,47572,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichelleObama', 'name': 'Michelle Obama', 'id': 409486555, 'id_str': '409486555', 'indices': [3, 17]}], 'urls': []}",en
1346983894298595330,2021-01-07 00:56:00,Here’s my statement on today’s violence at the Capitol. https://t.co/jLCKo2D1Ya,931227,172968,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1346983472338972672, 'id_str': '1346983472338972672', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/ErFyVNsWMAA1_mb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ErFyVNsWMAA1_mb.jpg', 'url': 'https://t.co/jLCKo2D1Ya', 'display_url': 'pic.twitter.com/jLCKo2D1Ya', 'expanded_url': 'https://twitter.com/BarackObama/status/1346983894298595330/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 600, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 640, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}}}]}",en
1346883245447778306,2021-01-06 18:16:04,"My friend John Lewis is surely smiling down on his beloved Georgia this morning, as people across the state carried… https://t.co/oPAIUKHr4M",212276,16746,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/oPAIUKHr4M', 'expanded_url': 'https://twitter.com/i/web/status/1346883245447778306', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346586029831106562,2021-01-05 22:35:02,"Georgia voters—If you're in line before the polls close at 7 pm, stay there. You have the right to vote, no matter… https://t.co/RbCL9RPj3o",329330,35142,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RbCL9RPj3o', 'expanded_url': 'https://twitter.com/i/web/status/1346586029831106562', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
