id,created_at,text,favorites,retweets,entities,language
1351168717304913920,2021-01-18 14:05:00,"On this MLK Day, it is clearer than ever that progress is possible, but that we have many more miles to march befor… https://t.co/iWqytYk75M",11733,1357,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iWqytYk75M', 'expanded_url': 'https://twitter.com/i/web/status/1351168717304913920', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350921302417305608,2021-01-17 21:41:52,"Happy birthday Betty White! You're a national treasure. Hillary and I hope you have a good one and wish you many, m… https://t.co/sdtvDED8Lt",50849,3498,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sdtvDED8Lt', 'expanded_url': 'https://twitter.com/i/web/status/1350921302417305608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350243803714772992,2021-01-16 00:49:43,"As the longest-serving state senate leader in Maryland and US history, my friend Mike Miller had an amazing ability… https://t.co/lKwHKP8NFo",7732,545,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lKwHKP8NFo', 'expanded_url': 'https://twitter.com/i/web/status/1350243803714772992', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1349064447688634368,2021-01-12 18:43:23,My heart is with the people of Haiti on this 11th anniversary of the devastating earthquake—all those who lost love… https://t.co/BWBhtB6Ygi,4077,397,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BWBhtB6Ygi', 'expanded_url': 'https://twitter.com/i/web/status/1349064447688634368', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346977710233436162,2021-01-07 00:31:26,"If that’s who we really are, we must reject today’s violence, turn the page, and move forward together—honoring our… https://t.co/qJe4hHaoft",24324,2290,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qJe4hHaoft', 'expanded_url': 'https://twitter.com/i/web/status/1346977710233436162', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346977709075947522,2021-01-07 00:31:26,"I have always believed that America is made up of good, decent people. I still do.",23251,1986,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1346977708107042816,2021-01-07 00:31:25,"The match was lit by Donald Trump and his most ardent enablers, including many in Congress, to overturn the results… https://t.co/NCI93B1eO1",26288,3840,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NCI93B1eO1', 'expanded_url': 'https://twitter.com/i/web/status/1346977708107042816', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346977706865516544,2021-01-07 00:31:25,"Today we faced an unprecedented assault on our Capitol, our Constitution, and our country.
 
The assault was fueled… https://t.co/sYWt2a73VD",134362,20232,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sYWt2a73VD', 'expanded_url': 'https://twitter.com/i/web/status/1346977706865516544', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346553263760560134,2021-01-05 20:24:50,"My thanks for a wonderful tribute to my friend Governor Bill Winter, what kind of a man he was, and what he stood f… https://t.co/xq50fLiTLe",2038,211,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xq50fLiTLe', 'expanded_url': 'https://twitter.com/i/web/status/1346553263760560134', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1340421046021877768,2020-12-19 22:17:35,"With the passing of Governor William F. Winter, Mississippi has lost one of its greatest champions of equality, rec… https://t.co/77HVofoRhd",1886,292,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/77HVofoRhd', 'expanded_url': 'https://twitter.com/i/web/status/1340421046021877768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339255978345328645,2020-12-16 17:08:02,"He was an excellent DNC Chair who helped our candidates win up and down the ballot, even in places that weren’t Dem… https://t.co/FTamTscWzt",1075,82,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FTamTscWzt', 'expanded_url': 'https://twitter.com/i/web/status/1339255978345328645', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339255976227123201,2020-12-16 17:08:01,Don Fowler was a good man with a sharp mind and a big heart whose life embodied his commitment to opportunity and i… https://t.co/XuXfxjwBem,1876,185,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XuXfxjwBem', 'expanded_url': 'https://twitter.com/i/web/status/1339255976227123201', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338599271059386371,2020-12-14 21:38:30,What an honor to cast one of New York’s 29 electoral votes in Albany today for President-elect Biden and Vice Presi… https://t.co/iJhevDTYBp,86650,4155,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iJhevDTYBp', 'expanded_url': 'https://twitter.com/i/web/status/1338599271059386371', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1338519115569508360,2020-12-14 16:20:00,"On the 25th anniversary of the Dayton Accords, we remember the lives lost during the conflict, and the courage of t… https://t.co/DEtDxu499v",2271,231,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DEtDxu499v', 'expanded_url': 'https://twitter.com/i/web/status/1338519115569508360', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
