id,created_at,text,favorites,retweets,entities,language
1351731172989050882,2021-01-20 03:20:00,"Tonight, in Washington, D.C. and across the nation, we came together to honor the over 400,000 Americans we’ve lost… https://t.co/q3gB1RJjvv",325119,32630,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/q3gB1RJjvv', 'expanded_url': 'https://twitter.com/i/web/status/1351731172989050882', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351711040933830659,2021-01-20 02:00:00,We don’t have a second to waste when it comes to tackling the crises we face as a nation. That’s why after being sw… https://t.co/eza8IKs9Pf,49295,4963,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eza8IKs9Pf', 'expanded_url': 'https://twitter.com/i/web/status/1351711040933830659', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351653131248041984,2021-01-19 22:09:53,"Join us for a national moment of unity and remembrance in honor of the 400,000 Americans we’ve lost due to COVID-19. https://t.co/0BW7AQLxUx",63536,8690,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0BW7AQLxUx', 'expanded_url': 'https://www.pscp.tv/w/ctX-sTFvUEVMQkJiT2xyS2R8MUx5eEJkYnlueUxHTs90CilAT2OvrTTWnX727oUIDzqbyDBsc7Z6cxIlEQ0L', 'display_url': 'pscp.tv/w/ctX-sTFvUEVM…', 'indices': [117, 140]}]}",en
1351630258114502656,2021-01-19 20:39:00,"Next stop: Washington, D.C. https://t.co/oW0C4LQVBf",498007,41662,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351629715229044736, 'id_str': '1351629715229044736', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351629715229044736/img/VgPi4p86xw2p9zJc.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351629715229044736/img/VgPi4p86xw2p9zJc.jpg', 'url': 'https://t.co/oW0C4LQVBf', 'display_url': 'pic.twitter.com/oW0C4LQVBf', 'expanded_url': 'https://twitter.com/JoeBiden/status/1351630258114502656/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 660, 'h': 660, 'resize': 'fit'}, 'large': {'w': 660, 'h': 660, 'resize': 'fit'}, 'medium': {'w': 660, 'h': 660, 'resize': 'fit'}}}]}",en
1351599720012021761,2021-01-19 18:37:39,I’m in Delaware for one final event before I head to Washington for tomorrow’s inauguration. Tune in. https://t.co/YnEMiqhhDE,87107,8104,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YnEMiqhhDE', 'expanded_url': 'https://www.pscp.tv/w/ctXM8zFvUEVMQkJiT2xyS2R8MXluS09Cek9MWXF4UvFObGnHKvWcNrSzjWTTmreVLyGj_9rM5RoM1EH581yR', 'display_url': 'pscp.tv/w/ctXM8zFvUEVM…', 'indices': [102, 125]}]}",en
1351593329054650376,2021-01-19 18:12:15,"RT @BidenInaugural: Only ONE day until we can call @JoeBiden and @KamalaHarris President and Vice President

You don’t want to miss out on…",0,20223,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BidenInaugural', 'name': 'Biden Inaugural Committee', 'id': 1333168873860984832, 'id_str': '1333168873860984832', 'indices': [3, 18]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [51, 60]}, {'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [65, 78]}], 'urls': []}",en
1351367275094310912,2021-01-19 03:14:00,"There’s no more fitting way to honor the legacy of Dr. Martin Luther King, Jr. than service. Thank you to… https://t.co/3L1zHkmEzR",53550,4710,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3L1zHkmEzR', 'expanded_url': 'https://twitter.com/i/web/status/1351367275094310912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}",en
1351333542547001344,2021-01-19 00:59:57,"As the National Day of Service comes to a close, we’re celebrating the legacy of Dr. Martin Luther King, Jr. with a… https://t.co/OJhFw2PiUE",30717,3926,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OJhFw2PiUE', 'expanded_url': 'https://twitter.com/i/web/status/1351333542547001344', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351265605840633858,2021-01-18 20:30:00,"Dr. Martin Luther King, Jr.’s words remind us that darkness cannot drive out darkness and hate cannot drive out hat… https://t.co/m3iRNj9Bzt",261200,29528,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/m3iRNj9Bzt', 'expanded_url': 'https://twitter.com/i/web/status/1351265605840633858', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351228360123318272,2021-01-18 18:02:00,Our Administration will lead with science and scientists — with a CDC and NIH that are free from political influenc… https://t.co/8I88LBVALq,171726,18525,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8I88LBVALq', 'expanded_url': 'https://twitter.com/i/web/status/1351228360123318272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
