id,created_at,text,favorites,retweets,entities,language
1351744129143889922,2021-01-20 04:11:29,"My abiding hope—my abiding prayer—is that we emerge from this ordeal with a new wisdom.

To cherish simple moments.… https://t.co/JFVnY1jr4d",92096,9038,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JFVnY1jr4d', 'expanded_url': 'https://twitter.com/i/web/status/1351744129143889922', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351725639603204097,2021-01-20 02:58:00,"Though we may be physically separated, we, the American people are united in spirit. https://t.co/s5v4KIjbSX",234061,17426,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351725622993809413, 'id_str': '1351725622993809413', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EsJLSthW8AU1p4O.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsJLSthW8AU1p4O.jpg', 'url': 'https://t.co/s5v4KIjbSX', 'display_url': 'pic.twitter.com/s5v4KIjbSX', 'expanded_url': 'https://twitter.com/KamalaHarris/status/1351725639603204097/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",en
1351700047612833796,2021-01-20 01:16:19,"This evening, as a nation in mourning, we pay tribute to the lives we have lost. https://t.co/u3MXNgDqnf",50508,5826,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351695727995609090, 'id_str': '1351695727995609090', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351695727995609090/img/mma_-BvWQxpR3guN.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351695727995609090/img/mma_-BvWQxpR3guN.jpg', 'url': 'https://t.co/u3MXNgDqnf', 'display_url': 'pic.twitter.com/u3MXNgDqnf', 'expanded_url': 'https://twitter.com/KamalaHarris/status/1351700047612833796/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351668988737159168,2021-01-19 23:12:54,"We gather together to pay tribute to the lives lost from COVID-19.

A grandmother or grandfather who was our whole… https://t.co/bIQGPXM4hi",72582,6650,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bIQGPXM4hi', 'expanded_url': 'https://twitter.com/i/web/status/1351668988737159168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351667037253345282,2021-01-19 23:05:09,"RT @BidenInaugural: Lori Marie Key is an American hero.

We are so thankful for her service as a COVID-19 nurse, and for her healing perfor…",0,2439,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BidenInaugural', 'name': 'Biden Inaugural Committee', 'id': 1333168873860984832, 'id_str': '1333168873860984832', 'indices': [3, 18]}], 'urls': []}",en
1351653131831001090,2021-01-19 22:09:53,"Tonight we join together with cities and towns across our country to take a moment to mourn the more than 400,000 A… https://t.co/Bo9CpC4h6S",19710,2595,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Bo9CpC4h6S', 'expanded_url': 'https://twitter.com/i/web/status/1351653131831001090', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351643588996829196,2021-01-19 21:31:58,I have a message for all the little girls and boys out there who dream of growing up to be superheroes: Superheroes… https://t.co/4gQppgUEtE,324753,40570,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4gQppgUEtE', 'expanded_url': 'https://twitter.com/i/web/status/1351643588996829196', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351625426804813825,2021-01-19 20:19:48,"Starting tomorrow, @JoeBiden and I will work to unify our country, tackle the challenges facing our nation, and ren… https://t.co/3gHyEYudkT",352569,25167,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [19, 28]}], 'urls': [{'url': 'https://t.co/3gHyEYudkT', 'expanded_url': 'https://twitter.com/i/web/status/1351625426804813825', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351600763739508743,2021-01-19 18:41:48,RT @JoeBiden: I’m in Delaware for one final event before I head to Washington for tomorrow’s inauguration. Tune in. https://t.co/YnEMiqhhDE,0,8109,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/YnEMiqhhDE', 'expanded_url': 'https://www.pscp.tv/w/ctXM8zFvUEVMQkJiT2xyS2R8MXluS09Cek9MWXF4UvFObGnHKvWcNrSzjWTTmreVLyGj_9rM5RoM1EH581yR', 'display_url': 'pscp.tv/w/ctXM8zFvUEVM…', 'indices': [116, 139]}]}",en
1351598518218219523,2021-01-19 18:32:52,"RT @BidenInaugural: Only ONE day until we can call @JoeBiden and @KamalaHarris President and Vice President

You don’t want to miss out on…",0,20230,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BidenInaugural', 'name': 'Biden Inaugural Committee', 'id': 1333168873860984832, 'id_str': '1333168873860984832', 'indices': [3, 18]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [51, 60]}, {'screen_name': 'KamalaHarris', 'name': 'Kamala Harris', 'id': 30354991, 'id_str': '30354991', 'indices': [65, 78]}], 'urls': []}",en
