id,created_at,text,favorites,retweets,entities,language
1351843475352903683,2021-01-20 10:46:15,"Jesús, después de la Última Cena, rezó por los suyos, «para que todos sean uno» (Jn 17,21). Esto significa que no b… https://t.co/UuHwKNMzbY",3670,769,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UuHwKNMzbY', 'expanded_url': 'https://twitter.com/i/web/status/1351843475352903683', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351532081122304000,2021-01-19 14:08:53,"Queridos hermanos Obispos y sacerdotes: los invito a seguir adelante, trabajando con gozo y decisión en su labor pa… https://t.co/xpoomsKr4Z",7760,1313,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xpoomsKr4Z', 'expanded_url': 'https://twitter.com/i/web/status/1351532081122304000', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351507197096816645,2021-01-19 12:30:00,"Jesús nos invita a permanecer unidos a Él para dar mucho fruto (Jn 15, 5-9). Permaneciendo en el Señor encontramos… https://t.co/FtoZDfCMt5",23014,4118,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FtoZDfCMt5', 'expanded_url': 'https://twitter.com/i/web/status/1351507197096816645', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",es
1351144811311468545,2021-01-18 12:30:00,Hoy comienza la Semana de Oración por la Unidad de los Cristianos. Este año el tema se basa en la exhortación de Je… https://t.co/v6lHuI4qtO,30643,5166,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/v6lHuI4qtO', 'expanded_url': 'https://twitter.com/i/web/status/1351144811311468545', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1350797520935542786,2021-01-17 13:30:00,"Recemos por nuestros hermanos de Sulawesi, en Indonesia, afectados por un fuerte terremoto. El Señor los consuele y… https://t.co/b5pUME5my7",24372,3580,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/b5pUME5my7', 'expanded_url': 'https://twitter.com/i/web/status/1350797520935542786', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1350767322709991424,2021-01-17 11:30:00,El proyecto que Dios tiene para cada uno de nosotros es siempre un plan de amor. Y la alegría más grande para cada… https://t.co/XBjyp3alMu,36490,6322,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XBjyp3alMu', 'expanded_url': 'https://twitter.com/i/web/status/1350767322709991424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",es
1350420034791890944,2021-01-16 12:30:00,"En la vida estamos siempre en camino. ¡Elijamos el camino de Dios! Descubriremos que no hay imprevistos, no hay cue… https://t.co/GInAaD82La",39132,6505,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GInAaD82La', 'expanded_url': 'https://twitter.com/i/web/status/1350420034791890944', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1350057645806288896,2021-01-15 12:30:00,"En cada gesto de servicio, en cada obra de #misericordia que realizamos, Dios se manifiesta y posa su mirada sobre el mundo.",32191,5523,"{'hashtags': [{'text': 'misericordia', 'indices': [43, 56]}], 'symbols': [], 'user_mentions': [], 'urls': []}",es
1349695257655574528,2021-01-14 12:30:00,Dios vence el mal del mundo haciéndose cargo de él. Ese es también el modo en que nosotros podemos levantar a los d… https://t.co/NXqsgTeF41,41009,7462,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NXqsgTeF41', 'expanded_url': 'https://twitter.com/i/web/status/1349695257655574528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1349333378856853504,2021-01-13 12:32:01,"En los momentos difíciles y oscuros, encontremos la valentía de decir: “¡Bendito eres Tú, oh Señor!”. Alabemos al S… https://t.co/G1iH6R1Eae",36150,6365,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G1iH6R1Eae', 'expanded_url': 'https://twitter.com/i/web/status/1349333378856853504', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
