id,created_at,text,favorites,retweets,entities,language
1345444492975898625,2021-01-02 18:58:58,"RT @BansuriSwaraj: मेरा अस्तित्व आप से है। मेरे संस्कार आप से हैं। मैं आप से हूं। माँ @SushmaSwaraj और पापा @governorswaraj, आप दुनिया के स…",0,918,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BansuriSwaraj', 'name': 'Bansuri Swaraj', 'id': 1231186167300681728, 'id_str': '1231186167300681728', 'indices': [3, 17]}, {'screen_name': 'SushmaSwaraj', 'name': 'Sushma Swaraj', 'id': 219617448, 'id_str': '219617448', 'indices': [86, 99]}, {'screen_name': 'governorswaraj', 'name': 'governorswaraj', 'id': 993898951978827776, 'id_str': '993898951978827776', 'indices': [108, 123]}], 'urls': []}",und
1260616369315381250,2020-05-13 17:02:18,RT @BansuriSwaraj: Happy Mother's Day @SushmaSwaraj. Miss you with every breath Ma. https://t.co/mARjqC07mq,0,9722,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BansuriSwaraj', 'name': 'Bansuri Swaraj', 'id': 1231186167300681728, 'id_str': '1231186167300681728', 'indices': [3, 17]}, {'screen_name': 'SushmaSwaraj', 'name': 'Sushma Swaraj', 'id': 219617448, 'id_str': '219617448', 'indices': [38, 51]}], 'urls': [], 'media': [{'id': 1259356896613580800, 'id_str': '1259356896613580800', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EXoibNQXQAAg06N.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EXoibNQXQAAg06N.jpg', 'url': 'https://t.co/mARjqC07mq', 'display_url': 'pic.twitter.com/mARjqC07mq', 'expanded_url': 'https://twitter.com/BansuriSwaraj/status/1259356910047956993/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 973, 'h': 654, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 973, 'h': 654, 'resize': 'fit'}, 'small': {'w': 680, 'h': 457, 'resize': 'fit'}}, 'source_status_id': 1259356910047956993, 'source_status_id_str': '1259356910047956993', 'source_user_id': 1231186167300681728, 'source_user_id_str': '1231186167300681728'}]}",en
1158737840752037889,2019-08-06 13:53:24,"प्रधान मंत्री जी - आपका हार्दिक अभिनन्दन. मैं अपने जीवन में इस दिन को देखने की प्रतीक्षा कर रही थी. 
@narendramodi… https://t.co/ZoP1vYYETM",361877,74954,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [101, 114]}], 'urls': [{'url': 'https://t.co/ZoP1vYYETM', 'expanded_url': 'https://twitter.com/i/web/status/1158737840752037889', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",und
1158371889703579648,2019-08-05 13:39:14,"गृह मंत्री श्री अमित शाह जी को उत्कृष्ट भाषण के लिए बहुत बहुत बधाई.  

I congratulate the Home Minister Shri… https://t.co/PPc88MmBIe",77597,7860,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PPc88MmBIe', 'expanded_url': 'https://twitter.com/i/web/status/1158371889703579648', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",und
1158370261638320129,2019-08-05 13:32:46,राज्य सभा के उन सभी सांसदों का बहुत बहुत अभिनन्दन जिन्होनें आज धारा 370 को समाप्त करने वाले संकल्प को पारित करवा कर… https://t.co/IxXl7XwYsF,69620,7607,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IxXl7XwYsF', 'expanded_url': 'https://twitter.com/i/web/status/1158370261638320129', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1158268717316231168,2019-08-05 06:49:16,"बहुत साहसिक और ऐतिहासिक निर्णय. श्रेष्ठ भारत - एक भारत का अभिनन्दन.
A bold and historic decision. We salute our Great India - one India.",115239,14972,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",und
1156234706473455618,2019-07-30 16:06:50,I congratulate the Prime Minister and all members of parliament who helped in the passage of the revolutionary Bill on triple Talaq.,29615,2317,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1156234452260966400,2019-07-30 16:05:49,तीन तलाक़ से सम्बंधित क्रान्तिकारी  विधेयक को पारित करवाने के लिए प्रधान मंत्री जी  तथा उन सभी सांसदों का अभिनन्दन… https://t.co/HcFYwTwUys,38219,3248,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HcFYwTwUys', 'expanded_url': 'https://twitter.com/i/web/status/1156234452260966400', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1155363038658121728,2019-07-28 06:23:08,I am very sad to know that Shri Jaipal Reddy Ji is no more. We were together in Parliament for many years. He was v… https://t.co/a7BnPwPlJZ,16382,967,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/a7BnPwPlJZ', 'expanded_url': 'https://twitter.com/i/web/status/1155363038658121728', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1154726739429343232,2019-07-26 12:14:43,Azam Khan is known for making such statements which prove that he suffers from mental perversion. The statement tha… https://t.co/gcgbo49wOa,26405,4351,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gcgbo49wOa', 'expanded_url': 'https://twitter.com/i/web/status/1154726739429343232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1154723626186207232,2019-07-26 12:02:20,आज़म खान द्वारा बार बार दिए गए ऐसे बयान यह साबित करते हैं की वह मानसिक विकृति से ग्रस्त हैं. कल संसद में महिला सभाप… https://t.co/WCTABNqal6,51144,8053,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WCTABNqal6', 'expanded_url': 'https://twitter.com/i/web/status/1154723626186207232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1154610172775542786,2019-07-26 04:31:31,#कारगिल युद्ध के योद्धाओं और शहीदों को कृतज्ञ राष्ट्र का कोटि कोटि नमन.,22982,1823,"{'hashtags': [{'text': 'कारगिल', 'indices': [0, 7]}], 'symbols': [], 'user_mentions': [], 'urls': []}",hi
1154327774200336384,2019-07-25 09:49:22,Kulbhushan Jadhav's family came to see me today. I wish them all the best. https://t.co/CaXYaDXAUH,40411,2807,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1154327758811459584, 'id_str': '1154327758811459584', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/EAT--xJUcAAELQ7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EAT--xJUcAAELQ7.jpg', 'url': 'https://t.co/CaXYaDXAUH', 'display_url': 'pic.twitter.com/CaXYaDXAUH', 'expanded_url': 'https://twitter.com/SushmaSwaraj/status/1154327774200336384/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 622, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 583, 'resize': 'fit'}, 'small': {'w': 680, 'h': 330, 'resize': 'fit'}}}]}",en
1153251786578264064,2019-07-22 10:33:46,राम बिलास जी - आपके छोटे भाई श्री राम चंद्र पासवान जी के अचानक निधन का समाचार सुन कर बहुत दुःख हुआ। आपके समस्त परि… https://t.co/Zsy3Fu3ZAd,6283,361,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Zsy3Fu3ZAd', 'expanded_url': 'https://twitter.com/i/web/status/1153251786578264064', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1153246162020782080,2019-07-22 10:11:25,महाराष्ट्र के लोकप्रिय युवा मुख्यमंत्री श्री देवेंद्र फडणवीस को जन्मदिवस की बहुत बहुत बधाई। मैं ईश्वर से प्रार्थना… https://t.co/mPUOxz6yyf,8126,450,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mPUOxz6yyf', 'expanded_url': 'https://twitter.com/i/web/status/1153246162020782080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1153241470465298432,2019-07-22 09:52:47,इसरो के वैज्ञानिकों का हार्दिक अभिनन्दन। चंद्रयान २ का सफल प्रक्षेपण करके भारत अंतरिक्ष की महाशक्ति बन गया है। इस… https://t.co/AqREnvo8oS,17367,1223,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AqREnvo8oS', 'expanded_url': 'https://twitter.com/i/web/status/1153241470465298432', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",hi
1153239061273821184,2019-07-22 09:43:13,I salute @Isro scientists for making India a space super power by successfully launching #Chandrayaan2. I wish the mission a grand success.,43669,3209,"{'hashtags': [{'text': 'Chandrayaan2', 'indices': [89, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'isro', 'name': 'ISRO', 'id': 2253142422, 'id_str': '2253142422', 'indices': [9, 14]}], 'urls': []}",en
1152891525228945408,2019-07-21 10:42:13,"Is bhawana ke liye apko mera agrim dhanyawad.

I thank you in anticipation for this kind thought. https://t.co/pbuW6R6gcE",16880,2451,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pbuW6R6gcE', 'expanded_url': 'https://twitter.com/its_IAK/status/1152890133483536384', 'display_url': 'twitter.com/its_IAK/status…', 'indices': [98, 121]}]}",en
1152889490593071104,2019-07-21 10:34:08,मृत्यु के बाद भी उन्होंने देहदान करके अपने पार्थिव शरीर को भी समाज के लिए समर्पित कर दिया। उनकी स्मृति को मेरी विनम्र  श्रद्धांजलि।,7780,530,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",hi
