id,created_at,text,favorites,retweets,entities,language
1351796975126118401,2021-01-20 07:41:28,"Thanks, @ScottMorrisonMP.
It was a thrilling series with the best from both the teams on full display.

India and A… https://t.co/Q8N89Qascj",27684,3556,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ScottMorrisonMP', 'name': 'Scott Morrison', 'id': 34116377, 'id_str': '34116377', 'indices': [8, 24]}], 'urls': [{'url': 'https://t.co/Q8N89Qascj', 'expanded_url': 'https://twitter.com/i/web/status/1351796975126118401', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351783183038119939,2021-01-20 06:46:40,Ensuring ‘Housing for All’ in UP. #GraminAwaasSabkePass https://t.co/WrIPFXpW0G,18612,3861,"{'hashtags': [{'text': 'GraminAwaasSabkePass', 'indices': [34, 55]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WrIPFXpW0G', 'expanded_url': 'https://www.pscp.tv/w/ctZ30DMyMjExNTJ8MXJtR1B6RFhsWW54TqG-OiJA7J2LAb-imI4gAejlVx1aMl46ifsi4SOdZDVU', 'display_url': 'pscp.tv/w/ctZ30DMyMjEx…', 'indices': [56, 79]}]}",en
1351720551790698496,2021-01-20 02:37:47,उत्तर प्रदेश के ग्रामीण भाई-बहनों के लिए आज का दिन अहम है। दोपहर 12 बजे वीडियो कॉन्फ्रेंसिंग के जरिए प्रधानमंत्री आ… https://t.co/EuklAcYyM9,21508,3857,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EuklAcYyM9', 'expanded_url': 'https://twitter.com/i/web/status/1351720551790698496', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351719933923606528,2021-01-20 02:35:20,The Guru Sahibs have a special Kripa on me that the 350th Parkash Purab of Sri Guru Gobind Singh Ji took place duri… https://t.co/SwpPCGqusN,50887,6852,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SwpPCGqusN', 'expanded_url': 'https://twitter.com/i/web/status/1351719933923606528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351719478157971458,2021-01-20 02:33:31,I bow to Sri Guru Gobind Singh Ji on the pious occasion of his Parkash Purab. His was a life devoted to creating a… https://t.co/UZMu1t7NOC,20409,4928,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UZMu1t7NOC', 'expanded_url': 'https://twitter.com/i/web/status/1351719478157971458', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351719208363589632,2021-01-20 02:32:27,ਗੁਰੂ ਸਾਹਿਬਾਨ ਦੀ ਮੇਰੇ ਉੱਤੇ ਖਾਸ ਕ੍ਰਿਪਾ ਰਹੀ ਹੈ ਕਿ ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਜੀ ਦਾ 350ਵਾਂ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਸਾਡੀ ਸਰਕਾਰ ਦੇ ਕਾਰਜਕਾ… https://t.co/N4J4Kec7lY,12369,2273,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/N4J4Kec7lY', 'expanded_url': 'https://twitter.com/i/web/status/1351719208363589632', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pa
1351718762710355970,2021-01-20 02:30:41,ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਦੇ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਦੇ ਪਵਿੱਤਰ ਮੌਕੇ ’ਤੇ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਨਮਨ ਕਰਦਾ ਹਾਂ। ਉਨ੍ਹਾਂ ਦਾ ਜੀਵਨ ਇੱਕ ਨਿਆਂਪੂਰਨ… https://t.co/6aBIijZAK7,7457,1916,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6aBIijZAK7', 'expanded_url': 'https://twitter.com/i/web/status/1351718762710355970', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",pa
1351715871740162050,2021-01-20 02:19:12,RT @PiyushGoyal: Netaji’s prakram had put India on the express route of freedom and development. I am thrilled to celebrate his anniversary…,0,1743,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PiyushGoyal', 'name': 'Piyush Goyal', 'id': 1324334436, 'id_str': '1324334436', 'indices': [3, 15]}], 'urls': []}",en
1351564919158632452,2021-01-19 16:19:22,"At 12 noon tomorrow, 20th January, financial assistance would be provided to 6 lakh beneficiaries of the Pradhan Ma… https://t.co/EluAXEhLt4",26423,4180,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EluAXEhLt4', 'expanded_url': 'https://twitter.com/i/web/status/1351564919158632452', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351524570021441537,2021-01-19 13:39:02,India is deeply honoured to be a long-trusted partner in meeting the healthcare needs of the global community. Supp… https://t.co/bLUHA0zV9B,45246,6115,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bLUHA0zV9B', 'expanded_url': 'https://twitter.com/i/web/status/1351524570021441537', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
