id,created_at,text,favorites,retweets,entities,language
1351766010160943105,2021-01-20 05:38:26,"इतिहास गवाह है कि वे मसले कभी, कहाँ सुलझते हैं
जिनमें फ़ैसला पहले ही लेकर ‘हाकिम’ बात करते हैं

#किसान",8881,1220,"{'hashtags': [{'text': 'किसान', 'indices': [96, 102]}], 'symbols': [], 'user_mentions': [], 'urls': []}",hi
1351751426364612610,2021-01-20 04:40:29,धर्म व मानवीय मूल्यों की रक्षा के लिए अपना सर्वस्व अर्पण करने वाले सिख धर्म के महान गुरु गोविंद सिंह जी की जयंती की… https://t.co/TQtIdtfu9e,3404,659,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TQtIdtfu9e', 'expanded_url': 'https://twitter.com/i/web/status/1351751426364612610', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351728941703200770,2021-01-20 03:11:08,"श्रावस्ती में शांति, करुणा एवं अहिंसा के प्रवर्तक महात्मा बुद्ध के श्रीचरणों में सान्निध्य का परम सौभाग्य मिला. 

स… https://t.co/r9m3T1DF1S",7386,1008,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/r9m3T1DF1S', 'expanded_url': 'https://twitter.com/i/web/status/1351728941703200770', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",hi
1351546658455244804,2021-01-19 15:06:48,गोंडा में महान सम्राट पृथ्वीराज चौहान जी की मूर्ति का अनावरण। https://t.co/sYOgIcTqLY,7699,957,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351546644710486020, 'id_str': '1351546644710486020', 'indices': [62, 85], 'media_url': 'http://pbs.twimg.com/media/EsGogzdW8AQYx7R.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGogzdW8AQYx7R.jpg', 'url': 'https://t.co/sYOgIcTqLY', 'display_url': 'pic.twitter.com/sYOgIcTqLY', 'expanded_url': 'https://twitter.com/yadavakhilesh/status/1351546658455244804/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 852, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",hi
1351500990126690307,2021-01-19 12:05:20,"भारतीय क्रिकेट टीम को आस्ट्रेलिया में टेस्ट सीरीज़ जीतने पर हार्दिक बधाई। 

सपा की सरकार आने पर ‘टेनिस क्रिकेट’ को… https://t.co/7IbN5G7lRD",35249,3210,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7IbN5G7lRD', 'expanded_url': 'https://twitter.com/i/web/status/1351500990126690307', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",hi
1351398707527372803,2021-01-19 05:18:54,https://t.co/pBOJIbpxFB,1736,328,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351398697125474306, 'id_str': '1351398697125474306', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EsEh9HwW8AIhDSs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEh9HwW8AIhDSs.jpg', 'url': 'https://t.co/pBOJIbpxFB', 'display_url': 'pic.twitter.com/pBOJIbpxFB', 'expanded_url': 'https://twitter.com/yadavakhilesh/status/1351398707527372803/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 682, 'resize': 'fit'}}}]}",und
1351397347830468614,2021-01-19 05:13:30,https://t.co/HNaGcv8FW0,1810,353,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351397341295767553, 'id_str': '1351397341295767553', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EsEguM5XcAE4xS4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEguM5XcAE4xS4.jpg', 'url': 'https://t.co/HNaGcv8FW0', 'display_url': 'pic.twitter.com/HNaGcv8FW0', 'expanded_url': 'https://twitter.com/yadavakhilesh/status/1351397347830468614/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 682, 'resize': 'fit'}}}]}",und
1351397338531700738,2021-01-19 05:13:27,https://t.co/3rO494r3ze,646,171,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351397331233611777, 'id_str': '1351397331233611777', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EsEgtnaXIAEHZbd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEgtnaXIAEHZbd.jpg', 'url': 'https://t.co/3rO494r3ze', 'display_url': 'pic.twitter.com/3rO494r3ze', 'expanded_url': 'https://twitter.com/yadavakhilesh/status/1351397338531700738/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",und
1351397328180154369,2021-01-19 05:13:25,"मिला गोंडा का भी आशीर्वाद,
फिर से आयेगी सपा सरकार! https://t.co/4iquPq3W3B",7202,1085,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351397317144883203, 'id_str': '1351397317144883203', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EsEgsy7WMAMyYak.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEgsy7WMAMyYak.jpg', 'url': 'https://t.co/4iquPq3W3B', 'display_url': 'pic.twitter.com/4iquPq3W3B', 'expanded_url': 'https://twitter.com/yadavakhilesh/status/1351397328180154369/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 441, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 778, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 830, 'resize': 'fit'}}}]}",hi
1351375095789355009,2021-01-19 03:45:04,At Balrampur https://t.co/5ECNIY5bxc,6020,943,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351375093365043200, 'id_str': '1351375093365043200', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EsEMfM5VcAA-7La.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsEMfM5VcAA-7La.jpg', 'url': 'https://t.co/5ECNIY5bxc', 'display_url': 'pic.twitter.com/5ECNIY5bxc', 'expanded_url': 'https://twitter.com/yadavakhilesh/status/1351375095789355009/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 566, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 999, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 1066, 'resize': 'fit'}}}]}",en
