id,created_at,text,favorites,retweets,entities,language
1351975946417483778,2021-01-20 19:32:38,"🗣 احنا كنا ماشيين في ضلمة بس شايفين نور من بعيد و النور ده هو البطولة

⏳فيلم #سر_التاسعة الجمعة القادمة التاسعة مسا… https://t.co/VdqkivxozV",1319,73,"{'hashtags': [{'text': 'سر_التاسعة', 'indices': [77, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VdqkivxozV', 'expanded_url': 'https://twitter.com/i/web/status/1351975946417483778', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",ar
1351915031349309447,2021-01-20 15:30:35,"🗒| اليكم قائمة فريقنا استعدادا لمواجهة المقاولون العرب ضمن منافسات بطولة الدوري. 🦅

🔴| #يلا_يا_أهلي https://t.co/jEO5vBrxIP",3099,126,"{'hashtags': [{'text': 'يلا_يا_أهلي', 'indices': [87, 99]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351915025959677954, 'id_str': '1351915025959677954', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EsL3jajW8AIp9_w.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsL3jajW8AIp9_w.jpg', 'url': 'https://t.co/jEO5vBrxIP', 'display_url': 'pic.twitter.com/jEO5vBrxIP', 'expanded_url': 'https://twitter.com/AlAhly/status/1351915031349309447/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 960, 'h': 960, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 960, 'resize': 'fit'}}}]}",ar
1351890894996320267,2021-01-20 13:54:40,"RT @alittihadSport: يبحث عن مجد عالمي جديد.. 
#الأهلي المصري أكثر الفرق الأفريقية مشاركة في #مونديال_الأندية يبدأ مشواره بمواجهة عربية طامع…",0,191,"{'hashtags': [{'text': 'الأهلي', 'indices': [46, 53]}, {'text': 'مونديال_الأندية', 'indices': [92, 108]}], 'symbols': [], 'user_mentions': [{'screen_name': 'alittihadSport', 'name': 'الاتحاد الرياضي', 'id': 1310034038, 'id_str': '1310034038', 'indices': [3, 18]}], 'urls': []}",ar
1351606866367885316,2021-01-19 19:06:03,"موعدنا الجمعة ٢٢-١-٢٠٢١ التاسعة مساءً 😉🦅

#سر_التاسعة https://t.co/VYfJJIRmVq",7649,971,"{'hashtags': [{'text': 'سر_التاسعة', 'indices': [42, 53]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351606602193920001, 'id_str': '1351606602193920001', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351606602193920001/pu/img/bMEij258ROe1D1aZ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351606602193920001/pu/img/bMEij258ROe1D1aZ.jpg', 'url': 'https://t.co/VYfJJIRmVq', 'display_url': 'pic.twitter.com/VYfJJIRmVq', 'expanded_url': 'https://twitter.com/AlAhly/status/1351606866367885316/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",ar
1351597362477674502,2021-01-19 18:28:17,"🤝 الأهلي يمدد عقدَي محمد شريف وعلي لطفي 

🔴 #يلا_يا_أهلي https://t.co/2OmjgJNpk3",10620,351,"{'hashtags': [{'text': 'يلا_يا_أهلي', 'indices': [44, 56]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351597345159393288, 'id_str': '1351597345159393288', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EsHWn9WWMAgeMmi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHWn9WWMAgeMmi.jpg', 'url': 'https://t.co/2OmjgJNpk3', 'display_url': 'pic.twitter.com/2OmjgJNpk3', 'expanded_url': 'https://twitter.com/AlAhly/status/1351597362477674502/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 554, 'resize': 'fit'}, 'medium': {'w': 879, 'h': 716, 'resize': 'fit'}, 'large': {'w': 879, 'h': 716, 'resize': 'fit'}}}]}",ar
1351553145390903297,2021-01-19 15:32:35,"🚨 |  الأهلي يفتتح مشواره في بطولة كأس العالم للأندية بمواجهة الدحيل القطري في الرابع من فبراير المقبل. 🦅🔥💪

🔴|… https://t.co/iaInuKJDKS",8754,600,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iaInuKJDKS', 'expanded_url': 'https://twitter.com/i/web/status/1351553145390903297', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}",ar
1351164031327940609,2021-01-18 13:46:23,🚨 | في خطاب رسمي.. الأهلي يطالب اتحاد الكرة بإيقاف الأخطاء التحكيمية  «الفجة» حرصًا على ميزان العدالة. https://t.co/5SrLI7K95Q,6826,391,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351163936570109952, 'id_str': '1351163936570109952', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/media/EsBMcQiUcAALIvc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsBMcQiUcAALIvc.jpg', 'url': 'https://t.co/5SrLI7K95Q', 'display_url': 'pic.twitter.com/5SrLI7K95Q', 'expanded_url': 'https://twitter.com/AlAhly/status/1351164031327940609/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]}",ar
1351133833521999873,2021-01-18 11:46:23,"مران فريقنا بالتتش اليوم 📸

🔴 #يلا_يا_اهلي https://t.co/CzTgq3TP2e",5316,103,"{'hashtags': [{'text': 'يلا_يا_اهلي', 'indices': [30, 42]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351133793021812739, 'id_str': '1351133793021812739', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/media/EsAxBrEXYAM6r63.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsAxBrEXYAM6r63.jpg', 'url': 'https://t.co/CzTgq3TP2e', 'display_url': 'pic.twitter.com/CzTgq3TP2e', 'expanded_url': 'https://twitter.com/AlAhly/status/1351133833521999873/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 566, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 1066, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 999, 'resize': 'fit'}}}]}",ar
1350851325534285829,2021-01-17 17:03:48,"🔚 نهاية المباراة

🦅 #الأهلي 0⃣
⚪البنك الأهلي0⃣

🔴 #يلا_يا_أهلي https://t.co/trQoKMWlin",1788,34,"{'hashtags': [{'text': 'الأهلي', 'indices': [20, 27]}, {'text': 'يلا_يا_أهلي', 'indices': [50, 62]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1350851063826546688, 'id_str': '1350851063826546688', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/Er8v4qvXAAAsgf4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Er8v4qvXAAAsgf4.jpg', 'url': 'https://t.co/trQoKMWlin', 'display_url': 'pic.twitter.com/trQoKMWlin', 'expanded_url': 'https://twitter.com/AlAhly/status/1350851325534285829/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",ar
1350847108002304000,2021-01-17 16:47:02,"⏱80' | 🔄 التبديل الثالث للفريق

➡   السولية
⬅    ديانج

🔴 #يلا_يا_أهلي https://t.co/ZfXuznPWrG",509,10,"{'hashtags': [{'text': 'يلا_يا_أهلي', 'indices': [58, 70]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1350845936461885458, 'id_str': '1350845936461885458', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/Er8rON0XMBI0Ari.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Er8rON0XMBI0Ari.jpg', 'url': 'https://t.co/ZfXuznPWrG', 'display_url': 'pic.twitter.com/ZfXuznPWrG', 'expanded_url': 'https://twitter.com/AlAhly/status/1350847108002304000/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",ar
