id,created_at,text,favorites,retweets,entities,language
1351969289855709186,2021-01-20 19:06:11,"👟 Favourite item of clothing?
🎧 Favourite music genre?
🍿 Favourite film?

📈 Growing up with... @EmileSmithRowe

* 𝘛… https://t.co/XCcdEBJSEy",1920,159,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'emilesmithrowe', 'name': 'Emile Smith Rowe', 'id': 3150316584, 'id_str': '3150316584', 'indices': [95, 110]}], 'urls': [{'url': 'https://t.co/XCcdEBJSEy', 'expanded_url': 'https://twitter.com/i/web/status/1351969289855709186', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351941717075832834,2021-01-20 17:16:37,🗞 An update on the status of Dani Ceballos and Pablo Mari,2528,167,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351923198800093185,2021-01-20 16:03:02,🗞 We can confirm that four of our @PremierLeague fixtures have been rescheduled,3879,343,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'premierleague', 'name': 'Premier League', 'id': 343627165, 'id_str': '343627165', 'indices': [34, 48]}], 'urls': []}",en
1351891527451205634,2021-01-20 13:57:11,RT @SokratisPapa5: I gave everything for Arsenal and Arsenal also gave me a lot. I wish you all the best health and success always. Thank y…,0,1998,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SokratisPapa5', 'name': 'Sokratis Papastathopoulos', 'id': 1100422283951292422, 'id_str': '1100422283951292422', 'indices': [3, 17]}], 'urls': []}",en
1351891520559919106,2021-01-20 13:57:10,RT @SokratisPapa5: One of the most enjoyable times in my career ended today. It has been an honour to wear the Arsenal shirt and I want to…,0,5480,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SokratisPapa5', 'name': 'Sokratis Papastathopoulos', 'id': 1100422283951292422, 'id_str': '1100422283951292422', 'indices': [3, 17]}], 'urls': []}",en
1351878497350909954,2021-01-20 13:05:25,"Thank you, Papa ❤️

🇬🇷 @SokratisPapa5 https://t.co/m2smRBKKM3",31097,3477,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SokratisPapa5', 'name': 'Sokratis Papastathopoulos', 'id': 1100422283951292422, 'id_str': '1100422283951292422', 'indices': [23, 37]}], 'urls': [], 'media': [{'id': 1351877800442138624, 'id_str': '1351877800442138624', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EsLWXLvXcAMBySI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLWXLvXcAMBySI.jpg', 'url': 'https://t.co/m2smRBKKM3', 'display_url': 'pic.twitter.com/m2smRBKKM3', 'expanded_url': 'https://twitter.com/Arsenal/status/1351878497350909954/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351877920579596289,2021-01-20 13:03:07,"🗞 Working closely with @SokratisPapa5 and his team, we have decided to cancel his contract by mutual consent",24475,3079,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SokratisPapa5', 'name': 'Sokratis Papastathopoulos', 'id': 1100422283951292422, 'id_str': '1100422283951292422', 'indices': [23, 37]}], 'urls': []}",en
1351791822394298368,2021-01-20 07:21:00,"Happy birthday to you, @CalumChambers95! 🎈 https://t.co/x1tevh4I4s",17602,938,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CalumChambers95', 'name': 'Calum Chambers', 'id': 1673820865, 'id_str': '1673820865', 'indices': [23, 39]}], 'urls': [], 'media': [{'id': 1351700694781325314, 'id_str': '1351700694781325314', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/media/EsI0nssW8AIIZXX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsI0nssW8AIIZXX.jpg', 'url': 'https://t.co/x1tevh4I4s', 'display_url': 'pic.twitter.com/x1tevh4I4s', 'expanded_url': 'https://twitter.com/Arsenal/status/1351791822394298368/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]}",en
1351652195037556738,2021-01-19 22:06:10,"See you on Saturday (and Tuesday), @SouthamptonFC 👋

#EmiratesFACup | @premierleague https://t.co/Ye4rHvn590",10491,777,"{'hashtags': [{'text': 'EmiratesFACup', 'indices': [53, 67]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SouthamptonFC', 'name': 'Southampton FC', 'id': 46143892, 'id_str': '46143892', 'indices': [35, 49]}, {'screen_name': 'premierleague', 'name': 'Premier League', 'id': 343627165, 'id_str': '343627165', 'indices': [70, 84]}], 'urls': [], 'media': [{'id': 1351651692945805312, 'id_str': '1351651692945805312', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/media/EsIIN_rXMAEbmaU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsIIN_rXMAEbmaU.jpg', 'url': 'https://t.co/Ye4rHvn590', 'display_url': 'pic.twitter.com/Ye4rHvn590', 'expanded_url': 'https://twitter.com/Arsenal/status/1351652195037556738/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}}}]}",en
1351632662428061703,2021-01-19 20:48:33,"💬 ""I can't wait for a full stadium to appreciate this type of skill."" 🤩

📺 @AdrianJClarke is back with The Breakdown of #ARSNEW 👇",2004,137,"{'hashtags': [{'text': 'ARSNEW', 'indices': [120, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'adrianjclarke', 'name': 'Adrian Clarke', 'id': 161965753, 'id_str': '161965753', 'indices': [75, 89]}], 'urls': []}",en
