id,created_at,text,favorites,retweets,entities,language
1351966190550319106,2021-01-20 18:53:52,"🛫 ¡Volamos hacia una nueva jornada de @LaLiga! 🙂

🔴⚪ #AúpaAtleti | ⚽#EibarAtleti https://t.co/JphYSeiw1h",726,46,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [53, 64]}, {'text': 'EibarAtleti', 'indices': [68, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LaLiga', 'name': 'LaLiga', 'id': 423384542, 'id_str': '423384542', 'indices': [38, 45]}], 'urls': [], 'media': [{'id': 1351963070701166592, 'id_str': '1351963070701166592', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/EsMjP_KW4AAKGV7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMjP_KW4AAKGV7.jpg', 'url': 'https://t.co/JphYSeiw1h', 'display_url': 'pic.twitter.com/JphYSeiw1h', 'expanded_url': 'https://twitter.com/Atleti/status/1351966190550319106/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 492, 'resize': 'fit'}, 'large': {'w': 1417, 'h': 1026, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 869, 'resize': 'fit'}}}]}",es
1351959875027394561,2021-01-20 18:28:47,"📆 HORARIO CONFIRMADO

📌 Ya hay fecha para el #AtletiCelta 
📝 Jornada 22
🗓  Lunes, 8 de febrero
⏰ 21:00h
🏟  Wanda… https://t.co/HMIpRwCv8D",362,36,"{'hashtags': [{'text': 'AtletiCelta', 'indices': [45, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HMIpRwCv8D', 'expanded_url': 'https://twitter.com/i/web/status/1351959875027394561', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",es
1351944949034573827,2021-01-20 17:29:28,"📋CONVOCATORIA

¡Estos son los futbolistas citados por @Simeone para la jornada 19 de @LaLiga 🆚 @SDEibar! 👇

🔴⚪… https://t.co/f8j12e0HoC",1033,116,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Simeone', 'name': 'Diego Pablo Simeone', 'id': 2411221668, 'id_str': '2411221668', 'indices': [54, 62]}, {'screen_name': 'LaLiga', 'name': 'LaLiga', 'id': 423384542, 'id_str': '423384542', 'indices': [85, 92]}, {'screen_name': 'SDEibar', 'name': 'SD Eibar', 'id': 442869924, 'id_str': '442869924', 'indices': [95, 103]}], 'urls': [{'url': 'https://t.co/f8j12e0HoC', 'expanded_url': 'https://twitter.com/i/web/status/1351944949034573827', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}",es
1351914246678999041,2021-01-20 15:27:28,"💭⚽🥅

@LuisSuarez9 x @MDembele_10 

🔴⚪ #AúpaAtleti https://t.co/wUztJqYPyJ",1832,87,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [38, 49]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LuisSuarez9', 'name': 'Luis Suarez', 'id': 213745334, 'id_str': '213745334', 'indices': [5, 17]}, {'screen_name': 'MDembele_10', 'name': 'Moussa Dembélé', 'id': 2915950287, 'id_str': '2915950287', 'indices': [20, 32]}], 'urls': [], 'media': [{'id': 1351910176618643456, 'id_str': '1351910176618643456', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/media/EsLzJJWXAAAzOqd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLzJJWXAAAzOqd.jpg', 'url': 'https://t.co/wUztJqYPyJ', 'display_url': 'pic.twitter.com/wUztJqYPyJ', 'expanded_url': 'https://twitter.com/Atleti/status/1351914246678999041/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 458, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 808, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1380, 'resize': 'fit'}}}]}",und
1351884005147369475,2021-01-20 13:27:18,"👊 ¡Preparando nuestro siguiente 𝓭𝓮𝓼𝓪𝓯í𝓸!

📸🔗 https://t.co/P0HifDA54g

🔴⚪#AúpaAtleti |⚽#EibarAtleti https://t.co/9slu2npoN7",524,41,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [72, 83]}, {'text': 'EibarAtleti', 'indices': [86, 98]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/P0HifDA54g', 'expanded_url': 'http://ow.ly/VjbR30rtqmK', 'display_url': 'ow.ly/VjbR30rtqmK', 'indices': [45, 68]}], 'media': [{'id': 1351877100693827584, 'id_str': '1351877100693827584', 'indices': [99, 122], 'media_url': 'http://pbs.twimg.com/media/EsLVD37XMAABTGL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLVD37XMAABTGL.jpg', 'url': 'https://t.co/9slu2npoN7', 'display_url': 'pic.twitter.com/9slu2npoN7', 'expanded_url': 'https://twitter.com/Atleti/status/1351884005147369475/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 835, 'resize': 'fit'}, 'small': {'w': 680, 'h': 473, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1424, 'resize': 'fit'}}}]}",es
1351874774197268482,2021-01-20 12:50:37,"𝐓𝐄𝐀𝐌 𝐋𝐀𝐓𝐀𝐌❗❕❗

🇺🇾 🇲🇽 🇧🇷 🇦🇷

🔴⚪ #AúpaAtleti https://t.co/RhvkzDmqta",1767,75,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [31, 42]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351871982971846656, 'id_str': '1351871982971846656', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/media/EsLQZ-7XAAAbcU2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLQZ-7XAAAbcU2.jpg', 'url': 'https://t.co/RhvkzDmqta', 'display_url': 'pic.twitter.com/RhvkzDmqta', 'expanded_url': 'https://twitter.com/Atleti/status/1351874774197268482/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1368, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 802, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}}]}",et
1351868180134768640,2021-01-20 12:24:25,"📡🗞 RUEDA DE PRENSA

🎙 @Simeone, sobre el #EibarAtleti: ""Vamos a jugar a un campo que siempre es difícil""

🔴⚪… https://t.co/En7eBgm1To",117,10,"{'hashtags': [{'text': 'EibarAtleti', 'indices': [41, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Simeone', 'name': 'Diego Pablo Simeone', 'id': 2411221668, 'id_str': '2411221668', 'indices': [22, 30]}], 'urls': [{'url': 'https://t.co/En7eBgm1To', 'expanded_url': 'https://twitter.com/i/web/status/1351868180134768640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",es
1351865319653072898,2021-01-20 12:13:03,"B😁NJ😁UR, M😁USSA

🔴⚪ #AúpaAtleti https://t.co/opl1zJCpLi",2336,111,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [20, 31]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351865036810186755, 'id_str': '1351865036810186755', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/media/EsLKFqdXcAMl8wc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLKFqdXcAMl8wc.jpg', 'url': 'https://t.co/opl1zJCpLi', 'display_url': 'pic.twitter.com/opl1zJCpLi', 'expanded_url': 'https://twitter.com/Atleti/status/1351865319653072898/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 543, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1634, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 958, 'h': 1200, 'resize': 'fit'}}}]}",sl
1351862025685766144,2021-01-20 11:59:57,"📡🎥 #ATMFLASH
🎙 @Simeone analiza las claves del #EibarAtleti ante los medios de comunicación.

▶ ¡Sigue aquí, en dir… https://t.co/2ZIrvRXp2q",291,28,"{'hashtags': [{'text': 'ATMFLASH', 'indices': [3, 12]}, {'text': 'EibarAtleti', 'indices': [47, 59]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Simeone', 'name': 'Diego Pablo Simeone', 'id': 2411221668, 'id_str': '2411221668', 'indices': [15, 23]}], 'urls': [{'url': 'https://t.co/2ZIrvRXp2q', 'expanded_url': 'https://twitter.com/i/web/status/1351862025685766144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351832266692046848,2021-01-20 10:01:42,"📡🎥 #ATMFLASH

📢 #AtléticosPorElMundo, a las 12:45 horas os esperamos aquí a todos para seguir, en directo, la rueda… https://t.co/VAYsQnANLM",320,22,"{'hashtags': [{'text': 'ATMFLASH', 'indices': [3, 12]}, {'text': 'AtléticosPorElMundo', 'indices': [16, 36]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VAYsQnANLM', 'expanded_url': 'https://twitter.com/i/web/status/1351832266692046848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351821239359336448,2021-01-20 09:17:53,"🎂 ¡Hoy sopla las velas @JoseMaGimenez13! 👏

🇺🇾 El central uruguayo cumple 2⃣6⃣ años 🎉

🎊 ¡Muchas felicidades y disf… https://t.co/BlgsHN6IdV",2739,223,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoseMaGimenez13', 'name': 'Jose Maria Gimenez', 'id': 2579211889, 'id_str': '2579211889', 'indices': [23, 39]}], 'urls': [{'url': 'https://t.co/BlgsHN6IdV', 'expanded_url': 'https://twitter.com/i/web/status/1351821239359336448', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351514452768788488,2021-01-19 12:58:50,"⚽💭🔜 #EibarAtleti

📸🔗 https://t.co/Hf2mUcRsjC

🔴⚪ #AúpaAtleti https://t.co/usJdUBeglt",759,49,"{'hashtags': [{'text': 'EibarAtleti', 'indices': [4, 16]}, {'text': 'AúpaAtleti', 'indices': [49, 60]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Hf2mUcRsjC', 'expanded_url': 'http://ow.ly/u8VP30rtgS5', 'display_url': 'ow.ly/u8VP30rtgS5', 'indices': [21, 44]}], 'media': [{'id': 1351505181175930880, 'id_str': '1351505181175930880', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EsGCzTwXYAAYSor.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGCzTwXYAAYSor.jpg', 'url': 'https://t.co/usJdUBeglt', 'display_url': 'pic.twitter.com/usJdUBeglt', 'expanded_url': 'https://twitter.com/Atleti/status/1351514452768788488/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 860, 'resize': 'fit'}, 'large': {'w': 1417, 'h': 1015, 'resize': 'fit'}, 'small': {'w': 680, 'h': 487, 'resize': 'fit'}}}]}",und
1351505092365737984,2021-01-19 12:21:38,"🇫🇷 𝓣𝓛 11 🤜🏼🤛🏼 𝓨𝓒 21 🇧🇪

🔴⚪ #AúpaAtleti https://t.co/5pGyn1x2Ih",2684,114,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [27, 38]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351504056678834177, 'id_str': '1351504056678834177', 'indices': [39, 62], 'media_url': 'http://pbs.twimg.com/media/EsGBx2rXYAEWgIR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsGBx2rXYAEWgIR.jpg', 'url': 'https://t.co/5pGyn1x2Ih', 'display_url': 'pic.twitter.com/5pGyn1x2Ih', 'expanded_url': 'https://twitter.com/Atleti/status/1351505092365737984/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1417, 'h': 773, 'resize': 'fit'}, 'small': {'w': 680, 'h': 371, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 655, 'resize': 'fit'}}}]}",cy
1351484897890807810,2021-01-19 11:01:23,"📽 Stefan Savic es el protagonista de este mes en #LaPreguntaMahou de @futbolmahou

🎙 ""Mis momentos más especiales c… https://t.co/fgdP6AJdaC",691,47,"{'hashtags': [{'text': 'LaPreguntaMahou', 'indices': [49, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'futbolmahou', 'name': 'Fútbol Mahou', 'id': 1226035994, 'id_str': '1226035994', 'indices': [69, 81]}], 'urls': [{'url': 'https://t.co/fgdP6AJdaC', 'expanded_url': 'https://twitter.com/i/web/status/1351484897890807810', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351194592188788740,2021-01-18 15:47:49,"🤩🎩

🔴⚪ #AúpaAtleti https://t.co/JEDqBUPnwS",2094,135,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [7, 18]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351192020459675665, 'id_str': '1351192020459675665', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/media/EsBl-9LXYBEdURl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsBl-9LXYBEdURl.jpg', 'url': 'https://t.co/JEDqBUPnwS', 'display_url': 'pic.twitter.com/JEDqBUPnwS', 'expanded_url': 'https://twitter.com/Atleti/status/1351194592188788740/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1459, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 855, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 484, 'h': 680, 'resize': 'fit'}}}]}",und
1351170048203902977,2021-01-18 14:10:17,"💥 ¡Puños fuera! 👊

🔴⚪ #AúpaAtleti https://t.co/2kftDrC6Jf",1482,80,"{'hashtags': [{'text': 'AúpaAtleti', 'indices': [22, 33]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351170043854221312, 'id_str': '1351170043854221312', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EsBR_v8UcAAe1OW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsBR_v8UcAAe1OW.jpg', 'url': 'https://t.co/2kftDrC6Jf', 'display_url': 'pic.twitter.com/2kftDrC6Jf', 'expanded_url': 'https://twitter.com/Atleti/status/1351170048203902977/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 390, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1173, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 687, 'resize': 'fit'}}}]}",es
1351154245681213450,2021-01-18 13:07:30,"⚽ ¡Primera sesión de la semana, con el #EibarAtleti en mente! 💪

📸🔗 https://t.co/sxLjQ8lLWz

🔴⚪ #AúpaAtleti https://t.co/RU9R4VAXb8",758,58,"{'hashtags': [{'text': 'EibarAtleti', 'indices': [39, 51]}, {'text': 'AúpaAtleti', 'indices': [96, 107]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sxLjQ8lLWz', 'expanded_url': 'http://ow.ly/2aVY50DbfUF', 'display_url': 'ow.ly/2aVY50DbfUF', 'indices': [68, 91]}], 'media': [{'id': 1351148438495309827, 'id_str': '1351148438495309827', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/media/EsA-WJtWMAM4y8F.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsA-WJtWMAM4y8F.jpg', 'url': 'https://t.co/RU9R4VAXb8', 'display_url': 'pic.twitter.com/RU9R4VAXb8', 'expanded_url': 'https://twitter.com/Atleti/status/1351154245681213450/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 449, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1354, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 793, 'resize': 'fit'}}}]}",es
