id,created_at,text,favorites,retweets,entities,language
1351835579558686720,2021-01-20 10:14:52,Here's wishing #TeamIndia all-rounder @akshar2026 a very happy birthday. 🎂👏 https://t.co/SrjPtS1cf5,37623,800,"{'hashtags': [{'text': 'TeamIndia', 'indices': [15, 25]}], 'symbols': [], 'user_mentions': [{'screen_name': 'akshar2026', 'name': 'Akshar Patel', 'id': 2482782432, 'id_str': '2482782432', 'indices': [38, 49]}], 'urls': [], 'media': [{'id': 1351834963084103683, 'id_str': '1351834963084103683', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EsKuvJGU0AM5al1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKuvJGU0AM5al1.jpg', 'url': 'https://t.co/SrjPtS1cf5', 'display_url': 'pic.twitter.com/SrjPtS1cf5', 'expanded_url': 'https://twitter.com/BCCI/status/1351835579558686720/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",en
1351816867006955527,2021-01-20 09:00:31,"RT @CricketAus: An open letter to our friends in Indian Cricket, and to everyone who played their part to help deliver this memorable serie…",0,10215,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CricketAus', 'name': 'Cricket Australia', 'id': 2230987464, 'id_str': '2230987464', 'indices': [3, 14]}], 'urls': []}",en
1351552015562805249,2021-01-19 15:28:05,"WATCH - Exclusive: Head Coach @RaviShastriOfc delivers a dressing room speech at Gabba.

A special series win in Au… https://t.co/UWM65wPROL",52188,6199,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RaviShastriOfc', 'name': 'Ravi Shastri', 'id': 807775550483763200, 'id_str': '807775550483763200', 'indices': [30, 45]}], 'urls': [{'url': 'https://t.co/UWM65wPROL', 'expanded_url': 'https://twitter.com/i/web/status/1351552015562805249', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351530403157340165,2021-01-19 14:02:12,"The Committee also picked five net bowlers and five players as standbys.

Net Bowlers: Ankit Rajpoot, Avesh Khan, S… https://t.co/SLGClhRQi0",21120,1440,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SLGClhRQi0', 'expanded_url': 'https://twitter.com/i/web/status/1351530403157340165', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351530333334716418,2021-01-19 14:01:56,"TEAM - Virat Kohli (Capt), Rohit Sharma, Mayank Agarwal, Shubman Gill, Cheteshwar Pujara, Ajinkya (VC), KL Rahul, H… https://t.co/66z20qRYPC",89514,8963,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/66z20qRYPC', 'expanded_url': 'https://twitter.com/i/web/status/1351530333334716418', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",in
1351530226195472385,2021-01-19 14:01:30,NEWS - The All-India Senior Selection Committee met on Tuesday to pick the squad for the first two Test matches to… https://t.co/9E3fKLI75I,32360,1659,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9E3fKLI75I', 'expanded_url': 'https://twitter.com/i/web/status/1351530226195472385', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351497727251648519,2021-01-19 11:52:22,"NEWS - BCCI congratulates Team India, announces cash reward.

More details here - https://t.co/07lFqG9Mru #TeamIndia https://t.co/xMOTAtHYXe",46523,2556,"{'hashtags': [{'text': 'TeamIndia', 'indices': [106, 116]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/07lFqG9Mru', 'expanded_url': 'https://www.bcci.tv/articles/2021/news/148344/bcci-congratulates-team-india-announces-cash-reward', 'display_url': 'bcci.tv/articles/2021/…', 'indices': [82, 105]}], 'media': [{'id': 1351497655415828480, 'id_str': '1351497655415828480', 'indices': [117, 140], 'media_url': 'http://pbs.twimg.com/media/EsF79QHVcAAdJbe.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsF79QHVcAAdJbe.jpg', 'url': 'https://t.co/xMOTAtHYXe', 'display_url': 'pic.twitter.com/xMOTAtHYXe', 'expanded_url': 'https://twitter.com/BCCI/status/1351497727251648519/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 682, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",en
1351464263240466432,2021-01-19 09:39:24,"Moments to cherish for #TeamIndia 🇮🇳

#AUSvIND https://t.co/Ujppsb3nfU",59083,6719,"{'hashtags': [{'text': 'TeamIndia', 'indices': [23, 33]}, {'text': 'AUSvIND', 'indices': [38, 46]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351462276159602694, 'id_str': '1351462276159602694', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351462276159602694/pu/img/KaAvjRRr5xSpGpAN.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351462276159602694/pu/img/KaAvjRRr5xSpGpAN.jpg', 'url': 'https://t.co/Ujppsb3nfU', 'display_url': 'pic.twitter.com/Ujppsb3nfU', 'expanded_url': 'https://twitter.com/BCCI/status/1351464263240466432/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",en
1351462007862554628,2021-01-19 09:30:26,RT @ajinkyarahane88: Proud to be a part of this unit 🇮🇳 https://t.co/bZZupXEAfE,0,30382,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ajinkyarahane88', 'name': 'Ajinkya Rahane', 'id': 361315016, 'id_str': '361315016', 'indices': [3, 19]}], 'urls': [], 'media': [{'id': 1351461603615547392, 'id_str': '1351461603615547392', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/EsFbKwsVoAA2QnS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsFbKwsVoAA2QnS.jpg', 'url': 'https://t.co/bZZupXEAfE', 'display_url': 'pic.twitter.com/bZZupXEAfE', 'expanded_url': 'https://twitter.com/ajinkyarahane88/status/1351461621273563139/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 654, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 654, 'resize': 'fit'}, 'small': {'w': 680, 'h': 434, 'resize': 'fit'}}, 'source_status_id': 1351461621273563139, 'source_status_id_str': '1351461621273563139', 'source_user_id': 361315016, 'source_user_id_str': '361315016'}]}",en
1351460459010920448,2021-01-19 09:24:17,"RT @y_umesh: A performance we will remember forever.😍 Congratulations #TeamIndia A brilliant series, terrific brand of cricket on display.…",0,2919,"{'hashtags': [{'text': 'TeamIndia', 'indices': [70, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'y_umesh', 'name': 'Umesh Yaadav', 'id': 321866313, 'id_str': '321866313', 'indices': [3, 11]}], 'urls': []}",en
1351459661732409344,2021-01-19 09:21:06,"🙌🙌

#TeamIndia https://t.co/mVQIKTZuty",16727,824,"{'hashtags': [{'text': 'TeamIndia', 'indices': [4, 14]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mVQIKTZuty', 'expanded_url': 'https://twitter.com/HomeOfCricket/status/1351458855050485761', 'display_url': 'twitter.com/HomeOfCricket/…', 'indices': [15, 38]}]}",und
1351459261470056448,2021-01-19 09:19:31,"RT @Jaspritbumrah93: This is a win we’re never forgetting, this is a win for the ages! So proud of this team, Jai Hind  🇮🇳 CHAMPIONS🏆 https…",0,13794,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jaspritbumrah93', 'name': 'Jasprit Bumrah', 'id': 858720042938249216, 'id_str': '858720042938249216', 'indices': [3, 19]}], 'urls': []}",en
1351459211981459459,2021-01-19 09:19:19,RT @YUVSTRONG12: This win is going in history books ! Young team beating a experienced Australian side I don’t think I was so proud while I…,0,8175,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YUVSTRONG12', 'name': 'Yuvraj Singh', 'id': 59808841, 'id_str': '59808841', 'indices': [3, 15]}], 'urls': []}",en
1351456056174469122,2021-01-19 09:06:47,"RT @sachin_rt: For all of us in 🇮🇳 &amp; across the world, if you ever score 36 or lesser in life, remember: it isn't end of the world.
The spr…",0,30490,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sachin_rt', 'name': 'Sachin Tendulkar', 'id': 135421739, 'id_str': '135421739', 'indices': [3, 13]}], 'urls': []}",en
1351453551734661120,2021-01-19 08:56:50,RT @Sundarwashi5: HISTORY CREATED 🇮🇳 #TeamIndia https://t.co/OqCgYmECuy,0,14151,"{'hashtags': [{'text': 'TeamIndia', 'indices': [37, 47]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Sundarwashi5', 'name': 'Washington Sundar', 'id': 759385549069164546, 'id_str': '759385549069164546', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1351453038741843968, 'id_str': '1351453038741843968', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EsFTYODUcAAJL1v.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsFTYODUcAAJL1v.jpg', 'url': 'https://t.co/OqCgYmECuy', 'display_url': 'pic.twitter.com/OqCgYmECuy', 'expanded_url': 'https://twitter.com/Sundarwashi5/status/1351453055305228289/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 600, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}}, 'source_status_id': 1351453055305228289, 'source_status_id_str': '1351453055305228289', 'source_user_id': 759385549069164546, 'source_user_id_str': '759385549069164546'}]}",en
