id,created_at,text,favorites,retweets,entities,language
1351952346327220224,2021-01-20 17:58:52,"Vocês pediram e chegou a hora da técnica da Seleção Feminina, @PiaSundhage, responder os comentários dos torcedores… https://t.co/jRHAN9NObH",110,11,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PiaSundhage', 'name': 'Pia Sundhage', 'id': 1306711808158433280, 'id_str': '1306711808158433280', 'indices': [62, 74]}], 'urls': [{'url': 'https://t.co/jRHAN9NObH', 'expanded_url': 'https://twitter.com/i/web/status/1351952346327220224', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351642202972237827,2021-01-19 21:26:28,"Manga, goleiro que fez história no futebol brasileiro e na #SeleçãoBrasileira, também está na campanha pela vacinaç… https://t.co/jV6x8Pd2Sw",132,9,"{'hashtags': [{'text': 'SeleçãoBrasileira', 'indices': [59, 77]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jV6x8Pd2Sw', 'expanded_url': 'https://twitter.com/i/web/status/1351642202972237827', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351606295497990145,2021-01-19 19:03:47,"O período de preparação da #SeleçãoFeminina em Viamão está chegando ao fim!

A técnica Pia Sundhage fez uma análise… https://t.co/aXTsAIBCZ8",140,7,"{'hashtags': [{'text': 'SeleçãoFeminina', 'indices': [27, 43]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aXTsAIBCZ8', 'expanded_url': 'https://twitter.com/i/web/status/1351606295497990145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351596674406363137,2021-01-19 18:25:33,"A @CBF_eSelecao anunciou hoje seu primeiro patrocinador oficial. Seja bem-vinda @MAXRACEROFICIAL!

Para abrir os tr… https://t.co/veWBZWganF",157,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CBF_eSelecao', 'name': 'CBF eSeleção', 'id': 1249726043348520969, 'id_str': '1249726043348520969', 'indices': [2, 15]}, {'screen_name': 'MAXRACEROFICIAL', 'name': 'MAXRACERBR', 'id': 891671378247733248, 'id_str': '891671378247733248', 'indices': [80, 96]}], 'urls': [{'url': 'https://t.co/veWBZWganF', 'expanded_url': 'https://twitter.com/i/web/status/1351596674406363137', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351566519847809029,2021-01-19 16:25:43,"Todo título tem um momento que fica marcado na memória, né? Na Copa do Mundo Sub-17, esse momento veio pelos pés de… https://t.co/3F9dEnGJoi",5466,694,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3F9dEnGJoi', 'expanded_url': 'https://twitter.com/i/web/status/1351566519847809029', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351559546960011268,2021-01-19 15:58:01,Dia de muita emoção no @BrasileiraoB__ https://t.co/TlusmB8QIw,102,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrasileiraoB__', 'name': 'Brasileirão Série B', 'id': 1286309326014107651, 'id_str': '1286309326014107651', 'indices': [23, 38]}], 'urls': [{'url': 'https://t.co/TlusmB8QIw', 'expanded_url': 'https://twitter.com/BrasileiraoB__/status/1351545966411862016', 'display_url': 'twitter.com/BrasileiraoB__…', 'indices': [39, 62]}]}",pt
1351283743382761473,2021-01-18 21:42:04,"Se liga na tabela detalhada da final da Série C entre Vila Nova e Remo!

LINK &gt; &gt; https://t.co/scYVT3pHpH https://t.co/C94INN3i3w",142,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/scYVT3pHpH', 'expanded_url': 'https://bit.ly/3qwQoxw', 'display_url': 'bit.ly/3qwQoxw', 'indices': [88, 111]}], 'media': [{'id': 1351283741017186304, 'id_str': '1351283741017186304', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/EsC5Zy4XIAAcU4b.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsC5Zy4XIAAcU4b.jpg', 'url': 'https://t.co/C94INN3i3w', 'display_url': 'pic.twitter.com/C94INN3i3w', 'expanded_url': 'https://twitter.com/CBF_Futebol/status/1351283743382761473/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 910, 'h': 392, 'resize': 'fit'}, 'small': {'w': 680, 'h': 293, 'resize': 'fit'}, 'large': {'w': 910, 'h': 392, 'resize': 'fit'}}}]}",pt
1351273885132615682,2021-01-18 21:02:54,"Representantes da arbitragem brasileira no Mundial, Edina Alves e Neuza Back concluíram os testes físicos antes da… https://t.co/dn1nnRWRZs",168,9,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/dn1nnRWRZs', 'expanded_url': 'https://twitter.com/i/web/status/1351273885132615682', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",pt
1351249341550387207,2021-01-18 19:25:22,Bola rolou hoje para a #SeleçãoFeminina  em Viamão! Mais um passo na preparação da equipe para os próximos desafios… https://t.co/LHbQIsc76z,255,7,"{'hashtags': [{'text': 'SeleçãoFeminina', 'indices': [23, 39]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LHbQIsc76z', 'expanded_url': 'https://twitter.com/i/web/status/1351249341550387207', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351235515119493122,2021-01-18 18:30:26,"André Jardine acompanhou decisão do Brasileiro Sub-20. Trabalho de observação continua!

Saiba mais &gt;&gt;… https://t.co/WpP5HoblTa",119,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WpP5HoblTa', 'expanded_url': 'https://twitter.com/i/web/status/1351235515119493122', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",pt
