id,created_at,text,favorites,retweets,entities,language
1351955870737903618,2021-01-20 18:12:52,RT @ChampionsLeague: 🤔🤔🤔,0,64,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChampionsLeague', 'name': 'UEFA Champions League', 'id': 627673190, 'id_str': '627673190', 'indices': [3, 19]}], 'urls': []}",und
1351939825226625024,2021-01-20 17:09:06,"RT @ChampionsLeague: 🔟 Your all-time favourite number 10?

#UCL",0,349,"{'hashtags': [{'text': 'UCL', 'indices': [59, 63]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ChampionsLeague', 'name': 'UEFA Champions League', 'id': 627673190, 'id_str': '627673190', 'indices': [3, 19]}], 'urls': []}",en
1351933068131643394,2021-01-20 16:42:15,"🏆 Cristiano Ronaldo's best season = _______

#UCL https://t.co/9dQwSSYkdX",6893,382,"{'hashtags': [{'text': 'UCL', 'indices': [45, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351932608356241408, 'id_str': '1351932608356241408', 'indices': [50, 73], 'media_url': 'http://pbs.twimg.com/media/EsMHi2FXUAAQ_fR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMHi2FXUAAQ_fR.jpg', 'url': 'https://t.co/9dQwSSYkdX', 'display_url': 'pic.twitter.com/9dQwSSYkdX', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1351933068131643394/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1920, 'resize': 'fit'}}}]}",en
1351913863650947072,2021-01-20 15:25:57,"When Sergio Ramos inspired Real Madrid to a famous victory in Munich 🚫⚽️⚽️

#UCL | @realmadriden | @SergioRamos https://t.co/f5Od7diXr9",5711,705,"{'hashtags': [{'text': 'UCL', 'indices': [76, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'realmadriden', 'name': 'Real Madrid C.F. 🇬🇧🇺🇸', 'id': 452155423, 'id_str': '452155423', 'indices': [83, 96]}, {'screen_name': 'SergioRamos', 'name': 'Sergio Ramos', 'id': 151123001, 'id_str': '151123001', 'indices': [99, 111]}], 'urls': [], 'media': [{'id': 1351913290126012420, 'id_str': '1351913290126012420', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351913290126012420/img/vD3DHErPFnA0XVSi.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351913290126012420/img/vD3DHErPFnA0XVSi.jpg', 'url': 'https://t.co/f5Od7diXr9', 'display_url': 'pic.twitter.com/f5Od7diXr9', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1351913863650947072/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351905780967079938,2021-01-20 14:53:50,"RT @Thiago6: Thanks for voting 🙌🏽
#TeamOfTheYear https://t.co/mdJ1AM1F7x",0,381,"{'hashtags': [{'text': 'TeamOfTheYear', 'indices': [34, 48]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Thiago6', 'name': 'Thiago Alcantara', 'id': 152987149, 'id_str': '152987149', 'indices': [3, 11]}], 'urls': [{'url': 'https://t.co/mdJ1AM1F7x', 'expanded_url': 'https://twitter.com/championsleague/status/1351853398572888067', 'display_url': 'twitter.com/championsleagu…', 'indices': [49, 72]}]}",en
1351899309881618432,2021-01-20 14:28:07,"🏟️ Anfield 😍

👀 What's your favourite Champions League goal scored here?

#UCL https://t.co/rQzzMa3IA5",3769,180,"{'hashtags': [{'text': 'UCL', 'indices': [74, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351899143493529601, 'id_str': '1351899143493529601', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/EsLpG7wWMAExAAn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLpG7wWMAExAAn.jpg', 'url': 'https://t.co/rQzzMa3IA5', 'display_url': 'pic.twitter.com/rQzzMa3IA5', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1351899309881618432/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 734, 'resize': 'fit'}, 'small': {'w': 680, 'h': 416, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1252, 'resize': 'fit'}}}]}",en
1351893718509481986,2021-01-20 14:05:54,"Veteran defender Alessandro Nesta denies Leo Messi in 2011 💪

#UCL | @Nesta https://t.co/miptp5xw4g",5657,519,"{'hashtags': [{'text': 'UCL', 'indices': [62, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nesta', 'name': 'Alessandro Nesta', 'id': 527883269, 'id_str': '527883269', 'indices': [69, 75]}], 'urls': [], 'media': [{'id': 1351891863133941762, 'id_str': '1351891863133941762', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1351891863133941762/img/GPB4RVO_XPZXynqB.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1351891863133941762/img/GPB4RVO_XPZXynqB.jpg', 'url': 'https://t.co/miptp5xw4g', 'display_url': 'pic.twitter.com/miptp5xw4g', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1351893718509481986/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",it
1351891471427887104,2021-01-20 13:56:58,"RT @UWCL: 🏆 The first ever UEFA Women's Fans' #TeamOfTheYear🏆

🇫🇷 @BouhaddiSarah 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 @LucyBronze
🇫🇷 @keishaballa
🇫🇷 @WRenard
🇸🇪 @Magda…",0,170,"{'hashtags': [{'text': 'TeamOfTheYear', 'indices': [46, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UWCL', 'name': 'UEFA Women’s Champions League', 'id': 1870965888, 'id_str': '1870965888', 'indices': [3, 8]}, {'screen_name': 'BouhaddiSarah', 'name': 'Bouhaddi sarah', 'id': 635303790, 'id_str': '635303790', 'indices': [66, 80]}, {'screen_name': 'LucyBronze', 'name': 'Lucy Bronze', 'id': 98357422, 'id_str': '98357422', 'indices': [90, 101]}, {'screen_name': 'keishaballa', 'name': 'Kadeisha Buchanan', 'id': 329481491, 'id_str': '329481491', 'indices': [105, 117]}, {'screen_name': 'WRenard', 'name': 'Wendie Renard', 'id': 547718270, 'id_str': '547718270', 'indices': [121, 129]}], 'urls': []}",en
1351889199079821313,2021-01-20 13:47:56,https://t.co/VTgGB7LSv6 https://t.co/DdQ7OiqfP6,1229,65,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VTgGB7LSv6', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1351873485031813122', 'display_url': 'twitter.com/ChampionsLeagu…', 'indices': [0, 23]}], 'media': [{'id': 1351889011128872960, 'id_str': '1351889011128872960', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EsLf5JwXMAA5tvD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLf5JwXMAA5tvD.jpg', 'url': 'https://t.co/DdQ7OiqfP6', 'display_url': 'pic.twitter.com/DdQ7OiqfP6', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1351889199079821313/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1114, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 631, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1901, 'h': 2048, 'resize': 'fit'}}}]}",und
1351883167536467968,2021-01-20 13:23:58,"👀 Three debutants in UEFA Men's Team of the Year 2020...

🔝 Who impressed you most?

#TeamOfTheYear",1607,138,"{'hashtags': [{'text': 'TeamOfTheYear', 'indices': [85, 99]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
