id,created_at,text,favorites,retweets,entities,language
1351934020821479425,2021-01-20 16:46:02,Singams for the Super Summer ahead! #Yellove #WhistlePodu 🦁💛 https://t.co/nZAbIxgnPW,20455,3729,"{'hashtags': [{'text': 'Yellove', 'indices': [36, 44]}, {'text': 'WhistlePodu', 'indices': [45, 57]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351934007299112963, 'id_str': '1351934007299112963', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/EsMI0RjVgAMahLX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMI0RjVgAMahLX.jpg', 'url': 'https://t.co/nZAbIxgnPW', 'display_url': 'pic.twitter.com/nZAbIxgnPW', 'expanded_url': 'https://twitter.com/ChennaiIPL/status/1351934020821479425/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",en
1351879329035165698,2021-01-20 13:08:43,"All the #Yellove, @JadhavKedar for etching a sweet victory on the dream comeback and the super memories!… https://t.co/s5cQRAGB00",17800,1752,"{'hashtags': [{'text': 'Yellove', 'indices': [8, 16]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JadhavKedar', 'name': 'IamKedar', 'id': 339099296, 'id_str': '339099296', 'indices': [18, 30]}], 'urls': [{'url': 'https://t.co/s5cQRAGB00', 'expanded_url': 'https://twitter.com/i/web/status/1351879329035165698', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}",en
1351878800850649088,2021-01-20 13:06:37,"Will M.S you, for all the smiles and good times! Keep Whistling for us! #Yellove #WhistlePodu 💛🦁 https://t.co/16NOw1NEh1",10422,1027,"{'hashtags': [{'text': 'Yellove', 'indices': [72, 80]}, {'text': 'WhistlePodu', 'indices': [81, 93]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351878785293926400, 'id_str': '1351878785293926400', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EsLWl7jUwAAT1KZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLWl7jUwAAT1KZ.jpg', 'url': 'https://t.co/16NOw1NEh1', 'display_url': 'pic.twitter.com/16NOw1NEh1', 'expanded_url': 'https://twitter.com/ChennaiIPL/status/1351878800850649088/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",en
1351874961040838658,2021-01-20 12:51:21,Super memories with the special Monk over the years! #Anbuden will salute the master forever! #Yellove #WhistlePodu… https://t.co/ziTsVvRk0M,14383,1488,"{'hashtags': [{'text': 'Anbuden', 'indices': [53, 61]}, {'text': 'Yellove', 'indices': [94, 102]}, {'text': 'WhistlePodu', 'indices': [103, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ziTsVvRk0M', 'expanded_url': 'https://twitter.com/i/web/status/1351874961040838658', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351873687511736322,2021-01-20 12:46:18,Kneenga Vera level Watto Legend! Nandri from all of the #Yellove blood clans for the thrilling finales!… https://t.co/6UxDk9xoVV,27408,3490,"{'hashtags': [{'text': 'Yellove', 'indices': [56, 64]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6UxDk9xoVV', 'expanded_url': 'https://twitter.com/i/web/status/1351873687511736322', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",en
1351872106955304962,2021-01-20 12:40:01,"Super thanks, for touching our hearts with the leather turns, Piyush Bhai! #Yellove #WhistlePodu 🦁💛 https://t.co/f18tT0mpuF",15801,1505,"{'hashtags': [{'text': 'Yellove', 'indices': [75, 83]}, {'text': 'WhistlePodu', 'indices': [84, 96]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351872096335400964, 'id_str': '1351872096335400964', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EsLQglPVkAQTLUg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLQglPVkAQTLUg.jpg', 'url': 'https://t.co/f18tT0mpuF', 'display_url': 'pic.twitter.com/f18tT0mpuF', 'expanded_url': 'https://twitter.com/ChennaiIPL/status/1351872106955304962/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",en
1351870420794761219,2021-01-20 12:33:19,"Thank you for all the #Yellove outings, Bhajju pa! Keep spreading the Pulamai, everywhere you go! #WhistlePodu 💛🦁… https://t.co/xuWYSVQOZV",16810,1725,"{'hashtags': [{'text': 'Yellove', 'indices': [22, 30]}, {'text': 'WhistlePodu', 'indices': [98, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xuWYSVQOZV', 'expanded_url': 'https://twitter.com/i/web/status/1351870420794761219', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}",en
1351863769664692233,2021-01-20 12:06:53,"According to Leo, #Yellove finish with SIX and bid adieu emotions, coming soon! #StayTuned 🦁💛",29156,3513,"{'hashtags': [{'text': 'Yellove', 'indices': [18, 26]}, {'text': 'StayTuned', 'indices': [80, 90]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1347422978007465985,2021-01-08 06:00:46,Super Birthday to our wonder from Down Under. May the Josh only get higher and higher! 🦁💛 #WhistlePodu #Yellove https://t.co/dRpY32g3JU,21982,1083,"{'hashtags': [{'text': 'WhistlePodu', 'indices': [90, 102]}, {'text': 'Yellove', 'indices': [103, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1347422959917441025, 'id_str': '1347422959917441025', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/ErMCCwgVoAEczy_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ErMCCwgVoAEczy_.jpg', 'url': 'https://t.co/dRpY32g3JU', 'display_url': 'pic.twitter.com/dRpY32g3JU', 'expanded_url': 'https://twitter.com/ChennaiIPL/status/1347422978007465985/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}}}]}",en
1344712652535201793,2020-12-31 18:30:54,"We all know 2020 won. 
With hope, let's welcome 2021. 🦁💛 #Super2021 #HappyNewYear #WhistlePodu https://t.co/P1ySlSuYuN",19704,1460,"{'hashtags': [{'text': 'Super2021', 'indices': [57, 67]}, {'text': 'HappyNewYear', 'indices': [68, 81]}, {'text': 'WhistlePodu', 'indices': [82, 94]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1344712650198929408, 'id_str': '1344712650198929408', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EqlhB-AU0AAyg54.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EqlhB-AU0AAyg54.jpg', 'url': 'https://t.co/P1ySlSuYuN', 'display_url': 'pic.twitter.com/P1ySlSuYuN', 'expanded_url': 'https://twitter.com/ChennaiIPL/status/1344712652535201793/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 819, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}]}",en
