id,created_at,text,favorites,retweets,entities,language
1351967732602814465,2021-01-20 19:00:00,"Seja para trabalhar, estudar ou torcer para o Timão, o Computador All in One Positivo Union atende a todas as neces… https://t.co/KNqoumf97D",358,10,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KNqoumf97D', 'expanded_url': 'https://twitter.com/i/web/status/1351967732602814465', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351945083348635648,2021-01-20 17:30:00,"🎙️ Fala, Jemerson: ""Sabemos que amanhã já tem outro jogo difícil, e uma oportunidade de reverter esse sentimento qu… https://t.co/uhqSYXGFPJ",1014,31,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uhqSYXGFPJ', 'expanded_url': 'https://twitter.com/i/web/status/1351945083348635648', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351944118193315840,2021-01-20 17:26:10,"Um ídolo desse tamanho transmitindo sua vivência de Timão e de vida! 🥰

#RespeitaAsMinas 
#VaiCorinthians 

https://t.co/H4aZbvS2g2",1049,61,"{'hashtags': [{'text': 'RespeitaAsMinas', 'indices': [72, 88]}, {'text': 'VaiCorinthians', 'indices': [90, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/H4aZbvS2g2', 'expanded_url': 'https://twitter.com/SCCPFutFeminino/status/1351924547260452866', 'display_url': 'twitter.com/SCCPFutFeminin…', 'indices': [108, 131]}]}",pt
1351922433167659009,2021-01-20 16:00:00,"Todo Poderoso Saldão! Aproveite as super ofertas na lista de produtos e garanta já o seu, Fiel. 🏴🏳

Só na ShopTimão… https://t.co/eZiNvDsxeY",668,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eZiNvDsxeY', 'expanded_url': 'https://twitter.com/i/web/status/1351922433167659009', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351907344381308930,2021-01-20 15:00:02,"Fiel, o segundo turno do @NBB para o @corinthiansbskt vai começar! Confira o calendário das partidas! 🏀… https://t.co/4ehsJ49aCX",638,31,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NBB', 'name': 'NBB', 'id': 18079515, 'id_str': '18079515', 'indices': [25, 29]}, {'screen_name': 'corinthiansbskt', 'name': 'Corinthians Basquete', 'id': 1168596782441537536, 'id_str': '1168596782441537536', 'indices': [37, 53]}], 'urls': [{'url': 'https://t.co/4ehsJ49aCX', 'expanded_url': 'https://twitter.com/i/web/status/1351907344381308930', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",pt
1351899786228625408,2021-01-20 14:30:00,"Em instantes, o zagueiro Jemerson concederá coletiva online no CT Dr. Joaquim Grava. Você pode acompanhar AO VIVO p… https://t.co/JLDkkBjGgW",1049,31,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JLDkkBjGgW', 'expanded_url': 'https://twitter.com/i/web/status/1351899786228625408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351625076039417857,2021-01-19 20:18:24,"O Corinthians perdeu um ídolo nesta terça. O centroavante Zague, que atuou no Timão entre 1956 e 1961 (anotando 127… https://t.co/aRf9XZjgzX",3165,199,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aRf9XZjgzX', 'expanded_url': 'https://twitter.com/i/web/status/1351625076039417857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351620443774574599,2021-01-19 20:00:00,"#NesteDia, há 27 anos, estreava pelo Timão um dos maiores ídolos da nossa história! Marcelinho Carioca vestia o man… https://t.co/4w6IROQObk",1923,84,"{'hashtags': [{'text': 'NesteDia', 'indices': [0, 9]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4w6IROQObk', 'expanded_url': 'https://twitter.com/i/web/status/1351620443774574599', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",pt
1351604293237960710,2021-01-19 18:55:49,"Multicampeão como atleta do Coringão, Danilo terá um novo desafio por aqui! 😎

O nosso ídolo é o novo treinador do… https://t.co/55d9oEtUaB",5582,465,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/55d9oEtUaB', 'expanded_url': 'https://twitter.com/i/web/status/1351604293237960710', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",pt
1351596276970876929,2021-01-19 18:23:58,"20+8+359+35 = 🤔

📸 Rodrigo Coca/Agência Corinthians 

#VaiCorinthians https://t.co/GpTNb4jKFc",3964,179,"{'hashtags': [{'text': 'VaiCorinthians', 'indices': [54, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351596188592697345, 'id_str': '1351596188592697345', 'indices': [70, 93], 'media_url': 'http://pbs.twimg.com/media/EsHVkozW8AEYi_9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsHVkozW8AEYi_9.jpg', 'url': 'https://t.co/GpTNb4jKFc', 'display_url': 'pic.twitter.com/GpTNb4jKFc', 'expanded_url': 'https://twitter.com/Corinthians/status/1351596276970876929/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1280, 'h': 851, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 798, 'resize': 'fit'}, 'small': {'w': 680, 'h': 452, 'resize': 'fit'}}}]}",pt
