id,created_at,text,favorites,retweets,entities,language
1351953387689029641,2021-01-20 18:03:00,"Did he mean it!? 😮

🇧🇷 Hulk with a GOLAZO for Zenit in 2015! 🔥

@fczenit_en | #UEL https://t.co/CBrE9nVnec",521,35,"{'hashtags': [{'text': 'UEL', 'indices': [78, 82]}], 'symbols': [], 'user_mentions': [{'screen_name': 'fczenit_en', 'name': 'FC Zenit in English✨', 'id': 728031373, 'id_str': '728031373', 'indices': [64, 75]}], 'urls': [], 'media': [{'id': 1351864247622508550, 'id_str': '1351864247622508550', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/EsLKk-jXIAEt9Z1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLKk-jXIAEt9Z1.jpg', 'url': 'https://t.co/CBrE9nVnec', 'display_url': 'pic.twitter.com/CBrE9nVnec', 'expanded_url': 'https://twitter.com/EuropaLeague/status/1351953387689029641/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 937, 'h': 933, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 677, 'resize': 'fit'}, 'large': {'w': 937, 'h': 933, 'resize': 'fit'}}}]}",en
1351945334428217347,2021-01-20 17:31:00,"Power = 💯

✍️ Lyon signed @Memphis Depay on this day in 2017 🔵🔴

@OL | #OTD | #UEL https://t.co/Oq64J12qot",623,49,"{'hashtags': [{'text': 'OTD', 'indices': [71, 75]}, {'text': 'UEL', 'indices': [78, 82]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Memphis', 'name': 'Memphis Depay', 'id': 279966754, 'id_str': '279966754', 'indices': [26, 34]}, {'screen_name': 'OL', 'name': 'Olympique Lyonnais', 'id': 33893706, 'id_str': '33893706', 'indices': [65, 68]}], 'urls': [], 'media': [{'id': 1317014346803957761, 'id_str': '1317014346803957761', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/Ekb67HaXgAEGKsc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ekb67HaXgAEGKsc.jpg', 'url': 'https://t.co/Oq64J12qot', 'display_url': 'pic.twitter.com/Oq64J12qot', 'expanded_url': 'https://twitter.com/EuropaLeague/status/1351945334428217347/video/1', 'type': 'photo', 'sizes': {'large': {'w': 936, 'h': 933, 'resize': 'fit'}, 'medium': {'w': 936, 'h': 933, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 678, 'resize': 'fit'}}}]}",en
1351936639338246148,2021-01-20 16:56:27,"Who's winning this in 2021? 🏆🤩

#UEL https://t.co/J0JIn9N84a",530,21,"{'hashtags': [{'text': 'UEL', 'indices': [32, 36]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1132727253924765696, 'id_str': '1132727253924765696', 'indices': [37, 60], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1132727253924765696/img/b7ngtII4QNvc2hNn.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1132727253924765696/img/b7ngtII4QNvc2hNn.jpg', 'url': 'https://t.co/J0JIn9N84a', 'display_url': 'pic.twitter.com/J0JIn9N84a', 'expanded_url': 'https://twitter.com/EuropaLeague/status/1351936639338246148/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
1351921860645171200,2021-01-20 15:57:43,🔴⚪️ Only 4 players in history have reached 6 league goals for PSV at a younger age than wonderkid Noni Madueke - a… https://t.co/HukN220Gm1,665,38,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HukN220Gm1', 'expanded_url': 'https://twitter.com/i/web/status/1351921860645171200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351910513584832524,2021-01-20 15:12:38,"🤯 Dominik Livaković double save! 

@gnkdinamo | #UEL https://t.co/2vUDMqnTaY",585,56,"{'hashtags': [{'text': 'UEL', 'indices': [48, 52]}], 'symbols': [], 'user_mentions': [{'screen_name': 'gnkdinamo', 'name': 'GNK Dinamo', 'id': 224965118, 'id_str': '224965118', 'indices': [35, 45]}], 'urls': [], 'media': [{'id': 1351905921849548806, 'id_str': '1351905921849548806', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EsLwVc9XYAIx9kM.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLwVc9XYAIx9kM.jpg', 'url': 'https://t.co/2vUDMqnTaY', 'display_url': 'pic.twitter.com/2vUDMqnTaY', 'expanded_url': 'https://twitter.com/EuropaLeague/status/1351910513584832524/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 938, 'h': 937, 'resize': 'fit'}, 'medium': {'w': 938, 'h': 937, 'resize': 'fit'}, 'small': {'w': 680, 'h': 679, 'resize': 'fit'}}}]}",und
1351890364660150275,2021-01-20 13:52:34,"🎯 Late free-kick...
🤔 Who do you want to step up?

#UEL",461,38,"{'hashtags': [{'text': 'UEL', 'indices': [51, 55]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351888287724658689,2021-01-20 13:44:19,RT @EuropaLeague: 👀 Name a player you 'spotted' before anyone else...,0,56,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EuropaLeague', 'name': 'UEFA Europa League', 'id': 789605024, 'id_str': '789605024', 'indices': [3, 16]}], 'urls': []}",en
1351867540675436545,2021-01-20 12:21:52,"🦊 Leicester = Premier League table-toppers 👏

🤔 What can they achieve in 2021? 

#UEL https://t.co/pMVcHqa8IT",840,30,"{'hashtags': [{'text': 'UEL', 'indices': [81, 85]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351866774946512897, 'id_str': '1351866774946512897', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EsLLq1hXAAEm5rw.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLLq1hXAAEm5rw.jpg', 'url': 'https://t.co/pMVcHqa8IT', 'display_url': 'pic.twitter.com/pMVcHqa8IT', 'expanded_url': 'https://twitter.com/EuropaLeague/status/1351867540675436545/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1238, 'resize': 'fit'}, 'small': {'w': 680, 'h': 411, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 725, 'resize': 'fit'}}}]}",en
1351866002473148416,2021-01-20 12:15:46,"RT @ChampionsLeague: 🎇 UEFA Men's Team of the Year 2020 🎇

Almost 6 million votes! 🤯  Thanks for taking part 🙌

Who would be your captain?…",0,1506,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChampionsLeague', 'name': 'UEFA Champions League', 'id': 627673190, 'id_str': '627673190', 'indices': [3, 19]}], 'urls': []}",en
1351840047063031808,2021-01-20 10:32:37,"⚫️🔴 Who's been Leverkusen's MVP so far this season? 🌟

#UEL https://t.co/8R37WosdYC",914,36,"{'hashtags': [{'text': 'UEL', 'indices': [55, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351839623123763205, 'id_str': '1351839623123763205', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/EsKy-ZGXAAUWC3e.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKy-ZGXAAUWC3e.jpg', 'url': 'https://t.co/8R37WosdYC', 'display_url': 'pic.twitter.com/8R37WosdYC', 'expanded_url': 'https://twitter.com/EuropaLeague/status/1351840047063031808/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",en
