id,created_at,text,favorites,retweets,entities,language
1351981806606831616,2021-01-20 19:55:55,🇩🇰 @MartinBraith 🎯 https://t.co/2Zw8PumVGA,108,6,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MartinBraith', 'name': 'Martin Braithwaite', 'id': 509183853, 'id_str': '509183853', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1351981786750980096, 'id_str': '1351981786750980096', 'indices': [19, 42], 'media_url': 'http://pbs.twimg.com/media/EsM0RqbXEAMl_TJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsM0RqbXEAMl_TJ.jpg', 'url': 'https://t.co/2Zw8PumVGA', 'display_url': 'pic.twitter.com/2Zw8PumVGA', 'expanded_url': 'https://twitter.com/FCBarcelona_cat/status/1351981806606831616/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",und
1351975282274537478,2021-01-20 19:30:00,"🔥 #BarçaBestMatchEver 🔥

En marxa la votació de la segona semifinal. Tens temps fins dijous al matí! ⏳",88,8,"{'hashtags': [{'text': 'BarçaBestMatchEver', 'indices': [2, 21]}], 'symbols': [], 'user_mentions': [], 'urls': []}",ca
1351967822226841601,2021-01-20 19:00:21,"⏰ HORARI CONFIRMAT
🏆 @LaLiga, jornada 22
⚽ #BetisBarça
🗓 07/02 - 21h
🔵🔴 #ForçaBarça https://t.co/jDGMWSFadX",194,12,"{'hashtags': [{'text': 'BetisBarça', 'indices': [43, 54]}, {'text': 'ForçaBarça', 'indices': [72, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LaLiga', 'name': 'LaLiga', 'id': 423384542, 'id_str': '423384542', 'indices': [21, 28]}], 'urls': [], 'media': [{'id': 1351967816493232128, 'id_str': '1351967816493232128', 'indices': [84, 107], 'media_url': 'http://pbs.twimg.com/media/EsMnkOnW8AAx5KR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMnkOnW8AAx5KR.jpg', 'url': 'https://t.co/jDGMWSFadX', 'display_url': 'pic.twitter.com/jDGMWSFadX', 'expanded_url': 'https://twitter.com/FCBarcelona_cat/status/1351967822226841601/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1280, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}}}]}",es
1351960183182921732,2021-01-20 18:30:00,"🔙 Fa unes setmanes...
📍 Ciutat Esportiva Joan Gamper
🚗 Així va ser l'entrega dels nous @Cupra 
📲 Vídeo complet: https://t.co/77peeq1IsB",126,12,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CUPRA', 'name': 'CUPRA', 'id': 1268169925165809664, 'id_str': '1268169925165809664', 'indices': [87, 93]}], 'urls': [{'url': 'https://t.co/77peeq1IsB', 'expanded_url': 'https://youtu.be/9guvi_ewF9g', 'display_url': 'youtu.be/9guvi_ewF9g', 'indices': [112, 135]}]}",ca
1351947599020888065,2021-01-20 17:40:00,"⭐ Millor Equip del 2020 de la UEFA ⭐
👤 Leo #Messi
👤 @kheirahamraoui",225,21,"{'hashtags': [{'text': 'Messi', 'indices': [43, 49]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kheirahamraoui', 'name': 'Kheira Hamraoui', 'id': 4696502532, 'id_str': '4696502532', 'indices': [52, 67]}], 'urls': []}",es
1351916277477089288,2021-01-20 15:35:32,"Preparant el duel contra el Cornellà d'aquest dijous 💪 #CornellaBarça

https://t.co/4T0QeINzC9",399,17,"{'hashtags': [{'text': 'CornellaBarça', 'indices': [55, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351909867062222850, 'id_str': '1351909867062222850', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EsLy3IKW4AIG-83.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLy3IKW4AIG-83.jpg', 'url': 'https://t.co/4T0QeINzC9', 'display_url': 'pic.twitter.com/4T0QeINzC9', 'expanded_url': 'https://twitter.com/FCBarcelona_es/status/1351909869733998595/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}}, 'source_status_id': 1351909869733998595, 'source_status_id_str': '1351909869733998595', 'source_user_id': 112764971, 'source_user_id_str': '112764971'}]}",ca
1351880148233166848,2021-01-20 13:11:58,"✅ Cornellà- Juvenil B (0-2)
✅ Cornellà- Juvenil A (3-4)
✅ Cornellà- @FCBarcelonaB (0-1)
🔜 #CornellàBarça

https://t.co/dDjeYvfYg7",262,15,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [90, 104]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FCBarcelonaB', 'name': 'FC Barcelona B', 'id': 869855519435091968, 'id_str': '869855519435091968', 'indices': [68, 81]}], 'urls': [{'url': 'https://t.co/dDjeYvfYg7', 'expanded_url': 'http://barca.link/jPGO50DdnCX', 'display_url': 'barca.link/jPGO50DdnCX', 'indices': [106, 129]}]}",it
1351867485763600384,2021-01-20 12:21:39,🔊 @RonaldKoeman parla sobre la sanció a Leo #Messi https://t.co/cigeLykyvL,246,12,"{'hashtags': [{'text': 'Messi', 'indices': [44, 50]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [2, 15]}], 'urls': [], 'media': [{'id': 1351867452595052545, 'id_str': '1351867452595052545', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EsLMS0SXUAIfQdd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLMS0SXUAIfQdd.jpg', 'url': 'https://t.co/cigeLykyvL', 'display_url': 'pic.twitter.com/cigeLykyvL', 'expanded_url': 'https://twitter.com/FCBarcelona_cat/status/1351867485763600384/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",es
1351866127077539842,2021-01-20 12:16:15,"🔊 @RonaldKoeman: ""Sempre tenim ulls al Barça B per donar pas a gent que creiem que pot ser el futur"" #ForçaBarça 🔵🔴 https://t.co/k2KTtd2V0h",167,12,"{'hashtags': [{'text': 'ForçaBarça', 'indices': [101, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [2, 15]}], 'urls': [], 'media': [{'id': 1351866074862657537, 'id_str': '1351866074862657537', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/media/EsLLC9WXYAASdNL.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLLC9WXYAASdNL.jpg', 'url': 'https://t.co/k2KTtd2V0h', 'display_url': 'pic.twitter.com/k2KTtd2V0h', 'expanded_url': 'https://twitter.com/FCBarcelona_cat/status/1351866127077539842/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",ca
1351862548379873280,2021-01-20 12:02:02,"📺 EN DIRECTE
🔊 Roda de premsa
🗣 @RonaldKoeman 
▶ https://t.co/YxBOlPvVHQ 
⚽ #CornellàBarça https://t.co/hOt7ry7SvV",92,6,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [76, 90]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [32, 45]}], 'urls': [{'url': 'https://t.co/YxBOlPvVHQ', 'expanded_url': 'http://barca.link/oQCQ50D3i73', 'display_url': 'barca.link/oQCQ50D3i73', 'indices': [49, 72]}], 'media': [{'id': 1351862520101920775, 'id_str': '1351862520101920775', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/media/EsLHzjcWMAYpMLl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLHzjcWMAYpMLl.jpg', 'url': 'https://t.co/hOt7ry7SvV', 'display_url': 'pic.twitter.com/hOt7ry7SvV', 'expanded_url': 'https://twitter.com/FCBarcelona_cat/status/1351862548379873280/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",ca
