id,created_at,text,favorites,retweets,entities,language
1351967821950038016,2021-01-20 19:00:21,"⏰ HORARIO CONFIRMADO
🏆 @LaLiga, jornada 22
⚽ #BetisBarça
🗓 07/02 - 21h
🔵🔴 #ForçaBarça https://t.co/pgI4dWptD1",696,44,"{'hashtags': [{'text': 'BetisBarça', 'indices': [45, 56]}, {'text': 'ForçaBarça', 'indices': [74, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LaLiga', 'name': 'LaLiga', 'id': 423384542, 'id_str': '423384542', 'indices': [23, 30]}], 'urls': [], 'media': [{'id': 1351967815872471040, 'id_str': '1351967815872471040', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EsMnkMTW4AAsrWN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMnkMTW4AAsrWN.jpg', 'url': 'https://t.co/pgI4dWptD1', 'display_url': 'pic.twitter.com/pgI4dWptD1', 'expanded_url': 'https://twitter.com/FCBarcelona_es/status/1351967821950038016/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1280, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}}}]}",pt
1351960184101298177,2021-01-20 18:30:00,"🔙 Hace unas semanas...
📍 Ciutat Esportiva Joan Gamper
🚗 Así fue la entrega de los @Cupra a los jugadores
📲 Vídeo co… https://t.co/X5IhMfrDtr",589,30,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CUPRA', 'name': 'CUPRA', 'id': 1268169925165809664, 'id_str': '1268169925165809664', 'indices': [82, 88]}], 'urls': [{'url': 'https://t.co/X5IhMfrDtr', 'expanded_url': 'https://twitter.com/i/web/status/1351960184101298177', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",es
1351947599054589953,2021-01-20 17:40:00,"⭐ Mejor Equipo del 2020 de la UEFA ⭐
👤 Leo #Messi
👤 @kheirahamraoui",1571,92,"{'hashtags': [{'text': 'Messi', 'indices': [43, 49]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kheirahamraoui', 'name': 'Kheira Hamraoui', 'id': 4696502532, 'id_str': '4696502532', 'indices': [52, 67]}], 'urls': []}",es
1351937534134259715,2021-01-20 17:00:00,"🔥 #BarçaBestMatchEver 🔥 | ¡Segunda semifinal! 

¿Con qué partido te quedas?",1120,49,"{'hashtags': [{'text': 'BarçaBestMatchEver', 'indices': [2, 21]}], 'symbols': [], 'user_mentions': [], 'urls': []}",es
1351909869733998595,2021-01-20 15:10:04,Preparando el duelo contra el Cornellà de este jueves 💪 #CornellaBarça https://t.co/gkgLBTSFED,3060,121,"{'hashtags': [{'text': 'CornellaBarça', 'indices': [56, 70]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351909867062222850, 'id_str': '1351909867062222850', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EsLy3IKW4AIG-83.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLy3IKW4AIG-83.jpg', 'url': 'https://t.co/gkgLBTSFED', 'display_url': 'pic.twitter.com/gkgLBTSFED', 'expanded_url': 'https://twitter.com/FCBarcelona_es/status/1351909869733998595/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}}}]}",es
1351879992293150731,2021-01-20 13:11:21,"✅ Cornellà- Juvenil B (0-2)
✅ Cornellà- Juvenil A (3-4)
✅ Cornellà- @FCBarcelonaB (0-1)
🔜 #CornellàBarça

https://t.co/84TSNOk1hY",789,43,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [90, 104]}], 'symbols': [], 'user_mentions': [{'screen_name': 'FCBarcelonaB', 'name': 'FC Barcelona B', 'id': 869855519435091968, 'id_str': '869855519435091968', 'indices': [68, 81]}], 'urls': [{'url': 'https://t.co/84TSNOk1hY', 'expanded_url': 'http://barca.link/fHGv50DdnAj', 'display_url': 'barca.link/fHGv50DdnAj', 'indices': [106, 129]}]}",it
1351867264526655489,2021-01-20 12:20:46,🔊 @RonaldKoeman habla sobre la sanción a Leo #Messi https://t.co/nOBijA0MKO,971,61,"{'hashtags': [{'text': 'Messi', 'indices': [45, 51]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [2, 15]}], 'urls': [], 'media': [{'id': 1351867227197345792, 'id_str': '1351867227197345792', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EsLMFr8WMAI9hXF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLMFr8WMAI9hXF.jpg', 'url': 'https://t.co/nOBijA0MKO', 'display_url': 'pic.twitter.com/nOBijA0MKO', 'expanded_url': 'https://twitter.com/FCBarcelona_es/status/1351867264526655489/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",es
1351865730426400768,2021-01-20 12:14:41,"🔊 @RonaldKoeman: ""Siempre tenemos ojos en el Barça B para dar paso a gente que creemos que puede ser el futuro""… https://t.co/QMrdqc7KR1",650,50,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [2, 15]}], 'urls': [{'url': 'https://t.co/QMrdqc7KR1', 'expanded_url': 'https://twitter.com/i/web/status/1351865730426400768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",es
1351862899615158274,2021-01-20 12:03:26,"📺 EN DIRECTO
🔊 Rueda de prensa
🗣 @RonaldKoeman 
▶ https://t.co/vLxCFApbj1 
⚽ #CornellàBarça https://t.co/v6uYu2pk6O",328,29,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [77, 91]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [33, 46]}], 'urls': [{'url': 'https://t.co/vLxCFApbj1', 'expanded_url': 'http://barca.link/4Ppx50DamvZ', 'display_url': 'barca.link/4Ppx50DamvZ', 'indices': [50, 73]}], 'media': [{'id': 1351862872167559168, 'id_str': '1351862872167559168', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/EsLIIFAXMAAxM0M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLIIFAXMAAxM0M.jpg', 'url': 'https://t.co/v6uYu2pk6O', 'display_url': 'pic.twitter.com/v6uYu2pk6O', 'expanded_url': 'https://twitter.com/FCBarcelona_es/status/1351862899615158274/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}",es
1351861217728585728,2021-01-20 11:56:45,"[COMUNICADO MÉDICO]
@sergino_dest tiene unas molestias musculares en el muslo derecho
ℹ Todos los detalles
▶… https://t.co/hdsDTg7ZqF",1057,77,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sergino_dest', 'name': 'Sergiño Dest', 'id': 1300205231016415233, 'id_str': '1300205231016415233', 'indices': [20, 33]}], 'urls': [{'url': 'https://t.co/hdsDTg7ZqF', 'expanded_url': 'https://twitter.com/i/web/status/1351861217728585728', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",es
