id,created_at,text,favorites,retweets,entities,language
1351975283180486656,2021-01-20 19:30:00,🌟🌟 Leo #Messi and @kheirahamraoui in UEFA Teams of the Year! 💪🟦🟥,1234,85,"{'hashtags': [{'text': 'Messi', 'indices': [7, 13]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kheirahamraoui', 'name': 'Kheira Hamraoui', 'id': 4696502532, 'id_str': '4696502532', 'indices': [18, 33]}], 'urls': []}",en
1351960181937217536,2021-01-20 18:30:00,"🔥 #BarçaBestMatchEver 🔥

What was the best Barça game of all time? 

👇 TODAY'S MATCHUP 👇",1764,82,"{'hashtags': [{'text': 'BarçaBestMatchEver', 'indices': [2, 21]}], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1351941242746253312,2021-01-20 17:14:44,Copa del Rey time 💪 #CornellaBarça https://t.co/U4an9MT0pD,5376,199,"{'hashtags': [{'text': 'CornellaBarça', 'indices': [20, 34]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351909867062222850, 'id_str': '1351909867062222850', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EsLy3IKW4AIG-83.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLy3IKW4AIG-83.jpg', 'url': 'https://t.co/U4an9MT0pD', 'display_url': 'pic.twitter.com/U4an9MT0pD', 'expanded_url': 'https://twitter.com/FCBarcelona_es/status/1351909869733998595/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 750, 'resize': 'fit'}, 'small': {'w': 680, 'h': 425, 'resize': 'fit'}}, 'source_status_id': 1351909869733998595, 'source_status_id_str': '1351909869733998595', 'source_user_id': 112764971, 'source_user_id_str': '112764971'}]}",es
1351899328676327424,2021-01-20 14:28:11,"Regardless, it will be a tough match. #CornellàBarça
https://t.co/SnO7RIBJFh",2182,75,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [38, 52]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SnO7RIBJFh', 'expanded_url': 'http://barca.link/OswT50DdskH', 'display_url': 'barca.link/OswT50DdskH', 'indices': [53, 76]}]}",en
1351867909430251520,2021-01-20 12:23:20,"🔊 @RonaldKoeman on #Messi's two-match suspension: ""There are things that can be defended. I hope the suspension is… https://t.co/8hEOnc3y8I",2222,109,"{'hashtags': [{'text': 'Messi', 'indices': [19, 25]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [2, 15]}], 'urls': [{'url': 'https://t.co/8hEOnc3y8I', 'expanded_url': 'https://twitter.com/i/web/status/1351867909430251520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351863812136251392,2021-01-20 12:07:03,"⚡ LIVE NOW! ⚡ @RonaldKoeman press conference ahead of #CornellàBarça in the Copa del Rey!

🖥 Barça TV+:… https://t.co/zEg68lN2Cn",993,61,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [54, 68]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RonaldKoeman', 'name': 'Ronald Koeman', 'id': 620398542, 'id_str': '620398542', 'indices': [14, 27]}], 'urls': [{'url': 'https://t.co/zEg68lN2Cn', 'expanded_url': 'https://twitter.com/i/web/status/1351863812136251392', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}",es
1351861657191018501,2021-01-20 11:58:30,MEDICAL NEWS | @sergino_dest has right thigh discomfort https://t.co/ePrpuFKZjY,8777,294,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sergino_dest', 'name': 'Sergiño Dest', 'id': 1300205231016415233, 'id_str': '1300205231016415233', 'indices': [15, 28]}], 'urls': [], 'media': [{'id': 1351861455390437376, 'id_str': '1351861455390437376', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/EsLG1MoW8AAB7-Z.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsLG1MoW8AAB7-Z.jpg', 'url': 'https://t.co/ePrpuFKZjY', 'display_url': 'pic.twitter.com/ePrpuFKZjY', 'expanded_url': 'https://twitter.com/FCBarcelona/status/1351861657191018501/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 600, 'h': 600, 'resize': 'fit'}, 'large': {'w': 600, 'h': 600, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 600, 'resize': 'fit'}}}]}",en
1351849435442139136,2021-01-20 11:09:56,"𝗔𝗹𝗹 𝗮𝗯𝗼𝘂𝘁 @ue_cornella
· Where are they from?
· History
· The stadium
· Head to head
· Form guide
· The players
· T… https://t.co/Wy8Y3YC4CV",1306,62,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ue_cornella', 'name': 'UE Cornellà', 'id': 859945676, 'id_str': '859945676', 'indices': [10, 22]}], 'urls': [{'url': 'https://t.co/Wy8Y3YC4CV', 'expanded_url': 'https://twitter.com/i/web/status/1351849435442139136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351837372477005824,2021-01-20 10:22:00,"⚡ LIVE NOW! ⚡ Barça training session ahead of #CornellàBarça in the Copa del Rey!

🖥 Barça TV+:… https://t.co/wEaxOIgEnb",1435,75,"{'hashtags': [{'text': 'CornellàBarça', 'indices': [46, 60]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wEaxOIgEnb', 'expanded_url': 'https://twitter.com/i/web/status/1351837372477005824', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [97, 120]}]}",ht
1351803132800610304,2021-01-20 08:05:56,"G⚽️AL OF THE DAY
🚀 @Deco20oficial https://t.co/T1nTSEX6m3",3888,246,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Deco20oficial', 'name': 'Deco 20', 'id': 386144968, 'id_str': '386144968', 'indices': [19, 33]}], 'urls': [], 'media': [{'id': 1351803106665885696, 'id_str': '1351803106665885696', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/EsKRxO_XAAEGI5B.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsKRxO_XAAEGI5B.jpg', 'url': 'https://t.co/T1nTSEX6m3', 'display_url': 'pic.twitter.com/T1nTSEX6m3', 'expanded_url': 'https://twitter.com/FCBarcelona/status/1351803132800610304/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",en
