id,created_at,text,favorites,retweets,entities,language
1351983402535235585,2021-01-20 20:02:16,"⏱ Halbe Stunde gespielt!

Was sagt ihr zur Partie? 👇

♦ #FCAFCB | 0:1 | 31’ https://t.co/TqpvELN38M",191,12,"{'hashtags': [{'text': 'FCAFCB', 'indices': [56, 63]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351983099236782092, 'id_str': '1351983099236782092', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EsM1dzRXEAwZgrT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsM1dzRXEAwZgrT.jpg', 'url': 'https://t.co/TqpvELN38M', 'display_url': 'pic.twitter.com/TqpvELN38M', 'expanded_url': 'https://twitter.com/FCBayern/status/1351983402535235585/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 801, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}}]}",de
1351980002791858181,2021-01-20 19:48:45,💪💪💪  #MiaSanMia https://t.co/qw1NqfA7JY,216,20,"{'hashtags': [{'text': 'MiaSanMia', 'indices': [5, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351979886282477569, 'id_str': '1351979886282477569', 'indices': [16, 39], 'media_url': 'http://pbs.twimg.com/media/EsMyiyFXEAEV3G4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMyiyFXEAEV3G4.jpg', 'url': 'https://t.co/qw1NqfA7JY', 'display_url': 'pic.twitter.com/qw1NqfA7JY', 'expanded_url': 'https://twitter.com/FCBayern/status/1351980002791858181/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 1066, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",und
1351979636444508161,2021-01-20 19:47:18,"RT @UEFAcom_de: 👍 2⃣2⃣ 👍

@lewy_official | #FCAFCB | @FCBayern https://t.co/LL3Yx95icN",0,22,"{'hashtags': [{'text': 'FCAFCB', 'indices': [43, 50]}], 'symbols': [], 'user_mentions': [{'screen_name': 'UEFAcom_de', 'name': 'UEFA.com DE', 'id': 74425157, 'id_str': '74425157', 'indices': [3, 14]}, {'screen_name': 'lewy_official', 'name': 'Robert Lewandowski', 'id': 2330223926, 'id_str': '2330223926', 'indices': [26, 40]}, {'screen_name': 'FCBayern', 'name': 'FC Bayern München', 'id': 773069256, 'id_str': '773069256', 'indices': [53, 62]}], 'urls': [], 'media': [{'id': 1351979108373323777, 'id_str': '1351979108373323777', 'indices': [63, 86], 'media_url': 'http://pbs.twimg.com/media/EsMx1gJXYAEjowX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMx1gJXYAEjowX.jpg', 'url': 'https://t.co/LL3Yx95icN', 'display_url': 'pic.twitter.com/LL3Yx95icN', 'expanded_url': 'https://twitter.com/UEFAcom_de/status/1351979158436524036/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 708, 'resize': 'fit'}, 'small': {'w': 680, 'h': 470, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 708, 'resize': 'fit'}}, 'source_status_id': 1351979158436524036, 'source_status_id_str': '1351979158436524036', 'source_user_id': 74425157, 'source_user_id_str': '74425157'}]}",und
1351979299134435340,2021-01-20 19:45:58,"YES! @lewy_official eiskalt vom Punkt! 🎯

♦ #FCAFCB | 0:1 https://t.co/4tUSgGlgwV",646,56,"{'hashtags': [{'text': 'FCAFCB', 'indices': [44, 51]}], 'symbols': [], 'user_mentions': [{'screen_name': 'lewy_official', 'name': 'Robert Lewandowski', 'id': 2330223926, 'id_str': '2330223926', 'indices': [5, 19]}], 'urls': [], 'media': [{'id': 1351979180628570115, 'id_str': '1351979180628570115', 'indices': [58, 81], 'media_url': 'http://pbs.twimg.com/media/EsMx5tUW8AMNgx7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMx5tUW8AMNgx7.jpg', 'url': 'https://t.co/4tUSgGlgwV', 'display_url': 'pic.twitter.com/4tUSgGlgwV', 'expanded_url': 'https://twitter.com/FCBayern/status/1351979299134435340/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1600, 'h': 1066, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",de
1351978762372526083,2021-01-20 19:43:50,"⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
⚽⚽ ⚽⚽ TOR ⚽⚽⚽⚽
⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽

♦ #FCAFCB | 0:1 | 13’ https://t.co/P4RrD4YoBM",1030,149,"{'hashtags': [{'text': 'FCAFCB', 'indices': [62, 69]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351978665639337989, 'id_str': '1351978665639337989', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMxbu1W4AUj4AQ.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMxbu1W4AUj4AQ.jpg', 'url': 'https://t.co/P4RrD4YoBM', 'display_url': 'pic.twitter.com/P4RrD4YoBM', 'expanded_url': 'https://twitter.com/FCBayern/status/1351978762372526083/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]}",und
1351978570009206792,2021-01-20 19:43:04,"Elfmeter für den #FCBayern! 

♦ #FCAFCB | 0:0 | 13’",389,18,"{'hashtags': [{'text': 'FCBayern', 'indices': [17, 26]}, {'text': 'FCAFCB', 'indices': [32, 39]}], 'symbols': [], 'user_mentions': [], 'urls': []}",de
1351978171135098889,2021-01-20 19:41:29,"Herzlichen Glückwunsch zum 300. #Bundesliga-Spiel, @JeromeBoateng! 👏

♦ #FCAFCB | 0:0 | 11’ https://t.co/aJggbybU5p",357,26,"{'hashtags': [{'text': 'Bundesliga', 'indices': [32, 43]}, {'text': 'FCAFCB', 'indices': [72, 79]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JeromeBoateng', 'name': 'Jérôme Boateng', 'id': 493278212, 'id_str': '493278212', 'indices': [51, 65]}], 'urls': [], 'media': [{'id': 1351977919111946242, 'id_str': '1351977919111946242', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/EsMwwRzW4AIWCTl.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMwwRzW4AIWCTl.jpg', 'url': 'https://t.co/aJggbybU5p', 'display_url': 'pic.twitter.com/aJggbybU5p', 'expanded_url': 'https://twitter.com/FCBayern/status/1351978171135098889/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1185, 'h': 666, 'resize': 'fit'}, 'medium': {'w': 1185, 'h': 666, 'resize': 'fit'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}}}]}",de
1351977552919801857,2021-01-20 19:39:01,"📸 #TheBest

♦ #FCAFCB | 0:0 | 9’ https://t.co/1MrdKl9FcO",412,33,"{'hashtags': [{'text': 'TheBest', 'indices': [2, 10]}, {'text': 'FCAFCB', 'indices': [14, 21]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351976639928926213, 'id_str': '1351976639928926213', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/EsMvl0eXAAUHlez.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EsMvl0eXAAUHlez.jpg', 'url': 'https://t.co/1MrdKl9FcO', 'display_url': 'pic.twitter.com/1MrdKl9FcO', 'expanded_url': 'https://twitter.com/FCBayern/status/1351977552919801857/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 1600, 'h': 1066, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]}",und
1351976038901813249,2021-01-20 19:33:00,"RT @lewangoals: @FCBayern LET'S GO, BAYERN! 💪🏼❤️

(•_•) 
&lt;)   )&gt;╯MIA 🔴
 /    \   

\(•_•)  
 (   (&gt; SAN ⚪️
 /    \

 (•_•)/  
&lt;)   ) MIA
 /…",0,17,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lewangoals', 'name': 'ً ᴍᴀʀɪᴀ', 'id': 2255813209, 'id_str': '2255813209', 'indices': [3, 14]}, {'screen_name': 'FCBayern', 'name': 'FC Bayern München', 'id': 773069256, 'id_str': '773069256', 'indices': [16, 25]}], 'urls': []}",en
1351975477171408908,2021-01-20 19:30:46,"⏱ Das Spiel läuft! #PACKMAS 

♦ #FCAFCB | 0:0 | 1’ https://t.co/hqFEZ3SXqy",289,35,"{'hashtags': [{'text': 'PACKMAS', 'indices': [19, 27]}, {'text': 'FCAFCB', 'indices': [32, 39]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351975470007545858, 'id_str': '1351975470007545858', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EsMuhuLXcAIYS1s.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EsMuhuLXcAIYS1s.jpg', 'url': 'https://t.co/hqFEZ3SXqy', 'display_url': 'pic.twitter.com/hqFEZ3SXqy', 'expanded_url': 'https://twitter.com/FCBayern/status/1351975477171408908/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 220, 'h': 124, 'resize': 'fit'}, 'small': {'w': 220, 'h': 124, 'resize': 'fit'}, 'large': {'w': 220, 'h': 124, 'resize': 'fit'}, 'thumb': {'w': 124, 'h': 124, 'resize': 'crop'}}}]}",de
